rev_id,item_id,stat_property,stat_value,ref_value,ref_domain
312193327.0,Q508452,P106,Q3282637,https://www.thetalentmanager.co.uk/people/1734/will-innes,thetalentmanager.co.uk
300584669.0,Q21296496,P106,Q49757,https://en.wikisource.org/wiki/Author:Henry_Lamont_Simpson,en.wikisource.org
350989486.0,Q24809690,P106,Q11569986,http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=130759,britishmuseum.org
305824350.0,Q1047222,P106,Q2405480,http://www.imdb.com/title/tt0434968/fullcredits/,imdb.com
355932724.0,Q23795339,P106,Q1607826,http://www.ted.com/profiles/494924,ted.com
285885978.0,Q1065627,P106,Q245068,http://www.canada.com/reginaleaderpost/news/arts_life/story.html?id=ead2c176-5bbb-4288-b01e-61150bd88e76,canada.com
285886020.0,Q1065627,P106,Q3387717,http://www.infoplease.com/biography/actors.html,infoplease.com
311662371.0,Q1391397,P106,Q947873,http://www.thetelegraphandargus.co.uk/news/newsindex/display.var.2237150.0.big_names_lined_up_for_literature_festival.php,thetelegraphandargus.co.uk
356375242.0,Q7781067,P106,Q674426,http://www.ted.com/speakers/363,ted.com
310637229.0,Q287449,P106,Q3282637,http://www.imaginenews.com/Archive/2003/NOV_2003/01_FEATURES/16_WOMEN.html,imaginenews.com
363471677.0,Q21165641,P106,Q82955,http://hansard.millbanksystems.com/people/mr-charles-towneley,hansard.millbanksystems.com
284594239.0,Q1046612,P106,Q753110,http://wevegotyoucovered.buzznet.com/user/journal/17251682/buzznet-exclusive-keanes-tom-chaplin/,wevegotyoucovered.buzznet.com
336936700.0,Q20028183,P106,Q644687,http://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500014330,getty.edu
356367761.0,Q23783043,P106,Q5322166,http://www.ted.com/speakers/2709,ted.com
314671364.0,Q968840,P106,Q482980,http://online.wsj.com/news/articles/SB10001424052748704869304574595973007231140,online.wsj.com
372444011.0,Q1068841,P106,Q753110,http://www.discogs.com/5th-Element-Kakkonen/release/1497359,discogs.com
292827095.0,Q5236586,P106,Q13472585,http://www.bizjournals.com/memphis/stories/2005/09/05/daily7.html,bizjournals.com
269855258.0,Q1000912,P106,Q28389,http://brightlightsfilm.com/55/55brightsights.php,brightlightsfilm.com
284595252.0,Q1056805,P106,Q639669,http://www.demotix.com/news/6322968/cesare-cremonini-performs-live-sold-out-pala-alpitour-arena/all-media,demotix.com
355964857.0,Q23728757,P106,Q5716684,http://www.ted.com/speakers/1847,ted.com
319322277.0,Q1391255,P106,Q82955,http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,m.timesofindia.com
262790972.0,Q104326,P106,Q639669,http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,en.mediamass.net
342055566.0,Q24266615,P108,Q13132364,http://newspapers.library.wales/view/3764400/3764408/95/,newspapers.library.wales
345337874.0,Q20979342,P108,Q217305,http://www.newyorker.com/contributors/mary-norris,newyorker.com
239930763.0,Q16173214,P108,Q5132172,http://www.oxfordmusiconline.com/subscriber/article/grove/music/01649,oxfordmusiconline.com
325794532.0,Q593714,P108,Q459506,http://www.bristol.ac.uk/efm/people/kenneth-g-binmore/,bristol.ac.uk
158258402.0,Q115428,P1082,+34676,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158258402.0,Q115428,P1082,+34676,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158262639.0,Q26591,P1082,+38701,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158283236.0,Q61042,P1082,+13505,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
261329266.0,Q21174113,P636,Q4669896,http://www.cdc.gov/niosh/npg/npgd0162.html,cdc.gov
296650575.0,Q21174113,P780,Q3026331,http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750039.html,cdc.gov
158295763.0,Q507000,P1082,+24441,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158255555.0,Q111686,P1082,+34789,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158288810.0,Q501029,P1082,+303310,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158293240.0,Q504441,P1082,+110232,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158284400.0,Q496900,P1082,+1538497,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158263197.0,Q26895,P1082,+652365,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158275179.0,Q486060,P1082,+11961,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158274414.0,Q485600,P1082,+536910,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278560.0,Q488853,P1082,+194215,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158282849.0,Q495633,P1082,+116692,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294457.0,Q506068,P1082,+91764,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158259662.0,Q156220,P1082,+38538,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158292426.0,Q503486,P1082,+64141,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158283413.0,Q495958,P1082,+11591,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158262465.0,Q26527,P1082,+32114,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158274776.0,Q491184,P1082,+15111,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273219.0,Q484755,P1082,+12905,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273219.0,Q484755,P1082,+12905,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278624.0,Q494494,P1082,+12811,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278624.0,Q494494,P1082,+12811,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294752.0,Q506215,P1082,+952143,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294752.0,Q506215,P1082,+952143,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158259792.0,Q156291,P1082,+1223749,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273267.0,Q484780,P1082,+17880,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158267412.0,Q336322,P1082,+101064,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294955.0,Q506326,P1082,+30495,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158289040.0,Q501140,P1082,+143816,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276311.0,Q491976,P1082,+74319,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158270071.0,Q376876,P1082,+3162,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276813.0,Q49289,P1082,+33184,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276813.0,Q49289,P1082,+33184,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
