rev_id,item_id,item_label,stat_property,property_label,stat_value,value_label,ref_value,ref_domain
312193327.0,Q508452,Eric Ambler,P106,occupation,Q3282637,film producer,https://www.thetalentmanager.co.uk/people/1734/will-innes,thetalentmanager.co.uk
300584669.0,Q21296496,Henry Lamont Simpson,P106,occupation,Q49757,poet,https://en.wikisource.org/wiki/Author:Henry_Lamont_Simpson,en.wikisource.org
350989486.0,Q24809690,Robert Munro Bryson,P106,occupation,Q11569986,printmaker,http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=130759,britishmuseum.org
305824350.0,Q1047222,Hikaru Hanada,P106,occupation,Q2405480,voice actor,http://www.imdb.com/title/tt0434968/fullcredits/,imdb.com
355932724.0,Q23795339,David Bismark,P106,occupation,Q1607826,editor,http://www.ted.com/profiles/494924,ted.com
285885978.0,Q1065627,Charles Nelson Reilly,P106,occupation,Q245068,comedian,http://www.canada.com/reginaleaderpost/news/arts_life/story.html?id=ead2c176-5bbb-4288-b01e-61150bd88e76,canada.com
285886020.0,Q1065627,Charles Nelson Reilly,P106,occupation,Q3387717,theatrical director,http://www.infoplease.com/biography/actors.html,infoplease.com
311662371.0,Q1391397,Steve Jones,P106,occupation,Q947873,television presenter,http://www.thetelegraphandargus.co.uk/news/newsindex/display.var.2237150.0.big_names_lined_up_for_literature_festival.php,thetelegraphandargus.co.uk
356375242.0,Q7781067,Thelma Golden,P106,occupation,Q674426,curator,http://www.ted.com/speakers/363,ted.com
310637229.0,Q287449,Brooke Adams,P106,occupation,Q3282637,film producer,http://www.imaginenews.com/Archive/2003/NOV_2003/01_FEATURES/16_WOMEN.html,imaginenews.com
363471677.0,Q21165641,Charles Towneley,P106,occupation,Q82955,politician,http://hansard.millbanksystems.com/people/mr-charles-towneley,hansard.millbanksystems.com
284594239.0,Q1046612,Tom Chaplin,P106,occupation,Q753110,songwriter,http://wevegotyoucovered.buzznet.com/user/journal/17251682/buzznet-exclusive-keanes-tom-chaplin/,wevegotyoucovered.buzznet.com
336936700.0,Q20028183,Karl James Anderson,P106,occupation,Q644687,illustrator,http://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500014330,getty.edu
356367761.0,Q23783043,Tom Uglow,P106,occupation,Q5322166,designer,http://www.ted.com/speakers/2709,ted.com
314671364.0,Q968840,Kenneth Lonergan,P106,occupation,Q482980,author,http://online.wsj.com/news/articles/SB10001424052748704869304574595973007231140,online.wsj.com
372444011.0,Q1068841,Cheek,P106,occupation,Q753110,songwriter,http://www.discogs.com/5th-Element-Kakkonen/release/1497359,discogs.com
292827095.0,Q5236586,David Lichtenstein,P106,occupation,Q13472585,philanthropist,http://www.bizjournals.com/memphis/stories/2005/09/05/daily7.html,bizjournals.com
269855258.0,Q1000912,Piotr Trzaskalski,P106,occupation,Q28389,screenwriter,http://brightlightsfilm.com/55/55brightsights.php,brightlightsfilm.com
284595252.0,Q1056805,Cesare Cremonini,P106,occupation,Q639669,musician,http://www.demotix.com/news/6322968/cesare-cremonini-performs-live-sold-out-pala-alpitour-arena/all-media,demotix.com
355964857.0,Q23728757,Adrianne Haslet-Davis,P106,occupation,Q5716684,dancer,http://www.ted.com/speakers/1847,ted.com
319322277.0,Q1391255,Nandan Nilekani,P106,occupation,Q82955,politician,http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,m.timesofindia.com
262790972.0,Q104326,Jean-Michel Jarre,P106,occupation,Q639669,musician,http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,en.mediamass.net
342055566.0,Q24266615,William Waters,P108,employer,Q13132364,William Spurrell,http://newspapers.library.wales/view/3764400/3764408/95/,newspapers.library.wales
345337874.0,Q20979342,Mary Norris,P108,employer,Q217305,The New Yorker,http://www.newyorker.com/contributors/mary-norris,newyorker.com
239930763.0,Q16173214,Victor Babin,P108,employer,Q5132172,Cleveland Institute of Music,http://www.oxfordmusiconline.com/subscriber/article/grove/music/01649,oxfordmusiconline.com
325794532.0,Q593714,Kenneth Binmore,P108,employer,Q459506,University of Bristol,http://www.bristol.ac.uk/efm/people/kenneth-g-binmore/,bristol.ac.uk
158258402.0,Q115428,Kendall County,P1082,population,+34676,+34676,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158258402.0,Q115428,Kendall County,P1082,population,+34676,+34676,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158262639.0,Q26591,Caldwell County,P1082,population,+38701,+38701,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158283236.0,Q61042,Izard County,P1082,population,+13505,+13505,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
261329266.0,Q21174113,cyanogen chloride exposure,P636,route of administration,Q4669896,skin absorption,http://www.cdc.gov/niosh/npg/npgd0162.html,cdc.gov
296650575.0,Q21174113,cyanogen chloride exposure,P780,symptoms and signs,Q3026331,diaphoresis,http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750039.html,cdc.gov
158295763.0,Q507000,Sabine Parish,P1082,population,+24441,+24441,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158255555.0,Q111686,Christian County,P1082,population,+34789,+34789,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158288810.0,Q501029,Lake County,P1082,population,+303310,+303310,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158293240.0,Q504441,Clark County,P1082,population,+110232,+110232,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158284400.0,Q496900,Philadelphia County,P1082,population,+1538497,+1538497,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158263197.0,Q26895,Fort Bend County,P1082,population,+652365,+652365,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158275179.0,Q486060,Bath County,P1082,population,+11961,+11961,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158274414.0,Q485600,Montgomery County,P1082,population,+536910,+536910,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278560.0,Q488853,Clay County,P1082,population,+194215,+194215,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158282849.0,Q495633,Lycoming County,P1082,population,+116692,+116692,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294457.0,Q506068,Orangeburg County,P1082,population,+91764,+91764,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158259662.0,Q156220,Douglas County,P1082,population,+38538,+38538,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158292426.0,Q503486,Spalding County,P1082,population,+64141,+64141,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158283413.0,Q495958,Washita County,P1082,population,+11591,+11591,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158262465.0,Q26527,Kleberg County,P1082,population,+32114,+32114,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158274776.0,Q491184,Sibley County,P1082,population,+15111,+15111,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273219.0,Q484755,DeKalb County,P1082,population,+12905,+12905,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273219.0,Q484755,DeKalb County,P1082,population,+12905,+12905,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278624.0,Q494494,Franklin County,P1082,population,+12811,+12811,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158278624.0,Q494494,Franklin County,P1082,population,+12811,+12811,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294752.0,Q506215,Wake County,P1082,population,+952143,+952143,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294752.0,Q506215,Wake County,P1082,population,+952143,+952143,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158259792.0,Q156291,Allegheny County,P1082,population,+1223749,+1223749,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158273267.0,Q484780,Beadle County,P1082,population,+17880,+17880,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158267412.0,Q336322,Ashtabula County,P1082,population,+101064,+101064,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158294955.0,Q506326,Franklin County,P1082,population,+30495,+30495,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158289040.0,Q501140,Paulding County,P1082,population,+143816,+143816,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276311.0,Q491976,Bullitt County,P1082,population,+74319,+74319,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158270071.0,Q376876,Lincoln County,P1082,population,+3162,+3162,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276813.0,Q49289,Accomack County,P1082,population,+33184,+33184,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158276813.0,Q49289,Accomack County,P1082,population,+33184,+33184,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158271727.0,Q484391,Josephine County,P1082,population,+83306,+83306,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158252701.0,Q108494,El Paso County,P1082,population,+800647,+800647,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
158688405.0,Q490029,Marion County,P1082,population,+28780,+28780,http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,census.gov
