ref_value,label_author,LLM_model_prompt
http://americanart.si.edu/collections/search/artwork/?id=11098,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=11416,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=11819,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=14493,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=20476,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=21513,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=22834,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=25639,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=25825,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=25858,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=26050,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=26233,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=26314,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=26486,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=26587,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=27676,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=27878,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=28340,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=31889,organisation,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu/collections/search/artwork/?id=33467,organisation,results_mistral:latest_prompt_5_metadata
http://amturing.acm.org/award_winners/mccarthy_0239596.cfm,individual,results_mistral:latest_prompt_5_metadata
http://backuppc.cvs.sourceforge.net/viewvc/backuppc/BackupPC/LICENSE?revision=1.1&view=markup,organisation,results_mistral:latest_prompt_5_metadata
http://bbti.bodleian.ox.ac.uk/details/?traderid=46872,ne,results_mistral:latest_prompt_5_metadata
http://bse.sci-lib.com/article001911.html,individual,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu/vufind/Record/1665327,ne,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu/vufind/Record/1668391,ne,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu/vufind/Record/3794722,dn,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu/vufind/Record/3866211,ne,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/172826,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/173830,nw,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/188668,organisation,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/193799,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/201897,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/206814,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/2092281,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/2114212,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/212182,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/219645,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/243436,individual,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org/node/250927,individual,results_mistral:latest_prompt_5_metadata
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/34/37&Lang=E,ne,results_mistral:latest_prompt_5_metadata
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54(I)&Lang=E,dn,results_mistral:latest_prompt_5_metadata
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54/4&Lang=E,dn,results_mistral:latest_prompt_5_metadata
http://data.ordnancesurvey.co.uk/doc/7000000000025498,organisation,results_mistral:latest_prompt_5_metadata
http://dirigeant.societe.com/dirigeant/Olivier.RADOT.64009682.html,individual,results_mistral:latest_prompt_5_metadata
http://download.oldium.net/karel/karel-2.0.5.tar.gz,dn,results_mistral:latest_prompt_5_metadata
http://ekladata.com/rl2BN3HcBBXXT7U3ZV_W6foev0Y/BIOGRAPHIE.pdf,ne,results_mistral:latest_prompt_5_metadata
http://electronicintifada.net/v2/article10485.shtml,individual,results_mistral:latest_prompt_5_metadata
http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,organisation,results_mistral:latest_prompt_5_metadata
http://eprints.lancs.ac.uk/80161/1/MBMJ_Author_Copy.pdf,individual,results_mistral:latest_prompt_5_metadata
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Brenninkmeijer_family,organisation,results_mistral:latest_prompt_5_metadata
http://ffilms.org/atm-2012/,ne,results_mistral:latest_prompt_5_metadata
http://fie.org/fencers/Mona-SHAITO-22165/biography,organisation,results_mistral:latest_prompt_5_metadata
http://firstcycling.com/rider.php?r=1642,individual,results_mistral:latest_prompt_5_metadata
