ref_value,label_pub,LLM_model_prompt
http://addons.mozilla.org,company,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu,govt,results_mistral:latest_prompt_5_metadata
http://archive.org,other,results_mistral:latest_prompt_5_metadata
http://art.famsf.org,company,results_mistral:latest_prompt_5_metadata
http://backuppc.cvs.sourceforge.net,company,results_mistral:latest_prompt_5_metadata
http://bbti.bodleian.ox.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://blog.mathieui.net,other,results_mistral:latest_prompt_5_metadata
http://blog.torproject.org,sp_source,results_mistral:latest_prompt_5_metadata
http://blogs.windows.com,company,results_mistral:latest_prompt_5_metadata
http://books.google.co.uk,company,results_mistral:latest_prompt_5_metadata
http://bse.sci-lib.com,academia,results_mistral:latest_prompt_5_metadata
http://chem.nlm.nih.gov,govt,results_mistral:latest_prompt_5_metadata
http://collection.cooperhewitt.org,academia,results_mistral:latest_prompt_5_metadata
http://collections.artsmia.org,company,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu,academia,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org,academia,results_mistral:latest_prompt_5_metadata
http://commons.wikimedia.org,other,results_mistral:latest_prompt_5_metadata
http://daccess-ods.un.org,govt,results_mistral:latest_prompt_5_metadata
http://dirigeant.societe.com,company,results_mistral:latest_prompt_5_metadata
http://download.gnome.org,company,results_mistral:latest_prompt_5_metadata
http://electronicintifada.net,sp_source,results_mistral:latest_prompt_5_metadata
http://en.mediamass.net,news,results_mistral:latest_prompt_5_metadata
http://en.wikisource.org,academia,results_mistral:latest_prompt_5_metadata
http://eprints.lancs.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://fdrmx.com,company,results_mistral:latest_prompt_5_metadata
http://fedoraproject.org,company,results_mistral:latest_prompt_5_metadata
http://feed.snapdo.com,company,results_mistral:latest_prompt_5_metadata
http://ffilms.org,other,results_mistral:latest_prompt_5_metadata
http://fie.org,company,results_mistral:latest_prompt_5_metadata
http://firstcycling.com,company,results_mistral:latest_prompt_5_metadata
http://flickfacts.com,other,results_mistral:latest_prompt_5_metadata
http://flymotorsich.com,company,results_mistral:latest_prompt_5_metadata
http://fmg.ac,academia,results_mistral:latest_prompt_5_metadata
http://forums.comodo.com,company,results_mistral:latest_prompt_5_metadata
http://freemind.sourceforge.net,company,results_mistral:latest_prompt_5_metadata
http://ftp.debian-ports.org,other,results_mistral:latest_prompt_5_metadata
http://geonames.usgs.gov,govt,results_mistral:latest_prompt_5_metadata
http://github.com,company,results_mistral:latest_prompt_5_metadata
http://groups.google.com,company,results_mistral:latest_prompt_5_metadata
http://iba-world.com,company,results_mistral:latest_prompt_5_metadata
http://id.loc.gov,govt,results_mistral:latest_prompt_5_metadata
http://identifiers.org,other,results_mistral:latest_prompt_5_metadata
http://independentlibraries.co.uk,sp_source,results_mistral:latest_prompt_5_metadata
http://instagram.com,company,results_mistral:latest_prompt_5_metadata
http://itunes.apple.com,company,results_mistral:latest_prompt_5_metadata
http://killiefc.com,company,results_mistral:latest_prompt_5_metadata
http://lawandorder.wikia.com,company,results_mistral:latest_prompt_5_metadata
http://leonocusto.blog66.fc2.com,other,results_mistral:latest_prompt_5_metadata
