ref_value,label_pub_ver,LLM_model_prompt
http://addons.mozilla.org,vendor,results_mistral:latest_prompt_5_metadata
http://americanart.si.edu,cultural,results_mistral:latest_prompt_5_metadata
http://amturing.acm.org,academia_uni,results_mistral:latest_prompt_5_metadata
http://archive.org,no_profit,results_mistral:latest_prompt_5_metadata
http://art.famsf.org,cultural,results_mistral:latest_prompt_5_metadata
http://backuppc.cvs.sourceforge.net,dn,results_mistral:latest_prompt_5_metadata
http://bbfc.co.uk,gov,results_mistral:latest_prompt_5_metadata
http://bbti.bodleian.ox.ac.uk,academia_other,results_mistral:latest_prompt_5_metadata
http://blog.mathieui.net,non_trad_news,results_mistral:latest_prompt_5_metadata
http://blog.torproject.org,no_profit,results_mistral:latest_prompt_5_metadata
http://blogs.windows.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://books.google.co.uk,vendor,results_mistral:latest_prompt_5_metadata
http://chem.nlm.nih.gov,academia_pub,results_mistral:latest_prompt_5_metadata
http://chibi.ubc.ca,academia_uni,results_mistral:latest_prompt_5_metadata
http://collection.cooperhewitt.org,cultural,results_mistral:latest_prompt_5_metadata
http://collections.artsmia.org,cultural,results_mistral:latest_prompt_5_metadata
http://collections.britishart.yale.edu,cultural,results_mistral:latest_prompt_5_metadata
http://collections.lacma.org,cultural,results_mistral:latest_prompt_5_metadata
http://commons.wikimedia.org,no_profit,results_mistral:latest_prompt_5_metadata
http://daccess-ods.un.org,no_profit,results_mistral:latest_prompt_5_metadata
http://data.ordnancesurvey.co.uk,gov,results_mistral:latest_prompt_5_metadata
http://directory.fsf.org,no_profit,results_mistral:latest_prompt_5_metadata
http://electronicintifada.net,non_trad_news,results_mistral:latest_prompt_5_metadata
http://en.mediamass.net,non_trad_news,results_mistral:latest_prompt_5_metadata
http://en.wikisource.org,no_profit,results_mistral:latest_prompt_5_metadata
http://eprints.lancs.ac.uk,academia_uni,results_mistral:latest_prompt_5_metadata
http://espn.go.com,trad_news,results_mistral:latest_prompt_5_metadata
http://fdrmx.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://fedoraproject.org,no_profit,results_mistral:latest_prompt_5_metadata
http://feed.snapdo.com,nw,results_mistral:latest_prompt_5_metadata
http://ffilms.org,trad_news,results_mistral:latest_prompt_5_metadata
http://fie.org,trad_news,results_mistral:latest_prompt_5_metadata
http://firstcycling.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://flymotorsich.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://fmg.ac,academia_other,results_mistral:latest_prompt_5_metadata
http://forum.mql4.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://forums.comodo.com,vendor,results_mistral:latest_prompt_5_metadata
http://fossilworks.org,academia_pub,results_mistral:latest_prompt_5_metadata
http://freemind.sourceforge.net,open_source,results_mistral:latest_prompt_5_metadata
http://ftp.debian-ports.org,nw,results_mistral:latest_prompt_5_metadata
http://geonames.usgs.gov,gov,results_mistral:latest_prompt_5_metadata
http://git.gnome.org,dn,results_mistral:latest_prompt_5_metadata
http://git.kernel.org,dn,results_mistral:latest_prompt_5_metadata
http://github.com,trad_news,results_mistral:latest_prompt_5_metadata
http://groups.google.com,trad_news,results_mistral:latest_prompt_5_metadata
http://iba-world.com,trad_news,results_mistral:latest_prompt_5_metadata
http://id.loc.gov,cultural,results_mistral:latest_prompt_5_metadata
http://identifiers.org,academia_pub,results_mistral:latest_prompt_5_metadata
http://iditarod.com,no_profit,results_mistral:latest_prompt_5_metadata
http://independentlibraries.co.uk,no_profit,results_mistral:latest_prompt_5_metadata
http://instagram.com,trad_news,results_mistral:latest_prompt_5_metadata
http://itunes.apple.com,vendor,results_mistral:latest_prompt_5_metadata
http://killiefc.com,trad_news,results_mistral:latest_prompt_5_metadata
http://lawandorder.wikia.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://library.la84.org,dn,results_mistral:latest_prompt_5_metadata
http://lists.alioth.debian.org,no_profit,results_mistral:latest_prompt_5_metadata
http://lists.freebsd.org,no_profit,results_mistral:latest_prompt_5_metadata
http://lists.gnu.org,no_profit,results_mistral:latest_prompt_5_metadata
http://lists.nongnu.org,no_profit,results_mistral:latest_prompt_5_metadata
http://lists.torproject.org,no_profit,results_mistral:latest_prompt_5_metadata
http://m.timesofindia.com,trad_news,results_mistral:latest_prompt_5_metadata
http://mail-archives.apache.org,nw,results_mistral:latest_prompt_5_metadata
http://man.9front.org,nw,results_mistral:latest_prompt_5_metadata
http://marvel.com,trad_news,results_mistral:latest_prompt_5_metadata
http://movie-locations.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://movieweb.com,trad_news,results_mistral:latest_prompt_5_metadata
http://mpse.org,cultural,results_mistral:latest_prompt_5_metadata
http://new.liveauctioneers.com,vendor,results_mistral:latest_prompt_5_metadata
http://olat.org,academia_uni,results_mistral:latest_prompt_5_metadata
http://oneprocycling.com,vendor,results_mistral:latest_prompt_5_metadata
http://peerj.com,academia_pub,results_mistral:latest_prompt_5_metadata
http://phoronix.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://planetarynames.wr.usgs.gov,academia_uni,results_mistral:latest_prompt_5_metadata
http://pubchem.ncbi.nlm.nih.gov,academia_pub,results_mistral:latest_prompt_5_metadata
http://puppet.com,vendor,results_mistral:latest_prompt_5_metadata
http://ratings.fide.com,no_profit,results_mistral:latest_prompt_5_metadata
http://runeberg.org,cultural,results_mistral:latest_prompt_5_metadata
http://sourceforge.net,vendor,results_mistral:latest_prompt_5_metadata
http://spamassassin.apache.org,trad_news,results_mistral:latest_prompt_5_metadata
http://speedskatingstats.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://splitsider.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://sports.yahoo.com,trad_news,results_mistral:latest_prompt_5_metadata
http://support.google.com,trad_news,results_mistral:latest_prompt_5_metadata
http://thedancingrest.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://tools.ietf.org,academia_pub,results_mistral:latest_prompt_5_metadata
http://uk.soccerway.com,trad_news,results_mistral:latest_prompt_5_metadata
http://viaf.org,academia_other,results_mistral:latest_prompt_5_metadata
http://vimeo.com,non_trad_news,results_mistral:latest_prompt_5_metadata
http://vk.com,trad_news,results_mistral:latest_prompt_5_metadata
http://vocab.getty.edu,cultural,results_mistral:latest_prompt_5_metadata
http://web.archive.org,trad_news,results_mistral:latest_prompt_5_metadata
http://whc.unesco.org,cultural,results_mistral:latest_prompt_5_metadata
http://www.4shared.com,vendor,results_mistral:latest_prompt_5_metadata
http://www.aada.edu,cultural,results_mistral:latest_prompt_5_metadata
http://www.allmusic.com,trad_news,results_mistral:latest_prompt_5_metadata
