ref_value,publisher_type
http://8tracks.com,nw
http://addons.mozilla.org,nw
http://akas.imdb.com,nw
http://americanart.si.edu,company
http://archive.org,govt
http://art.famsf.org,company
http://backuppc.cvs.sourceforge.net,company
http://bbti.bodleian.ox.ac.uk,academia
http://blog.mathieui.net,academia
http://blogs.windows.com,news
http://books.google.co.uk,company
http://brightlightsfilm.com,company
http://bse.sci-lib.com,academia
http://chem.nlm.nih.gov,academia
http://classify.oclc.org,company
http://collection.cooperhewitt.org,sp_source
http://collections.artsmia.org,nw
http://collections.britishart.yale.edu,nw
http://collections.lacma.org,company
http://commons.wikimedia.org,nw
http://daccess-ods.un.org,academia
http://dirigeant.societe.com,company
http://download.gnome.org,sp_source
http://ekladata.com,company
http://electronicintifada.net,nw
http://en.mediamass.net,nw
http://en.wikisource.org,academia
http://eprints.lancs.ac.uk,academia
http://equipboard.com,nw
http://europeana.eu,sp_source
http://factfinder.census.gov,govt
http://fdrmx.com,sp_source
http://fedoraproject.org,nw
http://feed.snapdo.com,company
http://ffilms.org,other
http://fie.org,other
http://figshare.com,other
http://firstcycling.com,nw
http://flickfacts.com,news
http://flymotorsich.com,company
http://fmg.ac,nw
http://forums.comodo.com,company
http://freemind.sourceforge.net,sp_source
http://ftp.debian-ports.org,company
http://genealogy.az.gov,nw
http://geonames.usgs.gov,academia
http://github.com,company
http://groups.google.com,company
http://hansard.millbanksystems.com,news
http://homepage.usask.ca,academia
http://iba-world.com,nw
http://id.loc.gov,other
http://identifiers.org,academia
http://independentlibraries.co.uk,company
http://instagram.com,sp_source
http://itunes.apple.com,company
http://killiefc.com,nw
http://lawandorder.wikia.com,news
http://leonocusto.blog66.fc2.com,company
http://library.la84.org,govt
http://library.leeds.ac.uk,academia
http://lists.alioth.debian.org,academia
http://lists.claws-mail.org,company
http://lists.freebsd.org,academia
http://lists.netfilter.org,nw
http://lists.nongnu.org,news
http://lists.torproject.org,sp_source
http://m.timesofindia.com,news
http://mail-archives.apache.org,nw
http://moma.org,company
http://movie-locations.com,nw
http://movieweb.com,nw
http://mpse.org,nw
http://museedelaresistanceenligne.org,sp_source
http://nablus.org,nw
http://new.liveauctioneers.com,nw
http://newspapers.library.wales,company
http://olat.org,nw
http://online.wsj.com,news
http://oxfordindex.oup.com,academia
http://phoronix.com,company
http://planetarynames.wr.usgs.gov,govt
http://pubchem.ncbi.nlm.nih.gov,nw
http://puppet.com,nw
http://quickfacts.census.gov,govt
http://ratings.fide.com,sp_source
http://runeberg.org,company
http://sites.asiasociety.org,company
http://sourceforge.net,nw
http://spamassassin.apache.org,other
http://specialcollections.le.ac.uk,other
http://speedskatingstats.com,company
http://splitsider.com,other
http://sports.yahoo.com,other
http://support.google.com,other
http://thebloxwichtelegraph.com,sp_source
http://thedancingrest.com,other
http://tools.ietf.org,nw
http://twitter.com,company
http://uk.soccerway.com,nw
http://viaf.org,academia
http://vimeo.com,nw
http://vocab.getty.edu,academia
http://wbo.llgc.org.uk,govt
http://web.archive.org,nw
http://welt-der-form.net,company
http://whc.unesco.org,company
http://www.4shared.com,sp_source
http://www.aada.edu,others
http://www.allmusic.com,company
