ref_value,publisher_type
http://8tracks.com,company
http://addons.mozilla.org,company
http://akas.imdb.com,company
http://americanart.si.edu,company
http://archive.org,other
http://art.famsf.org,company
http://backuppc.cvs.sourceforge.net,sp_source
http://bbti.bodleian.ox.ac.uk,academia
http://blog.mathieui.net,company
http://blog.torproject.org,sp_source
http://blogs.windows.com,company
http://books.google.co.uk,company
http://brightlightsfilm.com,company
http://bse.sci-lib.com,sp_source
http://chem.nlm.nih.gov,govt
http://classify.oclc.org,company
http://collection.cooperhewitt.org,academia
http://collections.artsmia.org,company
http://collections.britishart.yale.edu,company
http://collections.lacma.org,company
http://commons.wikimedia.org,company
http://daccess-ods.un.org,govt
http://dirigeant.societe.com,company
http://download.gnome.org,company
http://ekladata.com,company
http://electronicintifada.net,sp_source
http://en.mediamass.net,other
http://en.wikisource.org,academia
http://eprints.lancs.ac.uk,academia
http://equipboard.com,company
http://europeana.eu,company
http://factfinder.census.gov,govt
http://fdrmx.com,nw
http://fedoraproject.org,company
http://feed.snapdo.com,nw
http://ffilms.org,company
http://fie.org,nw
http://figshare.com,company
http://firstcycling.com,sp_source
http://flickfacts.com,other
http://flymotorsich.com,company
http://fmg.ac,company
http://forums.comodo.com,company
http://freemind.sourceforge.net,company
http://ftp.debian-ports.org,company
http://genealogy.az.gov,govt
http://geonames.usgs.gov,govt
http://github.com,company
http://groups.google.com,sp_source
http://hansard.millbanksystems.com,company
http://homepage.usask.ca,academia
http://iba-world.com,company
http://id.loc.gov,govt
http://identifiers.org,other
http://independentlibraries.co.uk,company
http://instagram.com,company
http://itunes.apple.com,company
http://killiefc.com,company
http://lawandorder.wikia.com,sp_source
http://leonocusto.blog66.fc2.com,sp_source
http://library.la84.org,company
http://library.leeds.ac.uk,academia
http://lists.alioth.debian.org,sp_source
http://lists.claws-mail.org,sp_source
http://lists.freebsd.org,sp_source
http://lists.netfilter.org,sp_source
http://lists.nongnu.org,sp_source
http://lists.torproject.org,sp_source
http://m.timesofindia.com,news
http://mail-archives.apache.org,company
http://moma.org,company
http://movie-locations.com,company
http://movieweb.com,company
http://mpse.org,other
http://museedelaresistanceenligne.org,sp_source
http://nablus.org,sp_source
http://new.liveauctioneers.com,company
http://newspapers.library.wales,govt
http://olat.org,sp_source
http://online.wsj.com,news
http://oxfordindex.oup.com,company
http://phoronix.com,company
http://planetarynames.wr.usgs.gov,govt
http://pubchem.ncbi.nlm.nih.gov,company
http://puppet.com,company
http://quickfacts.census.gov,govt
http://ratings.fide.com,other
http://runeberg.org,other
http://sites.asiasociety.org,company
http://sourceforge.net,company
http://spamassassin.apache.org,company
http://specialcollections.le.ac.uk,academia
http://speedskatingstats.com,company
http://splitsider.com,sp_source
http://sports.yahoo.com,news
http://support.google.com,company
http://thebloxwichtelegraph.com,company
http://thedancingrest.com,nw
http://tools.ietf.org,academia
http://twitter.com,company
http://uk.soccerway.com,company
http://viaf.org,academia
http://vimeo.com,company
http://vocab.getty.edu,other
http://wbo.llgc.org.uk,sp_source
http://web.archive.org,other
http://welt-der-form.net,company
http://whc.unesco.org,govt
http://www.4shared.com,company
http://www.aada.edu,academia
http://www.allmusic.com,company
http://www.ambafrance-tr.org,sp_source
http://www.annualreviews.org,academia
http://www.arabianbusiness.com,news
http://www.archive.org,company
http://www.archlinux.org,company
http://www.artistdirect.com,company
http://www.artsjournal.com,company
http://www.audacityteam.org,sp_source
http://www.badmintonlink.com,company
http://www.bbc.co.uk,company
http://www.billgladstone.ca,company
http://www.bindingdb.org,company
http://www.bizjournals.com,company
http://www.blackfilm.com,company
http://www.blakeschool.org,company
http://www.blend4web.com,company
http://www.boxofficemojo.com,company
http://www.bristol.ac.uk,academia
http://www.britannica.com,company
http://www.britishlistedbuildings.co.uk,company
http://www.britishmuseum.org,company
http://www.brooklynmuseum.org,company
http://www.bvbinfo.com,company
http://www.canada.com,news
http://www.catholic-hierarchy.org,sp_source
http://www.cb300.com,company
http://www.cdbaby.com,company
http://www.census.gov,govt
http://www.ciaaw.org,sp_source
http://www.cineplex.com,company
http://www.clsp.jhu.edu,academia
http://www.coolantarctica.com,sp_source
http://www.crawltrack.net,company
http://www.crunchbase.com,company
http://www.culturalheritage.gov.mt,govt
http://www.dbnl.org,company
http://www.debian.org,company
http://www.demotix.com,sp_source
http://www.dnw.co.uk,company
http://www.dubaicityguide.com,company
http://www.e-yearbook.com,company
http://www.edanhughes.com,company
http://www.enciclopedia-aragonesa.com,other
http://www.entente-ee.com,company
http://www.esrb.org,company
http://www.eurodressage.com,company
http://www.eurohandball.com,company
http://www.europarl.europa.eu,govt
http://www.fifthharmonyofficial.com,company
http://www.filmovizija.com,company
http://www.filmreference.com,company
http://www.fivb.org,company
http://www.fromages-aop.com,company
http://www.fundacionbancosantander.com,company
http://www.futhead.com,company
http://www.gc-cup.com,company
http://www.genealogy.math.ndsu.nodak.edu,academia
http://www.geni.com,company
http://www.genome.gov,govt
http://www.geopostcodes.com,company
http://www.getty.edu,company
http://www.gmv.com,company
http://www.gracesguide.co.uk,company
http://www.guggenheim.org,company
http://www.hardcoregamer.com,company
http://www.henry-moore.org,company
http://www.hewlett.org,company
http://www.historicengland.org.uk,company
http://www.historyofparliamentonline.org,company
http://www.hmdb.ca,company
http://www.huffingtonpost.com,news
http://www.icheckmovies.com,company
http://www.imaginenews.com,company
http://www.independent.co.uk,news
http://www.infoplease.com,company
http://www.instagram.com,company
http://www.issf-sports.org,company
http://www.ittf.com,company
http://www.itu.int,govt
http://www.johnkcastle.com,company
http://www.journals.elsevier.com,company
http://www.jrrio.com,company
http://www.judoinside.com,company
http://www.jukely.com,company
http://www.kde.org,company
http://www.khronos.org,company
http://www.laquadrature.net,sp_source
http://www.legacy.com,company
http://www.leparcorama.com,company
http://www.leshommessansepaules.com,sp_source
http://www.liferay.com,company
http://www.livius.org,company
http://www.lulu.com,company
http://www.lynnnews.co.uk,company
http://www.mba.ac.uk,academia
http://www.metalstorm.net,company
http://www.metmuseum.org,company
http://www.microsofttranslator.com,company
http://www.moma.org,company
http://www.mozilla.org,company
http://www.mundoplus.tv,company
http://www.nationalgallery.org.uk,company
http://www.nationaltrustcollections.org.uk,company
http://www.ncbi.nlm.nih.gov,academia
http://www.newyorker.com,news
http://www.nfl.com,company
http://www.nga.gov,govt
http://www.nme.com,news
http://www.nndb.com,company
http://www.nndc.bnl.gov,govt
http://www.nytimes.com,news
http://www.ofcom.org.uk,govt
http://www.opensubtitles.org,sp_source
http://www.openvas.org,company
http://www.oxfordmusiconline.com,company
http://www.pafa.org,company
http://www.parlement.com,company
http://www.pastscape.org.uk,company
http://www.phillipscollection.org,company
http://www.planetehockey.com,company
http://www.poetsgraves.co.uk,company
http://www.procyclingstats.com,company
http://www.profilecanada.com,company
http://www.progarchives.com,company
http://www.pulitzer.org,company
http://www.rada.ac.uk,academia
http://www.redmine.org,company
http://www.redorbit.com,company
http://www.reunamedia.com,company
http://www.rhapsody.com,company
http://www.rio2016.com,company
http://www.royalcollection.org.uk,company
http://www.salvador-dali.org,company
http://www.salzburg.com,company
http://www.scottisharchitects.org.uk,company
http://www.siteducyclisme.net,sp_source
http://www.sothebys.com,company
http://www.speedskatingbase.eu,other
http://www.sports-reference.com,company
http://www.stoa.org,company
http://www.sufyanismail.com,sp_source
http://www.telegraph.co.uk,news
http://www.thecalmzone.net,company
http://www.thegazette.co.uk,company
http://www.thestar.com,news
