ref_value,publisher_type
http://8tracks.com,company
http://addons.mozilla.org,company
http://akas.imdb.com,company
http://americanart.si.edu,academia
http://archive.org,other
http://art.famsf.org,other
http://backuppc.cvs.sourceforge.net,other
http://bbti.bodleian.ox.ac.uk,academia
http://blog.mathieui.net,other
http://blog.torproject.org,other
http://blogs.windows.com,company
http://books.google.co.uk,company
http://brightlightsfilm.com,company
http://bse.sci-lib.com,company
http://chem.nlm.nih.gov,govt
http://classify.oclc.org,other
http://collection.cooperhewitt.org,academia
http://collections.artsmia.org,academia
http://collections.britishart.yale.edu,academia
http://collections.lacma.org,academia
http://commons.wikimedia.org,academia
http://daccess-ods.un.org,govt
http://dirigeant.societe.com,other
http://download.gnome.org,company
http://ekladata.com,company
http://electronicintifada.net,sp_source
http://en.mediamass.net,other
http://en.wikisource.org,academia
http://eprints.lancs.ac.uk,academia
http://equipboard.com,company
http://europeana.eu,company
http://factfinder.census.gov,govt
http://fdrmx.com,other
http://fedoraproject.org,company
http://feed.snapdo.com,nw
http://ffilms.org,other
http://fie.org,nw
http://figshare.com,company
http://firstcycling.com,sp_source
http://flickfacts.com,other
http://flymotorsich.com,other
http://fmg.ac,academia
http://forums.comodo.com,company
http://freemind.sourceforge.net,other
http://ftp.debian-ports.org,other
http://genealogy.az.gov,govt
http://geonames.usgs.gov,govt
http://github.com,company
http://groups.google.com,company
http://hansard.millbanksystems.com,nw
http://homepage.usask.ca,academia
http://iba-world.com,company
http://id.loc.gov,govt
http://identifiers.org,nw
http://independentlibraries.co.uk,other
http://instagram.com,company
http://itunes.apple.com,company
http://killiefc.com,other
http://lawandorder.wikia.com,other
http://leonocusto.blog66.fc2.com,other
http://library.la84.org,company
http://library.leeds.ac.uk,academia
http://lists.alioth.debian.org,other
http://lists.claws-mail.org,other
http://lists.freebsd.org,company
http://lists.netfilter.org,sp_source
http://lists.nongnu.org,sp_source
http://lists.torproject.org,sp_source
http://m.timesofindia.com,news
http://mail-archives.apache.org,nw
http://moma.org,academia
http://movie-locations.com,other
http://movieweb.com,company
http://mpse.org,other
http://museedelaresistanceenligne.org,nw
http://nablus.org,other
http://new.liveauctioneers.com,company
http://newspapers.library.wales,other
http://olat.org,other
http://online.wsj.com,company
http://oxfordindex.oup.com,company
http://phoronix.com,company
http://planetarynames.wr.usgs.gov,govt
http://pubchem.ncbi.nlm.nih.gov,academia
http://puppet.com,company
http://quickfacts.census.gov,govt
http://ratings.fide.com,other
http://runeberg.org,company
http://sites.asiasociety.org,academia
http://sourceforge.net,other
http://spamassassin.apache.org,company
http://specialcollections.le.ac.uk,academia
http://speedskatingstats.com,other
http://splitsider.com,other
http://sports.yahoo.com,company
http://support.google.com,company
http://thebloxwichtelegraph.com,other
http://thedancingrest.com,other
http://tools.ietf.org,other
http://twitter.com,company
http://uk.soccerway.com,company
http://viaf.org,academia
http://vimeo.com,company
http://vocab.getty.edu,other
http://wbo.llgc.org.uk,nw
http://web.archive.org,other
http://welt-der-form.net,other
http://whc.unesco.org,govt
http://www.4shared.com,company
http://www.aada.edu,academia
http://www.allmusic.com,company
http://www.ambafrance-tr.org,govt
http://www.annualreviews.org,academia
http://www.arabianbusiness.com,company
http://www.archive.org,company
http://www.archlinux.org,company
http://www.artistdirect.com,company
http://www.artsjournal.com,company
http://www.audacityteam.org,company
http://www.badmintonlink.com,other
http://www.bbc.co.uk,news
http://www.billgladstone.ca,company
http://www.bindingdb.org,other
http://www.bizjournals.com,company
http://www.blackfilm.com,company
http://www.blakeschool.org,academia
http://www.blend4web.com,company
http://www.boxofficemojo.com,company
http://www.bristol.ac.uk,academia
http://www.britannica.com,company
http://www.britishlistedbuildings.co.uk,company
http://www.britishmuseum.org,company
http://www.brooklynmuseum.org,company
http://www.bvbinfo.com,company
http://www.canada.com,company
http://www.catholic-hierarchy.org,academia
http://www.cb300.com,other
http://www.cdbaby.com,company
http://www.census.gov,govt
http://www.ciaaw.org,company
http://www.cineplex.com,company
http://www.clsp.jhu.edu,academia
http://www.coolantarctica.com,other
http://www.crawltrack.net,other
http://www.crunchbase.com,company
http://www.culturalheritage.gov.mt,govt
http://www.dbnl.org,nw
http://www.debian.org,company
http://www.demotix.com,company
http://www.dnw.co.uk,nw
http://www.dubaicityguide.com,other
http://www.e-yearbook.com,company
http://www.edanhughes.com,company
http://www.enciclopedia-aragonesa.com,other
http://www.entente-ee.com,company
http://www.esrb.org,company
http://www.eurodressage.com,company
http://www.eurohandball.com,company
http://www.europarl.europa.eu,govt
http://www.fifthharmonyofficial.com,company
http://www.filmovizija.com,other
http://www.filmreference.com,company
http://www.fivb.org,govt
http://www.fromages-aop.com,other
http://www.fundacionbancosantander.com,company
http://www.futhead.com,company
http://www.gc-cup.com,nw
http://www.genealogy.math.ndsu.nodak.edu,academia
http://www.geni.com,company
http://www.genome.gov,govt
http://www.geopostcodes.com,company
http://www.getty.edu,govt
http://www.gmv.com,company
http://www.gracesguide.co.uk,company
http://www.guggenheim.org,company
http://www.hardcoregamer.com,company
http://www.henry-moore.org,academia
http://www.hewlett.org,company
http://www.historicengland.org.uk,company
http://www.historyofparliamentonline.org,academia
http://www.hmdb.ca,company
http://www.huffingtonpost.com,news
http://www.icheckmovies.com,company
http://www.imaginenews.com,other
http://www.independent.co.uk,news
http://www.infoplease.com,company
http://www.instagram.com,company
http://www.issf-sports.org,company
http://www.ittf.com,company
http://www.itu.int,govt
http://www.johnkcastle.com,company
http://www.journals.elsevier.com,academia
http://www.jrrio.com,other
http://www.judoinside.com,company
http://www.jukely.com,company
http://www.kde.org,company
http://www.khronos.org,company
http://www.laquadrature.net,company
http://www.legacy.com,company
http://www.leparcorama.com,other
http://www.leshommessansepaules.com,other
http://www.liferay.com,company
http://www.livius.org,other
http://www.lulu.com,company
http://www.lynnnews.co.uk,news
http://www.mba.ac.uk,academia
http://www.metalstorm.net,company
http://www.metmuseum.org,academia
http://www.microsofttranslator.com,company
http://www.moma.org,academia
http://www.mozilla.org,company
http://www.mundoplus.tv,company
http://www.nationalgallery.org.uk,academia
http://www.nationaltrustcollections.org.uk,company
http://www.ncbi.nlm.nih.gov,academia
http://www.newyorker.com,news
http://www.nfl.com,company
http://www.nga.gov,govt
http://www.nme.com,company
http://www.nndb.com,other
http://www.nndc.bnl.gov,govt
http://www.nytimes.com,news
http://www.ofcom.org.uk,govt
http://www.opensubtitles.org,company
http://www.openvas.org,company
http://www.oxfordmusiconline.com,company
http://www.pafa.org,company
http://www.parlement.com,other
http://www.pastscape.org.uk,other
http://www.phillipscollection.org,company
http://www.planetehockey.com,company
http://www.poetsgraves.co.uk,other
http://www.procyclingstats.com,company
http://www.profilecanada.com,company
http://www.progarchives.com,company
http://www.pulitzer.org,govt
http://www.rada.ac.uk,academia
http://www.redmine.org,company
http://www.redorbit.com,company
http://www.reunamedia.com,company
http://www.rhapsody.com,company
http://www.rio2016.com,other
http://www.royalcollection.org.uk,govt
http://www.salvador-dali.org,other
http://www.salzburg.com,company
http://www.scottisharchitects.org.uk,company
http://www.siteducyclisme.net,other
http://www.sothebys.com,company
http://www.speedskatingbase.eu,company
http://www.sports-reference.com,company
http://www.stoa.org,nw
http://www.sufyanismail.com,sp_source
http://www.telegraph.co.uk,news
http://www.thecalmzone.net,other
http://www.thegazette.co.uk,company
http://www.thestar.com,news
http://www.thetalentmanager.co.uk,company
http://www.thetelegraphandargus.co.uk,company
