ref_value,publisher_verification
http://8tracks.com,non_trad_news
http://addons.mozilla.org,trad_news
http://akas.imdb.com,nw
http://americanart.si.edu,trad_news
http://amturing.acm.org,academia_uni
http://archive.org,trad_news
http://art.famsf.org,ne
http://backuppc.cvs.sourceforge.net,non_trad_news
http://bbfc.co.uk,trad_news
http://bbti.bodleian.ox.ac.uk,nw
http://blog.mathieui.net,non_trad_news
http://blog.process-one.net,non_trad_news
http://blog.torproject.org,no_profit
http://blogs.windows.com,non_trad_news
http://books.google.co.uk,nw
http://brightlightsfilm.com,non_trad_news
http://chem.nlm.nih.gov,trad_news
http://chibi.ubc.ca,academia_uni
http://classify.oclc.org,academia_pub
http://collection.cooperhewitt.org,academia_uni
http://collections.artsmia.org,cultural
http://collections.britishart.yale.edu,academia_uni
http://collections.lacma.org,trad_news
http://commons.wikimedia.org,academia_pub
http://daccess-ods.un.org,no_profit
http://data.ordnancesurvey.co.uk,trad_news
http://directory.fsf.org,academia_pub
http://electronicintifada.net,trad_news
http://en.mediamass.net,no_profit
http://en.wikisource.org,trad_news
http://eprints.lancs.ac.uk,academia_uni
http://equipboard.com,ne
http://espn.go.com,trad_news
http://europeana.eu,nw
http://factfinder.census.gov,yes
http://fdrmx.com,ne
http://fedoraproject.org,vendor
http://feed.snapdo.com,ne
http://ffilms.org,ne
http://fie.org,no_profit
http://figshare.com,academia_pub
http://firstcycling.com,trad_news
http://flymotorsich.com,nw
http://fmg.ac,academia_uni
http://forum.mql4.com,trad_news
http://forums.comodo.com,nw
http://fossilworks.org,academia_pub
http://freemind.sourceforge.net,academia_uni
http://ftp.debian-ports.org,trad_news
http://genealogy.az.gov,vendor
http://geonames.usgs.gov,trad_news
http://git.gnome.org,ne
http://git.kernel.org,ne
http://github.com,academia_uni
http://groups.google.com,non_trad_news
http://hansard.millbanksystems.com,trad_news
http://hg.mozilla.org,ne
http://iba-world.com,nw
http://id.loc.gov,trad_news
http://identifiers.org,nw
http://iditarod.com,trad_news
http://independentlibraries.co.uk,no_profit
http://instagram.com,non_trad_news
http://itunes.apple.com,trad_news
http://killiefc.com,no_profit
http://lawandorder.wikia.com,political
http://library.la84.org,academia_uni
http://lists.alioth.debian.org,academia_uni
http://lists.freebsd.org,ne
http://lists.gnu.org,academia_pub
http://lists.netfilter.org,trad_news
http://lists.nongnu.org,no_profit
http://lists.torproject.org,academia_uni
http://m.timesofindia.com,trad_news
http://mail-archives.apache.org,trad_news
http://man.9front.org,nw
http://marvel.com,trad_news
http://moma.org,academia_pub
http://movie-locations.com,non_trad_news
http://movieweb.com,non_trad_news
http://mpse.org,academia_uni
http://new.liveauctioneers.com,nw
http://olat.org,no_profit
http://oneprocycling.com,vendor
http://online.wsj.com,trad_news
http://oxfordindex.oup.com,trad_news
http://peerj.com,academia_pub
http://phoronix.com,trad_news
http://planetarynames.wr.usgs.gov,trad_news
http://pubchem.ncbi.nlm.nih.gov,academia_pub
http://puppet.com,vendor
http://ratings.fide.com,trad_news
http://runeberg.org,trad_news
http://sites.asiasociety.org,no_profit
http://sourceforge.net,ne
http://spamassassin.apache.org,academia_pub
http://speedskatingstats.com,trad_news
http://splitsider.com,no
http://sports.yahoo.com,non_trad_news
http://support.google.com,vendor
http://thebloxwichtelegraph.com,ne
http://thedancingrest.com,nw
http://tools.ietf.org,trad_news
http://twitter.com,non_trad_news
http://uk.soccerway.com,nw
http://viaf.org,academia_uni
http://vimeo.com,ne
http://vk.com,ne
http://vocab.getty.edu,trad_news
http://web.archive.org,ne
http://wevegotyoucovered.buzznet.com,non_trad_news
http://whc.unesco.org,no_profit
http://www-history.mcs.st-andrews.ac.uk,trad_news
http://www.4shared.com,non_trad_news
http://www.aada.edu,academia_uni
http://www.allmusic.com,non_trad_news
http://www.annualreviews.org,academia_pub
http://www.arabianbusiness.com,trad_news
http://www.archive.org,trad_news
http://www.archlinux.org,nw
http://www.artic.edu,academia_other
http://www.artistdirect.com,vendor
http://www.artsbma.org,no_profit
http://www.artsjournal.com,no_profit
http://www.audacityteam.org,no_profit
http://www.badmintonlink.com,nw
http://www.bbc.co.uk,trad_news
http://www.billgladstone.ca,no_profit
http://www.bindingdb.org,no_profit
http://www.bizjournals.com,trad_news
http://www.blackfilm.com,trad_news
http://www.blakeschool.org,no_profit
http://www.blend4web.com,non_trad_news
http://www.boxofficemojo.com,trad_news
http://www.bristol.ac.uk,trad_news
http://www.britannica.com,trad_news
http://www.britishlistedbuildings.co.uk,trad_news
http://www.britishmuseum.org,trad_news
