ref_value,author_type
http://8tracks.com/angeloflight12/shake-it-up-dance,organisation
http://akas.imdb.com/name/nm2304352/,individual
http://americanart.si.edu/collections/search/artwork/?id=11098,organisation
http://americanart.si.edu/collections/search/artwork/?id=11416,individual
http://americanart.si.edu/collections/search/artwork/?id=11819,organisation
http://americanart.si.edu/collections/search/artwork/?id=14493,organisation
http://americanart.si.edu/collections/search/artwork/?id=20476,individual
http://americanart.si.edu/collections/search/artwork/?id=21513,organisation
http://americanart.si.edu/collections/search/artwork/?id=22834,organisation
http://americanart.si.edu/collections/search/artwork/?id=25639,organisation
http://americanart.si.edu/collections/search/artwork/?id=25825,organisation
http://americanart.si.edu/collections/search/artwork/?id=25858,organisation
http://americanart.si.edu/collections/search/artwork/?id=26050,organisation
http://americanart.si.edu/collections/search/artwork/?id=26233,organisation
http://americanart.si.edu/collections/search/artwork/?id=26314,organisation
http://americanart.si.edu/collections/search/artwork/?id=26486,organisation
http://americanart.si.edu/collections/search/artwork/?id=26587,organisation
http://americanart.si.edu/collections/search/artwork/?id=27878,organisation
http://americanart.si.edu/collections/search/artwork/?id=28340,organisation
http://americanart.si.edu/collections/search/artwork/?id=31889,organisation
http://americanart.si.edu/collections/search/artwork/?id=33467,organisation
http://amturing.acm.org/award_winners/mccarthy_0239596.cfm,individual
http://art.famsf.org/luca-di-tomme/crucifixion-61443,organisation
http://art.famsf.org/thomas-eakins/professor-william-woolsey-johnson-19933528,individual
http://bbfc.co.uk/releases/electra-my-love-1974,organisation
http://bbfc.co.uk/releases/m%C3%A9g-k%C3%A9r-n%C3%A9p-1972,organisation
http://bbti.bodleian.ox.ac.uk/details/?traderid=46872,organisation
http://brightlightsfilm.com/55/55brightsights.php,organisation
http://bse.sci-lib.com/article001911.html,organisation
http://chem.sis.nlm.nih.gov/chemidplus/rn/99-83-2,organisation
http://classify.oclc.org/classify2/ClassifyDemo?wi=244205816,organisation
http://collections.britishart.yale.edu/vufind/Record/1665327,organisation
http://collections.britishart.yale.edu/vufind/Record/1668391,organisation
http://collections.britishart.yale.edu/vufind/Record/3866211,individual
http://collections.lacma.org/node/172826,organisation
http://collections.lacma.org/node/173830,organisation
http://collections.lacma.org/node/188668,organisation
http://collections.lacma.org/node/193799,individual
http://collections.lacma.org/node/201897,individual
http://collections.lacma.org/node/206814,organisation
http://collections.lacma.org/node/2092281,organisation
http://collections.lacma.org/node/2114212,organisation
http://collections.lacma.org/node/212182,organisation
http://collections.lacma.org/node/219645,organisation
http://collections.lacma.org/node/243436,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/34/37&Lang=E,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54(I)&Lang=E,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54/4&Lang=E,organisation
http://data.ordnancesurvey.co.uk/doc/7000000000025498,organisation
http://dirigeant.societe.com/dirigeant/Olivier.RADOT.64009682.html,individual
http://download.oldium.net/karel/karel-2.0.5.tar.gz,organisation
http://ekladata.com/rl2BN3HcBBXXT7U3ZV_W6foev0Y/BIOGRAPHIE.pdf,organisation
http://electronicintifada.net/v2/article10485.shtml,individual
http://eprints.lancs.ac.uk/80161/1/MBMJ_Author_Copy.pdf,individual
http://equipboard.com/pros/jeremy-michael-ward,individual
http://espn.go.com/olympics/winter/2014/athletes/_/athlete/34894/hermann-maier,individual
http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_37548.html,organisation
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_1558___.html,organisation
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_4347___.html,organisation
http://europeana.eu/portal/record//90402/SK_A_1115.html,organisation
http://europeana.eu/portal/record//90402/SK_A_135.html,organisation
http://europeana.eu/portal/record//90402/SK_A_2420.html,organisation
http://europeana.eu/portal/record//90402/SK_A_2664.html,organisation
http://europeana.eu/portal/record//90402/SK_A_3064.html,organisation
http://europeana.eu/portal/record//90402/SK_A_3276.html,organisation
http://europeana.eu/portal/record//90402/SK_A_3841.html,organisation
http://europeana.eu/portal/record//90402/SK_A_4691.html,organisation
http://europeana.eu/portal/record//90402/SK_C_612.html,organisation
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0032.html,organisation
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0090.html,organisation
http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4151700,organisation
http://factfinder.census.gov/bkmk/table/1.0/en/PEP/2015/PEPANNRES/1620000US4184200,organisation
http://fdrmx.com/ok-go-oh-track-track-album-review/,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Brenninkmeijer_family,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Nikolay_Khomyakov,organisation
http://ffilms.org/atm-2012/,organisation
http://fie.org/fencers/Mona-SHAITO-22165/biography,organisation
http://firstcycling.com/rider.php?r=1642,organisation
http://firstcycling.com/rider.php?r=21250,organisation
http://firstcycling.com/rider.php?r=24650,organisation
http://firstcycling.com/rider.php?r=26948.,organisation
http://firstcycling.com/team.php?l=2890,organisation
http://firstcycling.com/team.php?l=3361,organisation
http://flickfacts.com/actor/xavier-samuel,individual
http://flymotorsich.com/en/pages/fleet,organisation
http://fmg.ac/Projects/MedLands/AQUITAINE.htm#AdelindaMAcfredoICarcassonne,organisation
http://fmg.ac/Projects/MedLands/BURGUNDY%20Kingdom.htm,organisation
http://fmg.ac/Projects/MedLands/FRANKSMaiordomi.htm,organisation
