ref_value,publisher_type
http://addons.mozilla.org,company
http://americanart.si.edu,company
http://archive.org,company
http://art.famsf.org,company
http://backuppc.cvs.sourceforge.net,company
http://bbti.bodleian.ox.ac.uk,company
http://blog.mathieui.net,company
http://blog.torproject.org,company
http://blogs.windows.com,company
http://books.google.co.uk,company
http://bse.sci-lib.com,company
http://chem.nlm.nih.gov,govt
http://collection.cooperhewitt.org,company
http://collections.artsmia.org,company
http://collections.britishart.yale.edu,company
http://collections.lacma.org,company
http://commons.wikimedia.org,company
http://daccess-ods.un.org,govt
http://dirigeant.societe.com,company
http://download.gnome.org,nw
http://electronicintifada.net,sp_source
http://en.mediamass.net,company
http://en.wikisource.org,company
http://eprints.lancs.ac.uk,academia
http://fdrmx.com,company
http://fedoraproject.org,company
http://feed.snapdo.com,company
http://ffilms.org,company
http://fie.org,company
http://firstcycling.com,sp_source
http://flickfacts.com,company
http://flymotorsich.com,company
http://fmg.ac,company
http://forums.comodo.com,company
http://freemind.sourceforge.net,company
http://ftp.debian-ports.org,nw
http://geonames.usgs.gov,govt
http://github.com,company
http://groups.google.com,company
http://iba-world.com,company
http://id.loc.gov,govt
http://identifiers.org,nw
http://independentlibraries.co.uk,company
http://instagram.com,company
http://itunes.apple.com,company
http://killiefc.com,company
http://lawandorder.wikia.com,company
http://leonocusto.blog66.fc2.com,sp_source
http://library.la84.org,company
http://library.leeds.ac.uk,company
http://lists.alioth.debian.org,company
http://lists.claws-mail.org,nw
http://lists.freebsd.org,govt
http://lists.nongnu.org,sp_source
http://lists.torproject.org,company
http://m.timesofindia.com,company
http://mail-archives.apache.org,govt
http://movie-locations.com,company
http://movieweb.com,company
http://mpse.org,company
http://museedelaresistanceenligne.org,sp_source
http://nablus.org,company
http://new.liveauctioneers.com,company
http://olat.org,company
http://phoronix.com,company
http://planetarynames.wr.usgs.gov,govt
http://pubchem.ncbi.nlm.nih.gov,company
http://puppet.com,company
http://ratings.fide.com,company
http://runeberg.org,company
http://sourceforge.net,company
http://spamassassin.apache.org,company
http://specialcollections.le.ac.uk,company
http://speedskatingstats.com,company
http://splitsider.com,company
http://sports.yahoo.com,company
http://support.google.com,company
http://thedancingrest.com,company
http://tools.ietf.org,company
http://uk.soccerway.com,company
http://viaf.org,company
http://vimeo.com,company
http://vocab.getty.edu,company
http://wbo.llgc.org.uk,company
http://web.archive.org,nw
http://welt-der-form.net,company
http://whc.unesco.org,company
http://www.4shared.com,company
