ref_value,publisher_verification
http://addons.mozilla.org,trad_news
http://americanart.si.edu,cultural
http://amturing.acm.org,ne
http://archive.org,nw
http://art.famsf.org,cultural
http://backuppc.cvs.sourceforge.net,non_trad_news
http://bbfc.co.uk,nw
http://bbti.bodleian.ox.ac.uk,nw
http://blog.mathieui.net,ne
http://blog.torproject.org,non_trad_news
http://blogs.windows.com,non_trad_news
http://books.google.co.uk,vendor
http://chem.nlm.nih.gov,nw
http://chibi.ubc.ca,nw
http://collection.cooperhewitt.org,cultural
http://collections.artsmia.org,cultural
http://collections.britishart.yale.edu,ne
http://collections.lacma.org,cultural
http://commons.wikimedia.org,nw
http://daccess-ods.un.org,ne
http://data.ordnancesurvey.co.uk,nw
http://directory.fsf.org,no_profit
http://electronicintifada.net,non_trad_news
http://en.mediamass.net,non_trad_news
http://en.wikisource.org,ne
http://eprints.lancs.ac.uk,academia_uni
http://espn.go.com,trad_news
http://fdrmx.com,non_trad_news
http://fedoraproject.org,nw
http://feed.snapdo.com,nw
http://ffilms.org,nw
http://fie.org,nw
http://firstcycling.com,non_trad_news
http://flymotorsich.com,nw
http://fmg.ac,academia_other
http://forum.mql4.com,ne
http://forums.comodo.com,ne
http://fossilworks.org,ne
http://freemind.sourceforge.net,ne
http://ftp.debian-ports.org,nw
http://geonames.usgs.gov,nw
http://git.gnome.org,nw
http://git.kernel.org,trad_news
http://github.com,nw
http://groups.google.com,ne
http://iba-world.com,ne
http://id.loc.gov,yes
http://identifiers.org,nw
http://iditarod.com,non_profit
http://independentlibraries.co.uk,cultural
http://instagram.com,nw
http://itunes.apple.com,trad_news
http://killiefc.com,non_trad_news
http://lawandorder.wikia.com,non_trad_news
http://library.la84.org,nw
http://lists.alioth.debian.org,ne
http://lists.freebsd.org,trad_news
http://lists.gnu.org,non_trad_news
http://lists.nongnu.org,nw
http://m.timesofindia.com,trad_news
http://mail-archives.apache.org,nw
http://man.9front.org,non_trad_news
http://marvel.com,cultural
http://movie-locations.com,non_trad_news
http://movieweb.com,non_trad_news
http://mpse.org,cultural
http://new.liveauctioneers.com,nw
http://olat.org,academia_uni
http://oneprocycling.com,ne
http://peerj.com,trad_news
http://phoronix.com,non_trad_news
http://planetarynames.wr.usgs.gov,ne
http://pubchem.ncbi.nlm.nih.gov,no_profit
http://puppet.com,nw
http://ratings.fide.com,nw
http://runeberg.org,cultural
http://sourceforge.net,ne
http://spamassassin.apache.org,nw
http://speedskatingstats.com,ne
http://splitsider.com,non_trad_news
http://sports.yahoo.com,non_trad_news
http://support.google.com,nw
http://tools.ietf.org,nw
http://uk.soccerway.com,nw
http://viaf.org,ne
http://vimeo.com,nw
http://vk.com,nw
http://vocab.getty.edu,cultural
http://web.archive.org,trad_news
http://whc.unesco.org,ne
http://www.4shared.com,nw
http://www.aada.edu,cultural
http://www.allmusic.com,non_trad_news
http://www.arabianbusiness.com,trad_news
http://www.archive.org,non_profit
http://www.archlinux.org,nw
http://www.artistdirect.com,nw
http://www.artsjournal.com,nw
http://www.audacityteam.org,non_trad_news
http://www.bbc.co.uk,trad_news
http://www.billgladstone.ca,no_profit
http://www.bindingdb.org,nw
http://www.bizjournals.com,trad_news
http://www.blackfilm.com,non_trad_news
http://www.blakeschool.org,ne
http://www.blend4web.com,nw
http://www.boxofficemojo.com,ne
http://www.bristol.ac.uk,academia_uni
http://www.britannica.com,trad_news
http://www.brooklynmuseum.org,cultural
http://www.businessinsider.com,trad_news
http://www.bvbinfo.com,nw
http://www.canada.com,trad_news
http://www.catholic-hierarchy.org,non_trad_news
http://www.cb300.com,nw
http://www.cdbaby.com,vendor
http://www.census.gov,non_profit
http://www.ciaaw.org,academia_pub
http://www.clsp.jhu.edu,academia_uni
http://www.coolantarctica.com,non_trad_news
http://www.crawltrack.net,non_trad_news
http://www.crunchbase.com,ne
http://www.cyclingnews.com,trad_news
http://www.debian.org,no_profit
http://www.dubaicityguide.com,ne
http://www.dulwichpicturegallery.org.uk,cultural
http://www.e-yearbook.com,nw
http://www.edanhughes.com,nw
http://www.entente-ee.com,nw
http://www.esrb.org,trad_news
http://www.eurodressage.com,non_trad_news
http://www.eurohandball.com,ne
http://www.europarl.europa.eu,trad_news
http://www.filmreference.com,nw
http://www.findagrave.com,non_trad_news
http://www.fundacionbancosantander.com,cultural
http://www.futhead.com,nw
http://www.fye.com,nw
http://www.gc-cup.com,nw
http://www.genome.gov,non_profit
http://www.geonames.org,ne
http://www.geopostcodes.com,vendor
http://www.getty.edu,cultural
http://www.ghostscript.com,nw
http://www.gmv.com,ne
http://www.gracesguide.co.uk,ne
http://www.guggenheim.org,cultural
http://www.hardcoregamer.com,ne
http://www.henry-moore.org,cultural
http://www.hewlett.org,nw
http://www.hmdb.ca,academia_pub
http://www.holyhead.com,non_trad_news
http://www.huffingtonpost.com,non_trad_news
http://www.independent.co.uk,trad_news
http://www.instagram.com,ne
http://www.issf-sports.org,trad_news
http://www.ittf.com,ne
http://www.itu.int,nw
http://www.johnkcastle.com,nw
http://www.jrrio.com,ne
http://www.judoinside.com,non_trad_news
http://www.kde.org,non_trad_news
http://www.khronos.org,ne
http://www.laquadrature.net,ne
http://www.leparcorama.com,nw
http://www.liferay.com,ne
http://www.liveleak.com,non_trad_news
http://www.livius.org,non_trad_news
http://www.lulu.com,vendor
http://www.lutyenstrust.org.uk,cultural
http://www.lynnnews.co.uk,trad_news
http://www.mba.ac.uk,nw
http://www.metacritic.com,trad_news
http://www.metalstorm.net,non_trad_news
http://www.metmuseum.org,cultural
http://www.mfa.org,cultural
http://www.microsofttranslator.com,ne
http://www.mozilla.org,no_profit
http://www.music-bazaar.com,vendor
http://www.nationalgallery.org.uk,cultural
http://www.nationaltrustcollections.org.uk,ne
http://www.ncbi.nlm.nih.gov,nw
http://www.newyorker.com,trad_news
http://www.nfl.com,trad_news
http://www.nga.gov,cultural
http://www.nndb.com,non_trad_news
http://www.nndc.bnl.gov,ne
http://www.nytimes.com,trad_news
http://www.openvas.org,trad_news
http://www.oregonencyclopedia.org,cultural
http://www.pafa.org,cultural
http://www.pastscape.org.uk,nw
http://www.philamuseum.org,cultural
http://www.phillipscollection.org,cultural
http://www.poetsgraves.co.uk,nw
http://www.procyclingstats.com,ne
http://www.profilecanada.com,trad_news
http://www.progarchives.com,prognews
http://www.rada.ac.uk,cultural
http://www.redmine.org,nw
http://www.redorbit.com,trad_news
http://www.rhapsody.com,nw
http://www.rio2016.com,nw
http://www.rollingstone.com,trad_news
http://www.salvador-dali.org,cultural
http://www.scottisharchitects.org.uk,ne
http://www.sctimes.com,trad_news
http://www.sothebys.com,cultural
http://www.sufyanismail.com,non_trad_news
http://www.telegraph.co.uk,trad_news
http://www.thegazette.co.uk,trad_news
http://www.theguardian.com,trad_news
http://www.thestar.com,trad_news
http://www.thetalentmanager.co.uk,non_trad_news
http://www.thetelegraphandargus.co.uk,trad_news
http://www.thnk.org,nw
http://www.transsiberianexpress.net,nw
http://www.tvfestival.com,trad_news
http://www.unesco.org,non_profit
http://www.valpo.edu,non_trad_news
http://www.viaf.org,ne
http://www.virtualbox.org,nw
http://www.washingtonpost.com,trad_news
http://www.webcitation.org,nw
http://www.who.int,no_profit
http://www.wireshark.org,nw
http://yba.llgc.org.uk,non_trad_news
http://yum.baseurl.org,nw
