ref_value,status
http://8tracks.com/angeloflight12/shake-it-up-dance,unreachable
http://akas.imdb.com/name/nm2304352/,unreachable
http://art.famsf.org/luca-di-tomme/crucifixion-61443,unreachable
http://art.famsf.org/thomas-eakins/professor-william-woolsey-johnson-19933528,unreachable
http://bbfc.co.uk/releases/electra-my-love-1974,unreachable
http://bbfc.co.uk/releases/m%C3%A9g-k%C3%A9r-n%C3%A9p-1972,unreachable
http://brightlightsfilm.com/55/55brightsights.php,unreachable
http://chem.sis.nlm.nih.gov/chemidplus/rn/99-83-2,unreachable
http://classify.oclc.org/classify2/ClassifyDemo?wi=244205816,unreachable
http://equipboard.com/pros/jeremy-michael-ward,unreachable
http://espn.go.com/olympics/winter/2014/athletes/_/athlete/34894/hermann-maier,unreachable
http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_37548.html,unreachable
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_1558___.html,unreachable
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_4347___.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_1115.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_135.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_2420.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_2664.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_3064.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_3276.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_3841.html,unreachable
http://europeana.eu/portal/record//90402/SK_A_4691.html,unreachable
http://europeana.eu/portal/record//90402/SK_C_612.html,unreachable
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0032.html,unreachable
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0090.html,unreachable
http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4151700,unreachable
http://factfinder.census.gov/bkmk/table/1.0/en/PEP/2015/PEPANNRES/1620000US4184200,unreachable
http://fdrmx.com/ok-go-oh-track-track-album-review/,unreachable
http://ftp.debian-ports.org/debian-cd/hurd-i386/debian-hurd-2015/README.txt,unreachable
http://genealogy.az.gov/azbirth/1044/10440674.pdf,unreachable
http://geonames.usgs.gov/docs/stategaz/GOVT_UNITS_20131208.zip,unreachable
http://hansard.millbanksystems.com/people/mr-charles-towneley,unreachable
http://identifiers.org/wikipathways/WP1423_r79812,unreachable
http://identifiers.org/wikipathways/WP2190_r74089,unreachable
http://identifiers.org/wikipathways/WP2289_r78511,unreachable
http://identifiers.org/wikipathways/WP2533_r85647,unreachable
http://identifiers.org/wikipathways/WP691_r85084,unreachable
http://identifiers.org/wikipathways/WP697_r85083,unreachable
http://independentlibraries.co.uk/directory-langholm-to-portico/the-london-library,unreachable
http://killiefc.com/en/jackie-mcinally_50957/,unreachable
http://lists.netfilter.org/pipermail/netfilter-announce/2015/000217.html,unreachable
http://moma.org/collection/works/2851,unreachable
http://movie-locations.com/movies/i/Incredible-Hulk.html,unreachable
http://movieweb.com/movie/piglets-big-movie/,unreachable
http://mpse.org/golden-reel-awards/past-awards/2012-awards/2012-golden-reel-awards-television/,unreachable
http://newspapers.library.wales/view/3614615/3614616/2/,unreachable
http://newspapers.library.wales/view/3764400/3764408/95/,unreachable
http://olat.org/product/sources,unreachable
http://oneprocycling.com/James-Oram/,unreachable
http://online.wsj.com/news/articles/SB10001424052748704869304574595973007231140,unreachable
http://oxfordindex.oup.com/view/10.1093/benz/9780199773787.article.B00144121,unreachable
http://sites.asiasociety.org/conference01/html/bio_helleur.html,unreachable
http://splitsider.com/2010/08/welcome-to-splitsider/,unreachable
http://thebloxwichtelegraph.com/2011/11/13/remembering-harold-parry/,unreachable
http://thedancingrest.com/2013/06/11/song-of-the-day-cloud-cult-no-one-said-it-would-be-easy/,unreachable
http://users.bwr.eastlink.ca/~pjrj/johnjack/aqwg01.htm,unreachable
http://users.bwr.eastlink.ca/~pjrj/johnjack/aqwn01.htm,unreachable
http://wevegotyoucovered.buzznet.com/user/journal/17251682/buzznet-exclusive-keanes-tom-chaplin/,unreachable
http://www-history.mcs.st-andrews.ac.uk/Biographies/Bernstein_Felix.html,unreachable
http://www.4shared.com/mp3/5BCF9c4T/maynard_ferguson_don_t_stop_till_you_get_enough.html,unreachable
http://www.ambafrance-tr.org/Ambassadeur-de-France-en-Turquie-M-Charles-FRIES,unreachable
http://www.annualreviews.org/doi/abs/10.1146/annurev.ns.07.120157.002203,unreachable
http://www.artic.edu/aic/collections/artwork/103391,unreachable
http://www.artic.edu/aic/collections/artwork/111060,unreachable
http://www.artic.edu/aic/collections/artwork/223736,unreachable
http://www.artic.edu/aic/collections/artwork/34181,unreachable
http://www.artic.edu/aic/collections/artwork/60260,unreachable
http://www.artic.edu/aic/collections/artwork/61103,unreachable
http://www.artic.edu/aic/collections/artwork/86286,unreachable
http://www.artsbma.org/pieces/between-the-lines/,unreachable
http://www.artsbma.org/pieces/daura-house-at-dusk/,unreachable
http://www.artsbma.org/pieces/tobias-and-the-angel-curing-tobit-of-blindness/,unreachable
http://www.audacityteam.org/audacity-2-1-2-released/,unreachable
http://www.badmintonlink.com/Player-Info/105/Joachim_Persson,unreachable
http://www.badzine.net/features/profile-2/917/,unreachable
http://www.bbc.co.uk/arts/yourpaintings/artists/william-armfield-smith,unreachable
http://www.britishlistedbuildings.co.uk/wa-15461-the-cors-y-gedol-hotel-high-street-ne-sid#.V5ISWPkrKUk,unreachable
http://www.britishlistedbuildings.co.uk/wa-2043-church-of-st-peter-mathern,unreachable
http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=3062047&partId=1,unreachable
http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?people=127877&object=22909&ILINK,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=110282,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=117784,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=122895,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=130225,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=130759,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=133332,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=151237,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=181037,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=42770,unreachable
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=94034,unreachable
http://www.cb300.com/mushers.aspx,unreachable
http://www.cb300.com/pastrace2011.aspx,unreachable
http://www.cb300.com/raceinfo.aspx,unreachable
http://www.cdbaby.com/cd/pumpkinbuzzard5,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0016.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0087.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0095.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0209.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0218.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng0971.html,unreachable
http://www.cdc.gov/niosh/ipcsneng/neng1480.html,unreachable
http://www.census.gov/population/cencounts/ok190090.txt,unreachable
http://www.census.gov/prod/cen2010/cph-1-47.pdf,unreachable
http://www.cineplex.com/People/mathieu-carriere,unreachable
http://www.demotix.com/news/6322968/cesare-cremonini-performs-live-sold-out-pala-alpitour-arena/all-media,unreachable
http://www.discogs.com/5th-Element-Kakkonen/release/1497359,unreachable
http://www.discogs.com/Anggun-Elevation/release/3679157,unreachable
http://www.discogs.com/Dollie-De-Luxe-Rock-Vs-Opera/release/3426232,unreachable
http://www.dnw.co.uk/auction-archive/catalogue-archive/lot.php?auction_id=300&lot_id=155961,unreachable
