ref_value,status
http://8tracks.com,unreachable
http://akas.imdb.com,unreachable
http://blog.process-one.net,unreachable
http://brightlightsfilm.com,unreachable
http://classify.oclc.org,unreachable
http://equipboard.com,unreachable
http://europeana.eu,unreachable
http://factfinder.census.gov,unreachable
http://figshare.com,unreachable
http://genealogy.az.gov,unreachable
http://hansard.millbanksystems.com,unreachable
http://hg.mozilla.org,unreachable
http://lists.netfilter.org,unreachable
http://lists.torproject.org,unreachable
http://moma.org,unreachable
http://online.wsj.com,unreachable
http://oxfordindex.oup.com,unreachable
http://sites.asiasociety.org,unreachable
http://thebloxwichtelegraph.com,unreachable
http://thedancingrest.com,unreachable
http://twitter.com,unreachable
http://wevegotyoucovered.buzznet.com,unreachable
http://www-history.mcs.st-andrews.ac.uk,unreachable
http://www.annualreviews.org,unreachable
http://www.artic.edu,unreachable
http://www.artsbma.org,unreachable
http://www.badmintonlink.com,unreachable
http://www.britishlistedbuildings.co.uk,unreachable
http://www.britishmuseum.org,unreachable
http://www.cineplex.com,unreachable
http://www.culturalheritage.gov.mt,unreachable
http://www.darkhorse.com,unreachable
http://www.discogs.com,unreachable
http://www.dnw.co.uk,unreachable
http://www.fifa.com,unreachable
http://www.fifthharmonyofficial.com,unreachable
http://www.fivb.org,unreachable
http://www.genealogy.math.ndsu.nodak.edu,unreachable
http://www.hermitagemuseum.org,unreachable
http://www.historicengland.org.uk,unreachable
http://www.historyofparliamentonline.org,unreachable
http://www.ibdb.com,unreachable
http://www.icheckmovies.com,unreachable
http://www.imaginenews.com,unreachable
http://www.imdb.com,unreachable
http://www.infoplease.com,unreachable
http://www.jukely.com,unreachable
http://www.legacy.com,unreachable
http://www.moma.org,unreachable
http://www.nme.com,unreachable
http://www.ofcom.org.uk,unreachable
http://www.opensubtitles.org,unreachable
http://www.oxforddnb.com,unreachable
http://www.oxfordmusiconline.com,unreachable
http://www.pulitzer.org,unreachable
http://www.royalcollection.org.uk,unreachable
http://www.speedskatingbase.eu,unreachable
http://www.sports-reference.com,unreachable
http://www.star-ecentral.com,unreachable
http://www.thecalmzone.net,unreachable
http://www.tsmc.com,unreachable
http://www.unece.org,unreachable
http://www.yesasia.com,unreachable
http://www2.census.gov,unreachable
http://yabause.org,unreachable
