ref_value,author_type
http://americanart.si.edu/collections/search/artwork/?id=11098,organisation
http://americanart.si.edu/collections/search/artwork/?id=11416,organisation
http://americanart.si.edu/collections/search/artwork/?id=11819,organisation
http://americanart.si.edu/collections/search/artwork/?id=14493,organisation
http://americanart.si.edu/collections/search/artwork/?id=20476,organisation
http://americanart.si.edu/collections/search/artwork/?id=21513,organisation
http://americanart.si.edu/collections/search/artwork/?id=22834,organisation
http://americanart.si.edu/collections/search/artwork/?id=25639,organisation
http://americanart.si.edu/collections/search/artwork/?id=25825,organisation
http://americanart.si.edu/collections/search/artwork/?id=25858,organisation
http://americanart.si.edu/collections/search/artwork/?id=26050,organisation
http://americanart.si.edu/collections/search/artwork/?id=26233,organisation
http://americanart.si.edu/collections/search/artwork/?id=26314,organisation
http://americanart.si.edu/collections/search/artwork/?id=26486,organisation
http://americanart.si.edu/collections/search/artwork/?id=26587,organisation
http://americanart.si.edu/collections/search/artwork/?id=27878,organisation
http://americanart.si.edu/collections/search/artwork/?id=28340,organisation
http://americanart.si.edu/collections/search/artwork/?id=31889,organisation
http://americanart.si.edu/collections/search/artwork/?id=33467,organisation
http://amturing.acm.org/award_winners/mccarthy_0239596.cfm,individual
http://bbti.bodleian.ox.ac.uk/details/?traderid=46872,ne
http://bse.sci-lib.com/article001911.html,individual
http://collections.britishart.yale.edu/vufind/Record/1665327,ne
http://collections.britishart.yale.edu/vufind/Record/1668391,ne
http://collections.britishart.yale.edu/vufind/Record/3866211,ne
http://collections.lacma.org/node/172826,individual
http://collections.lacma.org/node/173830,nw
http://collections.lacma.org/node/188668,organisation
http://collections.lacma.org/node/193799,individual
http://collections.lacma.org/node/201897,individual
http://collections.lacma.org/node/206814,individual
http://collections.lacma.org/node/2092281,individual
http://collections.lacma.org/node/2114212,individual
http://collections.lacma.org/node/212182,individual
http://collections.lacma.org/node/219645,individual
http://collections.lacma.org/node/243436,individual
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/34/37&Lang=E,ne
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54(I)&Lang=E,dn
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54/4&Lang=E,dn
http://data.ordnancesurvey.co.uk/doc/7000000000025498,organisation
http://dirigeant.societe.com/dirigeant/Olivier.RADOT.64009682.html,individual
http://download.oldium.net/karel/karel-2.0.5.tar.gz,dn
http://ekladata.com/rl2BN3HcBBXXT7U3ZV_W6foev0Y/BIOGRAPHIE.pdf,ne
http://electronicintifada.net/v2/article10485.shtml,individual
http://eprints.lancs.ac.uk/80161/1/MBMJ_Author_Copy.pdf,individual
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Brenninkmeijer_family,organisation
http://ffilms.org/atm-2012/,ne
http://fie.org/fencers/Mona-SHAITO-22165/biography,organisation
http://firstcycling.com/rider.php?r=1642,individual
http://firstcycling.com/rider.php?r=21250,individual
http://firstcycling.com/rider.php?r=24650,individual
http://firstcycling.com/rider.php?r=26948.,individual
http://firstcycling.com/team.php?l=2890,organisation
http://firstcycling.com/team.php?l=3361,organisation
http://flickfacts.com/actor/xavier-samuel,individual
http://flymotorsich.com/en/pages/fleet,organisation
http://fmg.ac/Projects/MedLands/AQUITAINE.htm#AdelindaMAcfredoICarcassonne,ne
http://fmg.ac/Projects/MedLands/BURGUNDY%20Kingdom.htm,ne
http://fmg.ac/Projects/MedLands/FRANKSMaiordomi.htm,dn
http://fmg.ac/Projects/MedLands/GASCONY.htm,ne
http://fossilworks.org/bridge.pl?a=taxonInfo&taxon_no=214077,ne
http://freemind.sourceforge.net/wiki/index.php/Licensing,organisation
http://iba-world.com/cocktails/pina-colada/,ne
http://iba-world.com/iba-official-cocktails/alexander/,dn
http://iba-world.com/new-era-drinks/lemon-drop-martini/,dn
http://id.loc.gov/authorities/names/no2015096737.html,individual
http://iditarod.com/race/2016/mushers/1027-Miriam-Osredkar/,individual
http://lawandorder.wikia.com/wiki/Censure,organisation
http://library.la84.org/6oic/OfficialReports/2006/Results/AlpineSkiing.pdf#page=3,ne
http://lists.claws-mail.org/pipermail/users/2016-August/017029.html,ne
http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,organisation
http://man.9front.org/4/tapefs,dn
http://phoronix.com/scan.php?page=news_item&px=GNU-Binutils-2.27,individual
http://planetarynames.wr.usgs.gov/Feature/2513,organisation
http://planetarynames.wr.usgs.gov/Feature/4662,organisation
http://runeberg.org/svriks24/0048.html,individual
http://runeberg.org/vemarhon/0392.html,individual
http://s002.iannounce-cdn.co.uk/static/1454678984/images/72/65/44906572.pdf,ne
http://specialcollections.le.ac.uk/cdm/compoundobject/collection/p16445coll4/id/218287/rec/5,ne
http://speedskatingstats.com/index.php?file=skater&code=1906082802,individual
http://sports.yahoo.com/tennis/players/5099,organisation
http://uk.soccerway.com/players/panagiotis-glykos/18871/,individual
"http://viaf.org/viaf/222435122/#Barnard,_George,_1807-1890",individual
http://wbo.llgc.org.uk/en/s1-THOM-JOH-1838.html,individual
http://web.archive.org/web/20070928144606/http://www.grandcasinohelsinki.fi/grandcasinohelsinki/historia.php,organisation
http://web.archive.org/web/20120304025959/http://tele13.13.cl/noticias/nacional/23155.htm,ne
http://web.archive.org/web/20141015125316/http://www.kartverket.no/Kunnskap/Fakta-om-Norge/Hoyeste-fjelltopp-i-kommunen/Tabell/,organisation
http://web.archive.org/web/20160303181909/https://www.riigiteataja.ee/akt/12914350,ne
http://welt-der-form.net/Max_Bill/bill-1953-unendliche_schleife-1.html,individual
http://whc.unesco.org/en/list/1025,organisation
http://whc.unesco.org/en/list/1215,organisation
http://whc.unesco.org/en/list/1229,organisation
http://whc.unesco.org/en/list/124,organisation
http://whc.unesco.org/en/list/232,organisation
http://whc.unesco.org/en/list/260,organisation
http://whc.unesco.org/en/list/274,organisation
http://whc.unesco.org/en/list/403,organisation
http://whc.unesco.org/en/list/984,organisation
http://www.allmusic.com/album/biorytmy-mw0001685300,organisation
http://www.allmusic.com/artist/shadowfax-mn0000155608,organisation
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n19/mode/2up,individual
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n267/mode/2up,individual
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n291/mode/2up,individual
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n315/mode/2up,individual
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n49/mode/2up,individual
http://www.bbc.co.uk/news/36951328,organisation
http://www.bbc.co.uk/news/world-europe-34684973,organisation
http://www.billgladstone.ca/?p=3730/,individual
http://www.bizjournals.com/memphis/stories/2005/09/05/daily7.html,ne
http://www.blackfilm.com/20081218/features/aafcanews.shtml,organisation
http://www.boxofficemojo.com/movies/?id=2012.htm,organisation
http://www.boxofficemojo.com/movies/?id=daytheearthstoodstill08.htm,organisation
http://www.boxofficemojo.com/movies/?id=jaws3d.htm,organisation
http://www.boxofficemojo.com/movies/?id=junglebook2015.htm,organisation
http://www.boxofficemojo.com/movies/?id=planetoftheapes.htm,organisation
http://www.boxofficemojo.com/movies/?page=intl&id=marvel14b.htm,organisation
http://www.bristol.ac.uk/efm/people/kenneth-g-binmore/,organisation
http://www.britannica.com/biography/Giulio-Aleni,individual
http://www.britannica.com/EBchecked/topic/178340/Organisation-for-Economic-Co-operation-and-Development-OECD,organisation
http://www.britannica.com/EBchecked/topic/502814/Charles-Lennox-3rd-duke-of-Richmond,individual
http://www.brooklynmuseum.org/opencollection/objects/4512/Jesus_Goes_Up_Alone_onto_a_Mountain_to_Pray_J%C3%A9sus_monte_seul_sur_une_montagne_pour_prier,organisation
http://www.brooklynmuseum.org/opencollection/objects/678/St._John_of_God,organisation
http://www.businessinsider.com/theranos-ceo-elizabeth-holmes-net-worth-now-0-according-to-forbes-2016-6,organisation
http://www.bvbinfo.com/player.asp?ID=15097,dn
http://www.catholic-hierarchy.org/bishop/bburkee.html,individual
http://www.catholic-hierarchy.org/diocese/dgati.html,individual
http://www.catholic-hierarchy.org/diocese/dhali.html,individual
http://www.cdc.gov/niosh-rtecs/AB1D5F88.html,organisation
http://www.cdc.gov/niosh-rtecs/AF12B128.html#modalIdString_CDCTable_4,organisation
http://www.cdc.gov/niosh-rtecs/AL757E20.html,organisation
http://www.cdc.gov/niosh-rtecs/AS100590.html,organisation
http://www.cdc.gov/niosh-rtecs/BA4D7038.html#modalIdString_CDCTable_6,organisation
http://www.cdc.gov/niosh-rtecs/BD124F80.html,organisation
http://www.cdc.gov/niosh-rtecs/BP456D70.html,organisation
http://www.cdc.gov/niosh-rtecs/CC3D6AA8.html#modalIdString_CDCTable_1,organisation
http://www.cdc.gov/niosh-rtecs/CC3D6AA8.html#modalIdString_CDCTable_3,organisation
http://www.cdc.gov/niosh-rtecs/CG62CCF8.html#modalIdString_CDCTable_0,organisation
http://www.cdc.gov/niosh-rtecs/CG802C8.html#modalIdString_CDCTable_3,organisation
http://www.cdc.gov/niosh-rtecs/CQ8583B0.html#modalIdString_CDCTable_2,organisation
http://www.cdc.gov/niosh-rtecs/CQ92DDA8.html#modalIdString_CDCTable_1,organisation
http://www.cdc.gov/niosh-rtecs/CY155CC0.html#modalIdString_CDCTable_4,organisation
http://www.cdc.gov/niosh-rtecs/DC802C8.html#modalIdString_CDCTable_2,organisation
http://www.cdc.gov/niosh-rtecs/DC802C8.html#modalIdString_CDCTable_5,organisation
http://www.cdc.gov/niosh-rtecs/DC92DDA8.html#modalIdString_CDCTable_4,organisation
http://www.cdc.gov/niosh-rtecs/DD62CCF8.html#modalIdString_CDCTable_3,organisation
http://www.cdc.gov/niosh-rtecs/IO200B20.html#modalIdString_CDCTable_6,organisation
http://www.cdc.gov/niosh-rtecs/OD8D8678.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750002.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750006.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750007.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750009.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750010.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750011.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750012.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750013.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750014.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750015.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750017.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750018.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750020.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750021.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750023.html,organisation
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750024.html,organisation
