ref_value,publisher_type
http://addons.mozilla.org,company
http://americanart.si.edu,govt
http://archive.org,other
http://art.famsf.org,company
http://backuppc.cvs.sourceforge.net,company
http://bbti.bodleian.ox.ac.uk,academia
http://blog.mathieui.net,other
http://blog.torproject.org,sp_source
http://blogs.windows.com,company
http://books.google.co.uk,company
http://bse.sci-lib.com,academia
http://chem.nlm.nih.gov,govt
http://collection.cooperhewitt.org,academia
http://collections.artsmia.org,company
http://collections.britishart.yale.edu,academia
http://collections.lacma.org,academia
http://commons.wikimedia.org,other
http://daccess-ods.un.org,govt
http://dirigeant.societe.com,company
http://download.gnome.org,company
http://electronicintifada.net,sp_source
http://en.mediamass.net,news
http://en.wikisource.org,academia
http://eprints.lancs.ac.uk,academia
http://fdrmx.com,company
http://fedoraproject.org,company
http://feed.snapdo.com,company
http://ffilms.org,other
http://fie.org,company
http://firstcycling.com,company
http://flickfacts.com,other
http://flymotorsich.com,company
http://fmg.ac,academia
http://forums.comodo.com,company
http://freemind.sourceforge.net,company
http://ftp.debian-ports.org,other
http://geonames.usgs.gov,govt
http://github.com,company
http://groups.google.com,company
http://iba-world.com,company
http://id.loc.gov,govt
http://identifiers.org,other
http://independentlibraries.co.uk,sp_source
http://instagram.com,company
http://itunes.apple.com,company
http://killiefc.com,company
http://lawandorder.wikia.com,company
http://leonocusto.blog66.fc2.com,other
http://library.la84.org,academia
http://library.leeds.ac.uk,academia
http://lists.alioth.debian.org,other
http://lists.claws-mail.org,other
http://lists.freebsd.org,other
http://lists.nongnu.org,sp_source
http://lists.torproject.org,sp_source
http://m.timesofindia.com,news
http://mail-archives.apache.org,company
http://movie-locations.com,company
http://movieweb.com,company
http://mpse.org,sp_source
http://museedelaresistanceenligne.org,sp_source
http://nablus.org,govt
http://new.liveauctioneers.com,company
http://olat.org,academia
http://phoronix.com,news
http://planetarynames.wr.usgs.gov,govt
http://pubchem.ncbi.nlm.nih.gov,academia
http://puppet.com,company
http://ratings.fide.com,company
http://runeberg.org,academia
http://sourceforge.net,company
http://spamassassin.apache.org,company
http://specialcollections.le.ac.uk,academia
http://speedskatingstats.com,company
http://splitsider.com,news
http://sports.yahoo.com,company
http://support.google.com,company
http://thedancingrest.com,company
http://tools.ietf.org,company
http://uk.soccerway.com,company
http://viaf.org,academia
http://vimeo.com,company
http://vocab.getty.edu,academia
http://wbo.llgc.org.uk,academia
http://web.archive.org,other
http://welt-der-form.net,academia
http://whc.unesco.org,govt
http://www.4shared.com,company
http://www.aada.edu,academia
http://www.allmusic.com,company
http://www.arabianbusiness.com,company
http://www.archive.org,other
http://www.archlinux.org,company
http://www.artistdirect.com,company
http://www.artsjournal.com,news
http://www.audacityteam.org,company
http://www.bbc.co.uk,news
http://www.billgladstone.ca,company
http://www.bindingdb.org,academia
http://www.bizjournals.com,company
http://www.blackfilm.com,news
http://www.blakeschool.org,company
http://www.blend4web.com,company
http://www.boxofficemojo.com,company
http://www.bristol.ac.uk,academia
http://www.britannica.com,company
