ref_value,publisher_verification
http://addons.mozilla.org,vendor
http://americanart.si.edu,cultural
http://amturing.acm.org,academia_uni
http://archive.org,no_profit
http://art.famsf.org,cultural
http://backuppc.cvs.sourceforge.net,dn
http://bbfc.co.uk,gov
http://bbti.bodleian.ox.ac.uk,academia_other
http://blog.mathieui.net,non_trad_news
http://blog.torproject.org,no_profit
http://blogs.windows.com,non_trad_news
http://books.google.co.uk,vendor
http://chem.nlm.nih.gov,academia_pub
http://chibi.ubc.ca,academia_uni
http://collection.cooperhewitt.org,cultural
http://collections.artsmia.org,cultural
http://collections.britishart.yale.edu,cultural
http://collections.lacma.org,cultural
http://commons.wikimedia.org,no_profit
http://daccess-ods.un.org,no_profit
http://data.ordnancesurvey.co.uk,gov
http://directory.fsf.org,no_profit
http://electronicintifada.net,non_trad_news
http://en.mediamass.net,non_trad_news
http://en.wikisource.org,no_profit
http://eprints.lancs.ac.uk,academia_uni
http://espn.go.com,trad_news
http://fdrmx.com,non_trad_news
http://fedoraproject.org,no_profit
http://feed.snapdo.com,nw
http://ffilms.org,trad_news
http://fie.org,trad_news
http://firstcycling.com,non_trad_news
http://flymotorsich.com,non_trad_news
http://fmg.ac,academia_other
http://forum.mql4.com,non_trad_news
http://forums.comodo.com,vendor
http://fossilworks.org,academia_pub
http://freemind.sourceforge.net,open_source
http://ftp.debian-ports.org,nw
http://geonames.usgs.gov,gov
http://git.gnome.org,dn
http://git.kernel.org,dn
http://github.com,trad_news
http://groups.google.com,trad_news
http://iba-world.com,trad_news
http://id.loc.gov,cultural
http://identifiers.org,academia_pub
http://iditarod.com,no_profit
http://independentlibraries.co.uk,no_profit
http://instagram.com,trad_news
http://itunes.apple.com,vendor
http://killiefc.com,trad_news
http://lawandorder.wikia.com,non_trad_news
http://library.la84.org,dn
http://lists.alioth.debian.org,no_profit
http://lists.freebsd.org,no_profit
http://lists.gnu.org,no_profit
http://lists.nongnu.org,no_profit
http://lists.torproject.org,no_profit
http://m.timesofindia.com,trad_news
http://mail-archives.apache.org,nw
http://man.9front.org,nw
http://marvel.com,trad_news
http://movie-locations.com,non_trad_news
http://movieweb.com,trad_news
http://mpse.org,cultural
http://new.liveauctioneers.com,vendor
http://olat.org,academia_uni
http://oneprocycling.com,vendor
http://peerj.com,academia_pub
http://phoronix.com,non_trad_news
http://planetarynames.wr.usgs.gov,academia_uni
http://pubchem.ncbi.nlm.nih.gov,academia_pub
http://puppet.com,vendor
http://ratings.fide.com,no_profit
http://runeberg.org,cultural
http://sourceforge.net,vendor
http://spamassassin.apache.org,trad_news
http://speedskatingstats.com,non_trad_news
http://splitsider.com,non_trad_news
http://sports.yahoo.com,trad_news
http://support.google.com,trad_news
http://thedancingrest.com,non_trad_news
http://tools.ietf.org,academia_pub
http://uk.soccerway.com,trad_news
http://viaf.org,academia_other
http://vimeo.com,non_trad_news
http://vk.com,trad_news
http://vocab.getty.edu,cultural
http://web.archive.org,trad_news
http://whc.unesco.org,cultural
http://www.4shared.com,vendor
http://www.aada.edu,cultural
http://www.allmusic.com,trad_news
http://www.arabianbusiness.com,trad_news
http://www.archive.org,no_profit
http://www.archlinux.org,dn
http://www.artistdirect.com,trad_news
http://www.artsjournal.com,trad_news
http://www.audacityteam.org,vendor
http://www.bbc.co.uk,trad_news
http://www.billgladstone.ca,nw
http://www.bindingdb.org,academia_pub
http://www.bizjournals.com,trad_news
http://www.blackfilm.com,non_trad_news
http://www.blakeschool.org,no_profit
http://www.blend4web.com,vendor
http://www.boxofficemojo.com,trad_news
http://www.bristol.ac.uk,academia_uni
http://www.britannica.com,trad_news
http://www.brooklynmuseum.org,cultural
http://www.businessinsider.com,trad_news
http://www.bvbinfo.com,non_trad_news
http://www.canada.com,trad_news
http://www.catholic-hierarchy.org,trad_news
http://www.cb300.com,no_profit
http://www.cdbaby.com,vendor
http://www.census.gov,gov
http://www.ciaaw.org,academia_other
http://www.clsp.jhu.edu,academia_uni
http://www.coolantarctica.com,non_trad_news
http://www.crawltrack.net,nw
http://www.crunchbase.com,trad_news
http://www.cyclingnews.com,trad_news
http://www.debian.org,no_profit
http://www.dubaicityguide.com,vendor
http://www.dulwichpicturegallery.org.uk,cultural
http://www.e-yearbook.com,vendor
http://www.edanhughes.com,trad_news
http://www.entente-ee.com,org
http://www.esrb.org,vendor
http://www.eurodressage.com,non_trad_news
http://www.eurohandball.com,trad_news
http://www.europarl.europa.eu,trad_news
http://www.filmreference.com,non_trad_news
http://www.findagrave.com,non_trad_news
http://www.fundacionbancosantander.com,cultural
http://www.futhead.com,vendor
http://www.fye.com,vendor
http://www.gc-cup.com,sport_event
http://www.genome.gov,academia_uni
http://www.geonames.org,academia_other
http://www.geopostcodes.com,vendor
http://www.getty.edu,cultural
http://www.ghostscript.com,dn
http://www.gmv.com,trad_news
http://www.gracesguide.co.uk,nw
http://www.guggenheim.org,cultural
http://www.hardcoregamer.com,non_trad_news
http://www.henry-moore.org,cultural
http://www.hewlett.org,non_profit
http://www.holyhead.com,nw
http://www.huffingtonpost.com,trad_news
http://www.independent.co.uk,trad_news
http://www.instagram.com,trad_news
http://www.issf-sports.org,trad_news
http://www.ittf.com,trad_news
http://www.itu.int,no_profit
http://www.johnkcastle.com,biography
http://www.jrrio.com,vendor
http://www.judoinside.com,trad_news
http://www.kde.org,no_profit
http://www.khronos.org,academia_other
http://www.laquadrature.net,no_profit
http://www.leparcorama.com,nw
http://www.liferay.com,vendor
http://www.liveleak.com,non_trad_news
http://www.livius.org,academia_other
http://www.lulu.com,vendor
http://www.lutyenstrust.org.uk,non_trad_news
http://www.lynnnews.co.uk,trad_news
http://www.mba.ac.uk,academia_uni
http://www.metacritic.com,trad_news
http://www.metalstorm.net,non_trad_news
http://www.metmuseum.org,cultural
http://www.mfa.org,cultural
http://www.microsofttranslator.com,vendor
http://www.moma.org,cultural
http://www.mozilla.org,no_profit
http://www.music-bazaar.com,vendor
http://www.nationalgallery.org.uk,cultural
http://www.nationaltrustcollections.org.uk,cultural
http://www.ncbi.nlm.nih.gov,academia_pub
http://www.newyorker.com,trad_news
http://www.nfl.com,trad_news
http://www.nga.gov,cultural
http://www.nndb.com,trad_news
http://www.nndc.bnl.gov,academia_pub
http://www.nytimes.com,trad_news
http://www.openvas.org,vendor
http://www.oregonencyclopedia.org,cultural
http://www.pafa.org,cultural
http://www.pastscape.org.uk,cultural
http://www.philamuseum.org,cultural
http://www.phillipscollection.org,cultural
http://www.poetsgraves.co.uk,cultural
http://www.procyclingstats.com,trad_news
http://www.profilecanada.com,trad_news
http://www.progarchives.com,non_trad_news
http://www.rada.ac.uk,cultural
http://www.redmine.org,nw
http://www.redorbit.com,non_trad_news
http://www.rhapsody.com,vendor
http://www.rio2016.com,trad_news
http://www.rollingstone.com,trad_news
http://www.salvador-dali.org,cultural
http://www.scottisharchitects.org.uk,no_profit
http://www.sctimes.com,trad_news
http://www.sothebys.com,cultural
http://www.sports-reference.com,trad_news
http://www.sufyanismail.com,nw
http://www.telegraph.co.uk,trad_news
http://www.thegazette.co.uk,trad_news
http://www.theguardian.com,trad_news
http://www.thestar.com,trad_news
http://www.thetalentmanager.co.uk,non_trad_news
http://www.thetelegraphandargus.co.uk,trad_news
http://www.thnk.org,non_profit
http://www.transsiberianexpress.net,vendor
http://www.tvfestival.com,cultural
http://www.unesco.org,no_profit
http://www.valpo.edu,academia_uni
http://www.viaf.org,academia_other
http://www.virtualbox.org,vendor
http://www.washingtonpost.com,trad_news
http://www.webcitation.org,dn
http://www.who.int,trad_news
http://www.wireshark.org,trad_news
http://yba.llgc.org.uk,academia_uni
http://yum.baseurl.org,dn
