ref_value,status
http://8tracks.com,unreachable
http://akas.imdb.com,unreachable
http://brightlightsfilm.com,unreachable
http://classify.oclc.org,unreachable
http://ekladata.com,unreachable
http://equipboard.com,unreachable
http://europeana.eu,unreachable
http://factfinder.census.gov,unreachable
http://figshare.com,unreachable
http://genealogy.az.gov,unreachable
http://hansard.millbanksystems.com,unreachable
http://homepage.usask.ca,unreachable
http://lists.netfilter.org,unreachable
http://moma.org,unreachable
http://newspapers.library.wales,unreachable
http://online.wsj.com,unreachable
http://oxfordindex.oup.com,unreachable
http://quickfacts.census.gov,unreachable
http://sites.asiasociety.org,unreachable
http://thebloxwichtelegraph.com,unreachable
http://twitter.com,unreachable
http://www.ambafrance-tr.org,unreachable
http://www.annualreviews.org,unreachable
http://www.badmintonlink.com,unreachable
http://www.britishlistedbuildings.co.uk,unreachable
http://www.britishmuseum.org,unreachable
http://www.cineplex.com,unreachable
http://www.culturalheritage.gov.mt,unreachable
http://www.dnw.co.uk,unreachable
http://www.enciclopedia-aragonesa.com,unreachable
http://www.fifthharmonyofficial.com,unreachable
http://www.fivb.org,unreachable
http://www.genealogy.math.ndsu.nodak.edu,unreachable
http://www.historicengland.org.uk,unreachable
http://www.historyofparliamentonline.org,unreachable
http://www.hmdb.ca,unreachable
http://www.icheckmovies.com,unreachable
http://www.imaginenews.com,unreachable
http://www.infoplease.com,unreachable
http://www.journals.elsevier.com,unreachable
http://www.jukely.com,unreachable
http://www.legacy.com,unreachable
http://www.moma.org,unreachable
http://www.mundoplus.tv,unreachable
http://www.nme.com,unreachable
http://www.ofcom.org.uk,unreachable
http://www.opensubtitles.org,unreachable
http://www.oxfordmusiconline.com,unreachable
http://www.pulitzer.org,unreachable
http://www.reunamedia.com,unreachable
http://www.royalcollection.org.uk,unreachable
http://www.siteducyclisme.net,unreachable
http://www.speedskatingbase.eu,unreachable
http://www.stoa.org,unreachable
http://www.thecalmzone.net,unreachable
http://www.unece.org,unreachable
http://www.yenihayatgazetesi.com,unreachable
http://www.yesasia.com,unreachable
http://www12.statcan.ca,unreachable
http://www2.census.gov,unreachable
