domain,publisher_verification
http://8tracks.com,nw
http://addons.mozilla.org,ne
http://akas.imdb.com,nw
http://americanart.si.edu,cultural
http://amturing.acm.org,trad_news
http://archive.org,yes
http://art.famsf.org,cultural
http://backuppc.cvs.sourceforge.net,ne
http://bbfc.co.uk,ne
http://bbti.bodleian.ox.ac.uk,ne
http://blog.mathieui.net,non_trad_news
http://blog.process-one.net,non_trad_news
http://blog.torproject.org,non_trad_news
http://blogs.windows.com,trad_news
http://books.google.co.uk,trad_news
http://brightlightsfilm.com,ne
http://chem.nlm.nih.gov,trad_news
http://chibi.ubc.ca,ne
http://classify.oclc.org,yes
http://collection.cooperhewitt.org,cultural
http://collections.artsmia.org,cultural
http://collections.britishart.yale.edu,cultural
http://collections.lacma.org,cultural
http://commons.wikimedia.org,no_profit
http://daccess-ods.un.org,trad_news
http://data.ordnancesurvey.co.uk,trad_news
http://directory.fsf.org,ne
http://electronicintifada.net,non_trad_news
http://en.mediamass.net,nw
http://en.wikisource.org,yes
http://eprints.lancs.ac.uk,academia_uni
http://equipboard.com,no_profit
http://espn.go.com,trad_news
http://europeana.eu,cultural
http://factfinder.census.gov,trad_news
http://fdrmx.com,nw
http://fedoraproject.org,trad_news
http://feed.snapdo.com,ne
http://ffilms.org,ne
http://fie.org,nw
http://figshare.com,ne
http://firstcycling.com,non_trad_news
http://flymotorsich.com,ne
http://fmg.ac,ne
http://forum.mql4.com,ne
http://forums.comodo.com,non_trad_news
http://fossilworks.org,ne
http://freemind.sourceforge.net,ne
http://ftp.debian-ports.org,trad_news
http://genealogy.az.gov,trad_news
http://geonames.usgs.gov,trad_news
http://git.gnome.org,no_profit
http://git.kernel.org,trad_news
http://github.com,trad_news
http://groups.google.com,ne
http://hansard.millbanksystems.com,trad_news
http://hg.mozilla.org,ne
http://iba-world.com,nw
http://id.loc.gov,ne
http://identifiers.org,ne
http://iditarod.com,trad_news
http://independentlibraries.co.uk,ne
http://instagram.com,trad_news
http://itunes.apple.com,vendor
http://killiefc.com,ne
http://lawandorder.wikia.com,ne
http://library.la84.org,yes
http://lists.alioth.debian.org,trad_news
http://lists.freebsd.org,trad_news
http://lists.gnu.org,trad_news
http://lists.netfilter.org,ne
http://lists.nongnu.org,trad_news
http://lists.torproject.org,ne
http://m.timesofindia.com,trad_news
http://mail-archives.apache.org,trad_news
