ref_value,item_id,stat_property,stat_value,author_type,publisher_type,publisher_verification,authoritative,predicted_authoritative
https://www.thetalentmanager.co.uk/people/1734/will-innes,Q508452,P106,Q3282637,Individual,Company or organisation,,0,1
https://en.wikisource.org/wiki/Author:Henry_Lamont_Simpson,Q21296496,P106,Q49757,Collective,Company or organisation,,1,1
http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=130759,Q24809690,P106,Q11569986,Organisation,Company or organisation,,0,1
http://www.imdb.com/title/tt0434968/fullcredits/,Q1047222,P106,Q2405480,Organisation,Company or organisation,,1,1
http://www.ted.com/profiles/494924,Q23795339,P106,Q1607826,Organisation,Company or organisation,,0,1
http://www.canada.com/reginaleaderpost/news/arts_life/story.html?id=ead2c176-5bbb-4288-b01e-61150bd88e76,Q1065627,P106,Q245068,Page not working,Government agencies,,1,1
http://www.infoplease.com/biography/actors.html,Q1065627,P106,Q3387717,Organisation,Company or organisation,,0,1
http://www.thetelegraphandargus.co.uk/news/newsindex/display.var.2237150.0.big_names_lined_up_for_literature_festival.php,Q1391397,P106,Q947873,Individual,News and media outlet,,0,1
http://www.ted.com/speakers/363,Q7781067,P106,Q674426,Organisation,Company or organisation,,0,1
http://www.imaginenews.com/Archive/2003/NOV_2003/01_FEATURES/16_WOMEN.html,Q287449,P106,Q3282637,Individual,News and media outlet,,0,1
http://hansard.millbanksystems.com/people/mr-charles-towneley,Q21165641,P106,Q82955,Organisation,Company or organisation,,0,1
http://wevegotyoucovered.buzznet.com/user/journal/17251682/buzznet-exclusive-keanes-tom-chaplin/,Q1046612,P106,Q753110,Organisation,News and media outlet,,1,1
http://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500014330,Q20028183,P106,Q644687,Organisation,Company or organisation,,0,1
http://www.ted.com/speakers/2709,Q23783043,P106,Q5322166,Organisation,Company or organisation,,0,1
http://online.wsj.com/news/articles/SB10001424052748704869304574595973007231140,Q968840,P106,Q482980,Individual,News and media outlet,,0,1
http://www.discogs.com/5th-Element-Kakkonen/release/1497359,Q1068841,P106,Q753110,Organisation,Company or organisation,,1,1
http://www.bizjournals.com/memphis/stories/2005/09/05/daily7.html,Q5236586,P106,Q13472585,Organisation,News and media outlet,,0,1
http://brightlightsfilm.com/55/55brightsights.php,Q1000912,P106,Q28389,Individual,News and media outlet,,0,1
http://www.demotix.com/news/6322968/cesare-cremonini-performs-live-sold-out-pala-alpitour-arena/all-media,Q1056805,P106,Q639669,Page not working,Page not working,,1,1
