user,kappa,agree_count,kappa_bin
22245763,0.11111111111111116,8,0–0.2
41189648,0.15517241379310331,7,0–0.2
38527054,0.062200956937799146,7,0–0.2
21353389,0.1929824561403508,7,0–0.2
30286087,0.0980392156862745,7,0–0.2
41166195,-0.05057096247960868,5,<0
29549959,0.003389830508474523,7,0–0.2
36596402,0.0,6,<0
41630623,0.15286624203821664,9,0–0.2
36401048,0.12499999999999989,2,0–0.2
38012668,0.12499999999999989,2,0–0.2
39757852,0.028391167192428846,6,0–0.2
37004408,0.04436860068259396,8,0–0.2
42404850,-0.07692307692307687,1,<0
11003055,-0.1351351351351351,1,<0
36126653,0.10944527736131926,5,0–0.2
34630521,0.07894736842105265,2,0–0.2
41830537,0.04807692307692302,5,0–0.2
40289526,0.06896551724137923,5,0–0.2
42021855,0.10299003322259126,7,0–0.2
35023525,0.18507462686567167,8,0–0.2
32227852,0.027444253859348122,6,0–0.2
38588940,0.06598984771573624,7,0–0.2
15439343,0.1361161524500908,11,0–0.2
38482942,-0.047154471544715415,5,<0
36606873,-0.1058451816745658,3,<0
36019136,0.1609442060085836,6,0–0.2
39538622,0.132137030995106,9,0–0.2
42355492,0.023255813953488413,7,0–0.2
40676540,0.0344827586206895,3,0–0.2
38354683,0.12211221122112215,9,0–0.2
38896482,0.009433962264150941,6,0–0.2
38812803,0.15000000000000002,11,0–0.2
36725706,0.25827814569536434,12,0.2–0.4
41399716,0.33333333333333337,1,0.2–0.4
30128662,0.0,0,<0
38470591,0.08718861209964401,8,0–0.2
42274879,0.023508137432188048,7,0–0.2
42155896,0.07567567567567557,8,0–0.2
28012625,0.3089579524680073,13,0.2–0.4
40263699,0.30386740331491713,13,0.2–0.4
32692232,0.36413043478260865,14,0.2–0.4
41364530,0.08059701492537319,6,0–0.2
24920185,0.005405405405405572,7,0–0.2
38762820,0.11627906976744184,9,0–0.2
39347158,0.11578947368421044,10,0–0.2
34144126,0.07506702412868649,8,0–0.2
36621052,-0.1607142857142858,2,<0
38911211,0.23101777059773843,11,0.2–0.4
40335604,0.31928687196110217,13,0.2–0.4
39759039,0.2884902840059791,11,0.2–0.4
31001292,0.16666666666666663,13,0–0.2
38427455,-0.006779661016949268,5,<0
28375885,0.19999999999999996,3,0–0.2
35271549,0.12107623318385663,7,0–0.2
39499917,0.20134228187919456,11,0.2–0.4
42405769,0.19402985074626866,9,0–0.2
40004501,0.1359999999999999,7,0–0.2
32417589,0.08943089430894313,12,0–0.2
32655193,-0.016129032258064502,2,<0
34240529,0.1750433275563258,11,0–0.2
18526351,0.14556962025316456,7,0–0.2
26854674,0.2432432432432432,3,0.2–0.4
41866146,0.02941176470588236,5,0–0.2
32108646,0.08268330733229345,7,0–0.2
42543391,0.20268006700167507,11,0.2–0.4
41831526,0.3170731707317074,3,0.2–0.4
31983808,-0.024390243902439046,1,<0
42226985,-0.13953488372093026,0,<0
37636971,0.31707317073170727,3,0.2–0.4
38713068,0.28205128205128205,3,0.2–0.4
40074281,0.23834196891191706,7,0.2–0.4
40279599,0.045454545454545414,1,0–0.2
41841779,0.06666666666666654,1,0–0.2
38273134,-0.03384615384615386,5,<0
36374994,0.23913043478260854,2,0.2–0.4
36257971,0.0,2,<0
40883816,0.38235294117647056,4,0.2–0.4
