ref_value,majority_label,label
http://8tracks.com,company,nw
http://addons.mozilla.org,company,nw
http://akas.imdb.com,company,nw
http://americanart.si.edu,company,company
http://archive.org,company,govt
http://art.famsf.org,company,company
http://backuppc.cvs.sourceforge.net,company,company
http://bbti.bodleian.ox.ac.uk,company,academia
http://blog.mathieui.net,sp_source,academia
http://blogs.windows.com,company,news
http://books.google.co.uk,company,company
http://brightlightsfilm.com,news,company
http://bse.sci-lib.com,ne,academia
http://chem.nlm.nih.gov,academia,academia
http://classify.oclc.org,company,company
http://collection.cooperhewitt.org,company,sp_source
http://collections.artsmia.org,company,nw
http://collections.britishart.yale.edu,company,nw
http://collections.lacma.org,company,company
http://commons.wikimedia.org,company,nw
http://daccess-ods.un.org,govt,academia
http://dirigeant.societe.com,ne,company
http://download.gnome.org,other,sp_source
http://ekladata.com,ne,company
http://electronicintifada.net,news,nw
http://en.mediamass.net,news,nw
http://en.wikisource.org,company,academia
http://eprints.lancs.ac.uk,academia,academia
http://equipboard.com,company,nw
http://europeana.eu,company,sp_source
http://factfinder.census.gov,govt,govt
http://fdrmx.com,news,sp_source
http://fedoraproject.org,company,nw
http://feed.snapdo.com,company,company
http://ffilms.org,company,other
http://fie.org,company,other
http://figshare.com,academia,other
http://firstcycling.com,company,nw
http://flickfacts.com,nw,news
http://flymotorsich.com,company,company
http://fmg.ac,company,nw
http://forums.comodo.com,company,company
http://freemind.sourceforge.net,company,sp_source
http://ftp.debian-ports.org,other,company
http://genealogy.az.gov,govt,nw
http://geonames.usgs.gov,govt,academia
http://github.com,company,company
http://groups.google.com,company,company
http://hansard.millbanksystems.com,company,news
http://homepage.usask.ca,company,academia
http://iba-world.com,company,nw
http://id.loc.gov,company,other
http://identifiers.org,academia,academia
http://independentlibraries.co.uk,company,company
http://instagram.com,company,sp_source
http://itunes.apple.com,company,company
http://killiefc.com,company,nw
http://lawandorder.wikia.com,company,news
http://leonocusto.blog66.fc2.com,ne,company
http://library.la84.org,company,govt
http://library.leeds.ac.uk,academia,academia
http://lists.alioth.debian.org,company,academia
http://lists.claws-mail.org,company,company
http://lists.freebsd.org,company,academia
http://lists.netfilter.org,company,nw
http://lists.nongnu.org,company,news
http://lists.torproject.org,company,sp_source
http://m.timesofindia.com,news,news
http://mail-archives.apache.org,company,nw
http://moma.org,company,company
http://movie-locations.com,company,nw
http://movieweb.com,news,nw
http://mpse.org,academia,nw
http://museedelaresistanceenligne.org,ne,sp_source
http://nablus.org,ne,nw
http://new.liveauctioneers.com,company,nw
http://newspapers.library.wales,news,company
http://olat.org,academia,nw
http://online.wsj.com,news,news
http://oxfordindex.oup.com,academia,academia
http://phoronix.com,company,company
http://planetarynames.wr.usgs.gov,academia,govt
http://pubchem.ncbi.nlm.nih.gov,academia,nw
http://puppet.com,company,nw
http://quickfacts.census.gov,nw,govt
