user,kappa,agree_count,kappa_bin
42298345,0.09871244635193133,16,0–0.2
33163510,0.09262759924385633,14,0–0.2
41983503,0.12568306010928953,14,0–0.2
11746564,0.294755877034358,17,0.2–0.4
42708352,0.11764705882352944,17,0–0.2
11376021,0.08450704225352113,17,0–0.2
40652679,0.4014962593516209,22,0.4–0.6
40263699,0.044117647058823595,17,0–0.2
41141777,0.2682926829268292,21,0.2–0.4
40893415,0.35251798561151093,21,0.2–0.4
41881477,0.5522388059701493,23,0.4–0.6
38687371,0.4674556213017752,24,0.4–0.6
40914155,0.4478527607361964,24,0.4–0.6
36624581,0.23976608187134496,17,0.2–0.4
39419117,0.21052631578947367,23,0.2–0.4
34307153,-0.06508875739644937,18,<0
41399716,0.11417322834645671,15,0–0.2
42160208,0.12466843501326264,19,0–0.2
39632557,-0.08352144469525968,14,<0
38514103,-0.03703703703703698,16,<0
33599386,0.28725701943844484,19,0.2–0.4
39499917,0.011627906976744096,13,0–0.2
42629269,0.23273657289002547,20,0.2–0.4
42084122,0.5161290322580645,23,0.4–0.6
41870409,-0.01851851851851838,19,<0
25388841,0.038076152304609145,14,0–0.2
40844959,0.27312775330396477,19,0.2–0.4
41571503,0.09774436090225569,18,0–0.2
13180246,0.30379746835443033,19,0.2–0.4
42354707,0.32907348242811507,23,0.2–0.4
40861787,0.11963882618510158,17,0–0.2
34856865,0.18316831683168322,19,0–0.2
42661633,0.2146596858638744,25,0.2–0.4
31933957,0.28229665071770327,20,0.2–0.4
42156004,0.5058823529411764,23,0.4–0.6
41834005,0.3775933609958507,25,0.2–0.4
39965755,-0.037234042553191404,17,<0
25411600,0.07692307692307687,18,0–0.2
38427455,0.11051212938005384,19,0–0.2
23197558,0.4117647058823529,23,0.4–0.6
20039972,0.20588235294117652,21,0.2–0.4
42540709,0.021739130434782705,21,0–0.2
39920459,-0.15089514066496168,15,<0
36603824,0.14660831509846828,17,0–0.2
37589406,0.2647058823529411,20,0.2–0.4
14826952,0.02964959568733161,18,0–0.2
42421443,0.2941176470588235,18,0.2–0.4
38922919,0.23679060665362028,17,0.2–0.4
11003055,-0.030042918454935563,14,<0
39757852,0.06614785992217898,14,0–0.2
41142695,0.17127071823204432,20,0–0.2
42155896,0.11111111111111116,22,0–0.2
12999735,-0.08695652173913038,15,<0
33868190,-0.10389610389610393,13,<0
35169212,-0.01298701298701288,11,<0
40842537,0.23404255319148937,18,0.2–0.4
37444582,0.1395793499043977,15,0–0.2
42404850,-0.08033240997229929,17,<0
40957436,0.04761904761904767,20,0–0.2
41451114,0.10326086956521763,19,0–0.2
26079868,0.15294117647058825,18,0–0.2
23228736,0.12863070539419086,16,0–0.2
37636971,0.18518518518518523,19,0–0.2
41110198,0.6349809885931559,20,0.6–0.8
22204662,0.17910447761194048,19,0–0.2
38990852,0.45205479452054786,22,0.4–0.6
38405796,0.17431192660550454,18,0–0.2
37454844,0.04761904761904767,14,0–0.2
40714779,0.17808219178082185,14,0–0.2
32316049,0.2699115044247786,19,0.2–0.4
41569922,0.03465346534653457,17,0–0.2
42403286,0.7101449275362319,17,0.6–0.8
42409065,0.03790087463556857,19,0–0.2
38827747,0.32377049180327866,19,0.2–0.4
36019136,0.2857142857142858,20,0.2–0.4
36374994,-0.0714285714285714,17,<0
29661345,0.32203389830508466,22,0.2–0.4
40637418,0.41048034934497823,21,0.4–0.6
40031413,0.2592592592592592,18,0.2–0.4
39813193,-0.003937007874015963,13,<0
36930849,0.14473684210526316,17,0–0.2
19543823,0.12133891213389125,16,0–0.2
37637336,0.06515580736543913,19,0–0.2
42673816,0.2607802874743327,18,0.2–0.4
39119481,0.20303605313092976,16,0.2–0.4
42534327,0.18181818181818188,24,0–0.2
26500151,-0.08108108108108092,8,<0
31839043,0.07597535934291566,15,0–0.2
40165051,0.25249169435215935,15,0.2–0.4
35068908,0.1472868217054264,19,0–0.2
33030870,0.21985815602836878,19,0.2–0.4
38012668,0.33467741935483863,19,0.2–0.4
40389517,0.31472081218274106,21,0.2–0.4
22676073,0.05660377358490565,20,0–0.2
32417589,-0.11353711790393017,13,<0
42405621,0.17021276595744683,17,0–0.2
41580788,0.09819639278557113,15,0–0.2
29341178,0.140625,19,0–0.2
35725731,0.30000000000000004,10,0.2–0.4
30334833,0.49549549549549554,10,0.4–0.6
35792870,0.3137829912023461,17,0.2–0.4
41862402,0.0,12,<0
35564148,-0.0714285714285714,17,<0
42436409,0.153225806451613,23,0–0.2
37190188,-0.06508875739644981,11,<0
39413146,0.2783505154639174,13,0.2–0.4
41406112,0.09420289855072472,10,0–0.2
39116185,0.4155844155844155,16,0.4–0.6
38003391,-0.010638297872340496,11,<0
40756808,0.11205073995771675,16,0–0.2
30487713,0.18410041841004177,17,0–0.2
42659082,0.510204081632653,22,0.4–0.6
42267249,0.34782608695652173,20,0.2–0.4
35633674,0.18518518518518523,19,0–0.2
20785571,0.0,24,<0
39550222,0.0769230769230771,14,0–0.2
36925892,-0.06007067137809208,10,<0
32173405,0.2842942345924453,18,0.2–0.4
39508439,0.2567567567567567,19,0.2–0.4
42134452,0.21212121212121215,17,0.2–0.4
35025879,0.1358024691358024,16,0–0.2
39740707,0.33333333333333337,15,0.2–0.4
34360123,0.38144329896907203,20,0.2–0.4
39204918,0.01176470588235301,16,0–0.2
34304768,0.04255319148936165,15,0–0.2
39098712,0.2777777777777778,17,0.2–0.4
35156530,0.09819639278557113,15,0–0.2
38273134,0.15094339622641495,15,0–0.2
37504945,0.1192660550458714,14,0–0.2
36401048,0.2622950819672132,18,0.2–0.4
7690577,0.320754716981132,18,0.2–0.4
40953763,0.31818181818181823,18,0.2–0.4
17331385,0.16844349680170578,17,0–0.2
38194580,0.258555133079848,17,0.2–0.4
30055681,0.168207024029575,15,0–0.2
38123314,0.11764705882352944,14,0–0.2
42218140,0.07216494845360821,12,0–0.2
41276457,0.1143911439114389,14,0–0.2
38170070,0.22145328719723179,15,0.2–0.4
31598591,0.10946196660482388,14,0–0.2
41844780,-0.006711409395973256,15,<0
42745470,0.11330049261083752,18,0–0.2
38524584,0.038785834738617186,11,0–0.2
41433005,0.1611842105263157,13,0–0.2
42017824,0.19694072657743789,16,0–0.2
41563050,-0.00990099009900991,13,<0
39759039,0.2227979274611398,15,0.2–0.4
6355877,0.34121621621621623,17,0.2–0.4
30610730,0.03591682419659736,13,0–0.2
41856474,0.1351351351351351,14,0–0.2
33950445,0.05660377358490565,15,0–0.2
41015812,0.1938579654510557,16,0–0.2
42414846,0.1847826086956521,15,0–0.2
23188187,0.0710382513661203,13,0–0.2
40582709,0.002375296912114022,16,0–0.2
39039918,0.24865831842576025,16,0.2–0.4
39114609,0.053254437869822424,14,0–0.2
34118863,0.3513513513513513,18,0.2–0.4
31681358,0.2468619246861925,18,0.2–0.4
38700241,0.1448931116389549,18,0–0.2
30406175,0.03465346534653457,17,0–0.2
32833920,0.25266903914590755,16,0.2–0.4
31269093,0.38053097345132747,13,0.2–0.4
32049067,0.29273084479371325,18,0.2–0.4
40678288,0.48275862068965514,23,0.4–0.6
19814613,0.21259842519685046,20,0.2–0.4
29545498,0.17372881355932213,17,0–0.2
41166195,0.12751677852348986,17,0–0.2
31840799,0.5209580838323353,22,0.4–0.6
41437076,0.35344827586206895,20,0.2–0.4
34351472,0.2857142857142857,22,0.2–0.4
39397009,0.1643454038997213,20,0–0.2
22245763,0.2405063291139241,18,0.2–0.4
