ref_value,majority_label,label
http://8tracks.com,company,company
http://addons.mozilla.org,company,company
http://akas.imdb.com,company,company
http://americanart.si.edu,company,company
http://archive.org,company,other
http://art.famsf.org,company,company
http://backuppc.cvs.sourceforge.net,company,sp_source
http://bbti.bodleian.ox.ac.uk,company,academia
http://blog.mathieui.net,sp_source,company
http://blog.torproject.org,company,sp_source
http://blogs.windows.com,company,company
http://books.google.co.uk,company,company
http://brightlightsfilm.com,news,company
http://bse.sci-lib.com,ne,sp_source
http://chem.nlm.nih.gov,academia,govt
http://classify.oclc.org,company,company
http://collection.cooperhewitt.org,company,academia
http://collections.artsmia.org,company,company
http://collections.britishart.yale.edu,company,company
http://collections.lacma.org,company,company
http://commons.wikimedia.org,company,company
http://daccess-ods.un.org,govt,govt
http://dirigeant.societe.com,ne,company
http://download.gnome.org,other,company
http://ekladata.com,ne,company
http://electronicintifada.net,news,sp_source
http://en.mediamass.net,news,other
http://en.wikisource.org,company,academia
http://eprints.lancs.ac.uk,academia,academia
http://equipboard.com,company,company
http://europeana.eu,company,company
http://factfinder.census.gov,govt,govt
http://fdrmx.com,news,nw
http://fedoraproject.org,company,company
http://feed.snapdo.com,company,nw
http://ffilms.org,company,company
http://fie.org,company,nw
http://figshare.com,academia,company
http://firstcycling.com,company,sp_source
http://flickfacts.com,nw,other
http://flymotorsich.com,company,company
http://fmg.ac,company,company
http://forums.comodo.com,company,company
http://freemind.sourceforge.net,company,company
http://ftp.debian-ports.org,other,company
http://genealogy.az.gov,govt,govt
http://geonames.usgs.gov,govt,govt
http://github.com,company,company
http://groups.google.com,company,sp_source
http://hansard.millbanksystems.com,company,company
http://homepage.usask.ca,company,academia
http://iba-world.com,company,company
http://id.loc.gov,company,govt
http://identifiers.org,academia,other
http://independentlibraries.co.uk,company,company
http://instagram.com,company,company
http://itunes.apple.com,company,company
http://killiefc.com,company,company
http://lawandorder.wikia.com,company,sp_source
http://leonocusto.blog66.fc2.com,ne,sp_source
http://library.la84.org,company,company
http://library.leeds.ac.uk,academia,academia
http://lists.alioth.debian.org,company,sp_source
http://lists.claws-mail.org,company,sp_source
http://lists.freebsd.org,company,sp_source
http://lists.netfilter.org,company,sp_source
http://lists.nongnu.org,company,sp_source
http://lists.torproject.org,company,sp_source
http://m.timesofindia.com,news,news
http://mail-archives.apache.org,company,company
http://moma.org,company,company
http://movie-locations.com,company,company
http://movieweb.com,news,company
http://mpse.org,academia,other
http://museedelaresistanceenligne.org,ne,sp_source
http://nablus.org,ne,sp_source
http://new.liveauctioneers.com,company,company
http://newspapers.library.wales,news,govt
http://olat.org,academia,sp_source
http://online.wsj.com,news,news
http://oxfordindex.oup.com,academia,company
http://phoronix.com,company,company
http://planetarynames.wr.usgs.gov,academia,govt
http://pubchem.ncbi.nlm.nih.gov,academia,company
http://puppet.com,company,company
http://quickfacts.census.gov,nw,govt
http://ratings.fide.com,company,other
http://runeberg.org,company,other
http://sites.asiasociety.org,company,company
http://sourceforge.net,company,company
