user,kappa,agree_count,kappa_bin
29415754,0.18181818181818177,8,0–0.2
41189648,0.1706484641638225,9,0–0.2
36268643,0.06341463414634141,4,0–0.2
28375885,0.10447761194029848,6,0–0.2
39006856,0.2754716981132075,8,0.2–0.4
32108646,0.1346153846153847,6,0–0.2
41866146,0.196694214876033,9,0–0.2
11003055,0.19269102990033216,9,0–0.2
35271549,0.09562398703403563,5,0–0.2
41166195,0.14012738853503182,6,0–0.2
33973110,0.20136518771331058,10,0.2–0.4
36946810,0.12568306010928965,4,0–0.2
25879918,0.08695652173913049,3,0–0.2
40215755,0.0784982935153582,6,0–0.2
42155896,0.08972267536704737,5,0–0.2
37589406,-0.035502958579881616,3,<0
42414846,0.16000000000000003,7,0–0.2
25411600,0.1544715447154471,6,0–0.2
35077385,0.13750000000000018,5,0–0.2
42023252,0.09999999999999998,8,0–0.2
40297287,0.07692307692307687,4,0–0.2
15439343,0.052631578947368474,2,0–0.2
39073124,0.007874015748031371,3,0–0.2
32073845,0.03296703296703296,2,0–0.2
36113457,0.02987697715289994,1,0–0.2
39920459,0.02300884955752236,1,0–0.2
35377304,0.05206463195691202,2,0–0.2
37869484,0.008474576271186418,1,0–0.2
40245758,0.02555366269165249,4,0–0.2
42402413,0.11717171717171715,4,0–0.2
35644614,0.15217391304347827,5,0–0.2
34550698,0.0032573289902281255,1,0–0.2
42472203,0.026717557251908275,2,0–0.2
35597807,0.13036809815950923,6,0–0.2
32417589,0.14874551971326166,6,0–0.2
33805118,-0.04166666666666674,0,<0
25864227,0.11111111111111116,3,0–0.2
40338958,0.11475409836065575,5,0–0.2
41142695,0.06493506493506518,3,0–0.2
33731955,0.2085661080074489,8,0.2–0.4
42472271,0.06269592476489039,3,0–0.2
42471779,0.18181818181818177,2,0–0.2
34098122,0.04850746268656725,2,0–0.2
36922135,-0.07835820895522372,0,<0
31001292,-0.007042253521126751,2,<0
39554633,0.038076152304609145,4,0–0.2
39538622,0.12060301507537685,4,0–0.2
41110198,0.11456310679611648,5,0–0.2
34630521,0.09999999999999998,4,0–0.2
39616594,-0.020408163265306145,0,<0
27985936,0.006570302233902869,1,0–0.2
42405769,0.06666666666666654,5,0–0.2
40640600,0.15887850467289721,7,0–0.2
38164483,0.13169984686064307,6,0–0.2
34391904,0.07861060329067637,3,0–0.2
34417954,0.06666666666666654,2,0–0.2
38511900,0.03392568659127637,3,0–0.2
42472222,0.06067415730337089,3,0–0.2
11021010,0.05699481865284983,2,0–0.2
39332461,0.0745156482861401,4,0–0.2
41652222,0.14925373134328368,5,0–0.2
35673676,0.136986301369863,2,0–0.2
40323250,0.19762258543833577,7,0–0.2
35597778,0.03978052126200271,3,0–0.2
33732609,0.07563025210084051,3,0–0.2
35679318,0.02597402597402587,2,0–0.2
38040317,0.08940397350993379,3,0–0.2
35597774,0.06338028169014065,2,0–0.2
33573033,0.08180300500834703,3,0–0.2
36531316,0.19553072625698342,6,0–0.2
40640602,0.12774451097804396,4,0–0.2
32717039,0.023890784982935176,4,0–0.2
38040405,0.13636363636363635,4,0–0.2
35597784,0.028716216216216228,2,0–0.2
35077324,0.052631578947368474,1,0–0.2
36621052,0.07954545454545447,3,0–0.2
30055681,0.04278728606356963,2,0–0.2
38427455,0.002547770700636942,2,0–0.2
32777849,-0.032258064516129004,0,<0
29971516,-0.03826955074875227,2,<0
21353389,-0.035031847133758065,1,<0
36820845,-0.10344827586206895,0,<0
42372714,0.07011070110701101,3,0–0.2
40950428,-0.033783783783783994,1,<0
38012668,-0.046391752577319645,1,<0
42565441,0.04240766073871394,3,0–0.2
11051473,0.1428571428571429,2,0–0.2
33827939,0.1351351351351351,4,0–0.2
36596402,0.029687499999999978,4,0–0.2
42259233,0.06280991735537178,6,0–0.2
38040154,0.10562180579216351,4,0–0.2
35077410,0.06998444790046665,3,0–0.2
15925358,0.1428571428571429,2,0–0.2
33803814,0.19310344827586223,5,0–0.2
42471886,0.3589743589743589,5,0.2–0.4
35597775,-0.024390243902439046,1,<0
42530712,-0.038461538461538325,0,<0
6355877,0.1334488734835355,5,0–0.2
37660122,0.22857142857142854,3,0.2–0.4
41983503,0.21777777777777774,5,0.2–0.4
32774592,0.2675781249999999,10,0.2–0.4
39731476,-0.1095890410958904,0,<0
42471936,0.18518518518518523,5,0–0.2
34436396,-0.03418803418803407,0,<0
40640510,0.05263157894736825,1,0–0.2
35597733,0.0,0,<0
32655193,-0.025316455696202445,0,<0
36606873,0.06487695749440725,3,0–0.2
38425753,0.09677419354838712,2,0–0.2
39201925,0.0,0,<0
42472244,0.0,0,<0
42024632,0.15999999999999992,2,0–0.2
39140287,0.0,0,<0
35597791,0.19999999999999996,2,0–0.2
37693831,0.0,0,<0
