user,kappa,agree_count,kappa_bin
42298345,0.10596026490066224,21,0–0.2
33163510,0.17547568710359407,17,0–0.2
41983503,0.13907284768211914,17,0–0.2
11746564,0.26503340757238303,19,0.2–0.4
42708352,0.06250000000000011,19,0–0.2
11376021,0.04878048780487798,17,0–0.2
40652679,0.25,23,0.2–0.4
40263699,0.05013192612137196,18,0–0.2
41141777,0.2660550458715596,22,0.2–0.4
40893415,0.4117647058823529,23,0.4–0.6
41881477,0.35760171306209854,20,0.2–0.4
38687371,0.1808873720136518,22,0–0.2
40914155,0.2976588628762541,23,0.2–0.4
36624581,0.0604026845637583,16,0–0.2
39419117,0.3119266055045873,25,0.2–0.4
34307153,0.06896551724137945,21,0–0.2
41399716,0.25,18,0.2–0.4
42160208,0.2592592592592593,20,0.2–0.4
39632557,0.23295454545454564,21,0.2–0.4
38514103,0.11504424778761069,20,0–0.2
33599386,0.2082111436950147,21,0.2–0.4
39499917,0.3333333333333335,22,0.2–0.4
42629269,-0.010101010101009944,20,<0
42084122,0.25619834710743805,21,0.2–0.4
41870409,-0.020408163265306145,20,<0
25388841,0.15094339622641506,18,0–0.2
40844959,0.2894736842105263,21,0.2–0.4
41571503,0.1836734693877552,22,0–0.2
13180246,0.3258426966292134,20,0.2–0.4
42354707,0.16955017301038056,22,0–0.2
40861787,0.20673076923076927,19,0.2–0.4
34856865,0.15492957746478875,20,0–0.2
42661633,0.07216494845360844,24,0–0.2
31933957,0.3142857142857144,22,0.2–0.4
42156004,0.52,24,0.4–0.6
41834005,0.018691588785046953,23,0–0.2
39965755,0.21568627450980404,22,0.2–0.4
25411600,0.18918918918918926,24,0–0.2
38427455,-0.026615969581748944,21,<0
23197558,0.511400651465798,25,0.4–0.6
20039972,0.2894736842105263,21,0.2–0.4
42540709,0.17431192660550465,21,0–0.2
39920459,-0.08527131782945752,16,<0
36603824,0.371069182389937,20,0.2–0.4
37589406,0.2941176470588236,22,0.2–0.4
14826952,-0.022727272727272707,21,<0
42421443,0.2289719626168224,19,0.2–0.4
38922919,0.18918918918918926,18,0–0.2
11003055,-0.05978260869565233,17,<0
39757852,0.198218262806236,18,0–0.2
41142695,0.29618768328445755,22,0.2–0.4
42155896,-0.08108108108108092,22,<0
12999735,-0.08352144469525968,14,<0
33868190,-0.126005361930295,16,<0
35169212,-0.01298701298701288,11,<0
40842537,0.32330827067669177,21,0.2–0.4
37444582,0.23076923076923084,18,0.2–0.4
42404850,0.09319899244332486,18,0–0.2
40957436,0.05594405594405594,21,0–0.2
41451114,0.3939393939393939,22,0.2–0.4
26079868,0.3717277486910995,22,0.2–0.4
23228736,0.10138248847926279,17,0–0.2
37636971,0.2142857142857143,19,0.2–0.4
41110198,0.4193548387096774,18,0.4–0.6
22204662,-0.09550561797752799,17,<0
38990852,0.15254237288135597,20,0–0.2
38405796,0.15816326530612257,19,0–0.2
37454844,0.375,20,0.2–0.4
40714779,0.16666666666666674,14,0–0.2
32316049,0.25207756232686995,21,0.2–0.4
41569922,-0.027397260273972712,20,<0
42403286,0.18604651162790697,13,0–0.2
42409065,0.3771626297577855,24,0.2–0.4
38827747,0.2028985507246377,19,0.2–0.4
36019136,0.18256130790190728,20,0–0.2
36374994,0.017857142857142905,19,0–0.2
29661345,0.3142857142857144,22,0.2–0.4
40637418,0.2567567567567568,19,0.2–0.4
40031413,0.1497975708502025,16,0–0.2
39813193,-0.047794117647058876,11,<0
36930849,0.31818181818181823,20,0.2–0.4
19543823,0.26108374384236455,20,0.2–0.4
37637336,-0.034482758620689724,20,<0
42673816,0.20118343195266275,21,0.2–0.4
39119481,0.40133037694013296,21,0.4–0.6
42534327,0.18644067796610175,22,0–0.2
26500151,0.19999999999999996,12,0–0.2
31839043,0.010309278350515538,14,0–0.2
40165051,0.29729729729729726,17,0.2–0.4
35068908,0.1428571428571429,21,0–0.2
33030870,0.19999999999999996,20,0–0.2
38012668,0.0687361419068735,16,0–0.2
40389517,0.23295454545454553,21,0.2–0.4
22676073,0.11330049261083741,24,0–0.2
32417589,-0.011235955056179803,18,<0
42405621,-0.02564102564102555,18,<0
41580788,0.22580645161290336,18,0.2–0.4
29341178,0.273356401384083,23,0.2–0.4
35725731,-0.16666666666666674,9,<0
30334833,0.5434782608695652,11,0.4–0.6
35792870,0.29539295392953924,16,0.2–0.4
41862402,0.1071428571428571,15,0–0.2
35564148,0.153225806451613,23,0–0.2
42436409,0.2899408284023668,26,0.2–0.4
37190188,-0.07784431137724557,11,<0
39413146,-0.025641025641025772,12,<0
41406112,0.06914893617021278,11,0–0.2
39116185,0.5535714285714286,19,0.4–0.6
38003391,0.18067226890756294,17,0–0.2
40756808,0.0,22,<0
30487713,0.15254237288135597,20,0–0.2
42659082,0.4029850746268657,22,0.4–0.6
42267249,0.4629156010230179,23,0.4–0.6
35633674,0.014925373134328512,19,0–0.2
20785571,0.0,26,<0
39550222,0.08296943231441045,16,0–0.2
36925892,0.14448669201520903,15,0–0.2
32173405,0.31677018633540377,19,0.2–0.4
39508439,0.45736434108527124,23,0.4–0.6
42134452,0.13140311804008908,17,0–0.2
35025879,0.1358024691358024,16,0–0.2
39740707,0.1565495207667732,13,0–0.2
34360123,0.44055944055944063,22,0.4–0.6
39204918,0.05714285714285727,19,0–0.2
34304768,0.3617021276595743,22,0.2–0.4
39098712,0.1515151515151515,16,0–0.2
35156530,0.3986636971046771,21,0.2–0.4
38273134,0.20353982300884954,18,0.2–0.4
37504945,0.20731707317073167,17,0.2–0.4
36401048,0.368421052631579,22,0.2–0.4
7690577,0.368421052631579,22,0.2–0.4
40953763,0.3927125506072875,20,0.2–0.4
17331385,0.07563025210084007,19,0–0.2
38194580,0.3969849246231155,22,0.2–0.4
30055681,0.02985074626865658,17,0–0.2
38123314,0.26991150442477874,19,0.2–0.4
42218140,0.0625,12,0–0.2
41276457,0.07216494845360832,15,0–0.2
38170070,0.17733089579524663,15,0–0.2
31598591,0.15492957746478875,16,0–0.2
41844780,0.21875,20,0.2–0.4
42745470,0.1089108910891089,18,0–0.2
38524584,0.09999999999999987,15,0–0.2
41433005,0.24187725631768942,16,0.2–0.4
42017824,0.15690866510538637,18,0–0.2
41563050,0.3348115299334812,20,0.2–0.4
39759039,0.318181818181818,19,0.2–0.4
6355877,0.26573426573426584,16,0.2–0.4
30610730,0.07801418439716312,17,0–0.2
41856474,0.15094339622641506,18,0–0.2
33950445,0.04929577464788737,21,0–0.2
41015812,0.11764705882352933,20,0–0.2
42414846,0.08928571428571419,13,0–0.2
23188187,0.08571428571428574,14,0–0.2
40582709,0.1340206185567011,16,0–0.2
39039918,0.055690072639224986,17,0–0.2
39114609,0.07216494845360821,18,0–0.2
34118863,0.14122137404580148,15,0–0.2
31681358,0.08878504672897192,17,0–0.2
38700241,0.16201117318435754,20,0–0.2
30406175,0.05063291139240522,20,0–0.2
32833920,0.1925465838509317,17,0–0.2
31269093,0.2178770949720671,13,0.2–0.4
32049067,0.2682926829268294,19,0.2–0.4
40678288,0.32835820895522394,21,0.2–0.4
19814613,0.18429003021148038,21,0–0.2
29545498,0.06515580736543902,19,0–0.2
41166195,0.1687657430730478,19,0–0.2
31840799,0.05714285714285727,19,0–0.2
41437076,0.2584269662921348,19,0.2–0.4
34351472,0.11764705882352933,20,0–0.2
