user,kappa,agree_count,kappa_bin
29415754,0.22772277227722781,5,0.2–0.4
41189648,0.1515151515151515,4,0–0.2
36268643,0.2751677852348996,6,0.2–0.4
28375885,0.12052117263843642,3,0–0.2
39006856,0.20588235294117663,3,0.2–0.4
32108646,0.11764705882352944,3,0–0.2
41866146,0.27272727272727293,6,0.2–0.4
11003055,-0.05154639175257758,1,<0
35271549,-0.0268456375838928,1,<0
41166195,0.12802768166089973,4,0–0.2
33973110,0.12621359223300976,3,0–0.2
36946810,0.149171270718232,3,0–0.2
25879918,0.13043478260869568,2,0–0.2
40215755,0.10891089108910901,3,0–0.2
42155896,-0.01567398119122254,0,<0
37589406,0.08196721311475408,2,0–0.2
42414846,0.08474576271186418,3,0–0.2
25411600,0.1724137931034483,6,0–0.2
35077385,0.13011152416356864,5,0–0.2
42023252,0.10320284697508897,4,0–0.2
40297287,0.07692307692307687,2,0–0.2
15439343,0.0117647058823529,2,0–0.2
39073124,0.2921348314606742,5,0.2–0.4
32073845,0.10299003322259137,3,0–0.2
36113457,0.18971061093247577,4,0–0.2
39920459,0.23278688524590152,5,0.2–0.4
35377304,0.22259136212624586,5,0.2–0.4
37869484,0.21739130434782628,5,0.2–0.4
40245758,0.11578947368421055,4,0–0.2
42402413,0.05882352941176472,2,0–0.2
35644614,0.12903225806451613,3,0–0.2
34550698,0.18796992481203,3,0–0.2
42472203,0.16923076923076918,3,0–0.2
35597807,-0.009900990099009688,1,<0
32417589,0.2473867595818815,6,0.2–0.4
33805118,-0.12500000000000022,0,<0
25864227,0.0914826498422715,2,0–0.2
40338958,0.20408163265306134,5,0.2–0.4
41142695,0.1428571428571428,4,0–0.2
33731955,0.10638297872340419,4,0–0.2
42472271,0.09698996655518388,3,0–0.2
42471779,0.11764705882352933,1,0–0.2
34098122,-0.015384615384615552,1,<0
36922135,-0.06451612903225823,1,<0
31001292,0.07692307692307687,2,0–0.2
39554633,0.0561797752808989,4,0–0.2
39538622,0.21739130434782605,5,0.2–0.4
41110198,0.2421052631578947,6,0.2–0.4
34630521,0.11184210526315774,3,0–0.2
39616594,0.09090909090909094,1,0–0.2
27985936,0.13183279742765275,3,0–0.2
42405769,0.125,4,0–0.2
40640600,0.125,4,0–0.2
38164483,0.32881355932203393,7,0.2–0.4
34391904,0.025477707006369532,1,0–0.2
34417954,0.18796992481203,3,0–0.2
38511900,0.11475409836065564,3,0–0.2
42472222,0.018867924528301883,3,0–0.2
11021010,-0.01567398119122254,0,<0
39332461,0.19587628865979367,5,0–0.2
41652222,0.1486486486486488,4,0–0.2
35673676,0.2941176470588235,2,0.2–0.4
40323250,0.136986301369863,4,0–0.2
35597778,0.0034602076124568004,2,0–0.2
33732609,0.10320284697508908,4,0–0.2
35679318,0.010309278350515316,2,0–0.2
38040317,0.15719063545150502,4,0–0.2
35597774,0.06493506493506507,2,0–0.2
33573033,0.1346153846153847,3,0–0.2
36531316,0.19031141868512114,5,0–0.2
40640602,0.009708737864077555,1,0–0.2
32717039,0.10638297872340419,4,0–0.2
38040405,0.1428571428571428,2,0–0.2
35597784,0.07987220447284349,2,0–0.2
35077324,0.4375,3,0.4–0.6
36621052,-0.031847133757961776,0,<0
30055681,0.08571428571428574,2,0–0.2
38427455,0.010309278350515316,2,0–0.2
32777849,0.11764705882352933,1,0–0.2
29971516,-0.06993006993007,1,<0
21353389,0.0625,3,0–0.2
36820845,-0.09090909090909083,0,<0
42372714,0.10596026490066235,3,0–0.2
40950428,-0.04761904761904767,1,<0
38012668,0.059233449477351874,3,0–0.2
42565441,0.10891089108910901,3,0–0.2
11051473,0.2941176470588235,2,0.2–0.4
33827939,0.055118110236220486,2,0–0.2
36596402,0.136986301369863,4,0–0.2
42259233,0.16725978647686834,5,0–0.2
38040154,0.20408163265306112,5,0.2–0.4
35077410,0.15436241610738244,4,0–0.2
15925358,-0.07142857142857162,1,<0
33803814,0.02941176470588225,1,0–0.2
42471886,0.06250000000000011,1,0–0.2
35597775,-0.10000000000000009,1,<0
42530712,-0.16129032258064524,0,<0
6355877,0.15217391304347816,5,0–0.2
37660122,0.1724137931034484,2,0–0.2
41983503,0.21311475409836078,4,0.2–0.4
32774592,0.17870722433460073,6,0–0.2
39731476,0.11764705882352944,1,0–0.2
42471936,0.11475409836065564,3,0–0.2
34436396,0.2941176470588235,2,0.2–0.4
40640510,-0.09090909090909105,0,<0
35597733,0.1428571428571428,1,0–0.2
32655193,0.31034482758620685,3,0.2–0.4
36606873,0.16428571428571437,5,0–0.2
38425753,0.12408759124087587,2,0–0.2
39201925,0.09090909090909094,1,0–0.2
42472244,0.09090909090909094,1,0–0.2
42024632,-0.05882352941176472,0,<0
39140287,0.22580645161290314,2,0.2–0.4
35597791,0.22580645161290325,2,0.2–0.4
37693831,0.0,0,<0
