ref_value,majority_label,label
http://8tracks.com,vendor,non_trad_news
http://addons.mozilla.org,vendor,trad_news
http://akas.imdb.com,no_profit,nw
http://americanart.si.edu,cultural,trad_news
http://amturing.acm.org,no_profit,academia_uni
http://archive.org,no_profit,trad_news
http://art.famsf.org,cultural,ne
http://backuppc.cvs.sourceforge.net,vendor,non_trad_news
http://bbfc.co.uk,cultural,trad_news
http://bbti.bodleian.ox.ac.uk,cultural,nw
http://blog.mathieui.net,yes,non_trad_news
http://blog.process-one.net,vendor,non_trad_news
http://blog.torproject.org,no,no_profit
http://blogs.windows.com,vendor,non_trad_news
http://books.google.co.uk,vendor,nw
http://brightlightsfilm.com,non_trad_news,non_trad_news
http://chem.nlm.nih.gov,no,trad_news
http://chibi.ubc.ca,academia_uni,academia_uni
http://classify.oclc.org,cultural,academia_pub
http://collection.cooperhewitt.org,cultural,academia_uni
http://collections.artsmia.org,cultural,cultural
http://collections.britishart.yale.edu,cultural,academia_uni
http://collections.lacma.org,cultural,trad_news
http://commons.wikimedia.org,cultural,academia_pub
http://daccess-ods.un.org,yes,no_profit
http://data.ordnancesurvey.co.uk,cultural,trad_news
http://directory.fsf.org,no_profit,academia_pub
http://electronicintifada.net,trad_news,trad_news
http://en.mediamass.net,trad_news,no_profit
http://en.wikisource.org,no_profit,trad_news
http://eprints.lancs.ac.uk,academia_uni,academia_uni
http://equipboard.com,no_profit,ne
http://espn.go.com,trad_news,trad_news
http://europeana.eu,cultural,nw
http://factfinder.census.gov,yes,yes
http://fdrmx.com,non_trad_news,ne
http://fedoraproject.org,no_profit,vendor
http://feed.snapdo.com,vendor,ne
http://ffilms.org,no_profit,ne
http://fie.org,no_profit,no_profit
http://figshare.com,academia_pub,academia_pub
http://firstcycling.com,no,trad_news
http://flymotorsich.com,ne,nw
http://fmg.ac,cultural,academia_uni
http://forum.mql4.com,no_profit,trad_news
http://forums.comodo.com,vendor,nw
http://fossilworks.org,academia_uni,academia_pub
http://freemind.sourceforge.net,no_profit,academia_uni
http://ftp.debian-ports.org,yes,trad_news
