user,kappa,agree_count,kappa_bin
42298345,-0.07526881720430101,20,<0
33163510,0.0,15,<0
41983503,0.16129032258064513,17,0–0.2
11746564,0.375,21,0.2–0.4
42708352,0.03571428571428559,21,0–0.2
11376021,0.2142857142857143,19,0.2–0.4
40652679,0.25,22,0.2–0.4
40263699,0.13793103448275867,20,0–0.2
41141777,0.4339622641509434,24,0.4–0.6
40893415,0.28358208955223885,22,0.2–0.4
41881477,0.10344827586206906,17,0–0.2
38687371,0.17582417582417575,20,0–0.2
40914155,0.14529914529914523,20,0–0.2
36624581,0.08450704225352113,17,0–0.2
39419117,-0.04166666666666674,20,<0
34307153,0.11475409836065587,21,0–0.2
41399716,0.11764705882352944,18,0–0.2
42160208,0.2227979274611399,20,0.2–0.4
39632557,0.1847826086956521,20,0–0.2
38514103,0.00990099009901002,20,0–0.2
33599386,0.27419354838709675,21,0.2–0.4
39499917,0.1836734693877552,22,0–0.2
42629269,0.23076923076923084,22,0.2–0.4
42084122,0.21739130434782605,21,0.2–0.4
41870409,0.10596026490066224,21,0–0.2
25388841,0.24242424242424243,20,0.2–0.4
40844959,0.3902439024390243,25,0.2–0.4
41571503,-0.12244897959183665,19,<0
13180246,0.05339805825242727,17,0–0.2
42354707,0.2727272727272727,22,0.2–0.4
40861787,0.16030534351145032,19,0–0.2
34856865,0.01492537313432829,19,0–0.2
42661633,0.27710843373493976,26,0.2–0.4
31933957,0.368421052631579,24,0.2–0.4
42156004,0.38618925831202044,22,0.2–0.4
41834005,0.2063492063492064,25,0.2–0.4
39965755,-0.125,21,<0
25411600,0.024390243902438935,22,0–0.2
38427455,0.1428571428571429,22,0–0.2
23197558,0.24369747899159677,24,0.2–0.4
20039972,0.2222222222222222,23,0.2–0.4
42540709,-0.0714285714285714,22,<0
39920459,0.0,19,<0
36603824,0.37823834196891193,22,0.2–0.4
37589406,0.13043478260869557,22,0–0.2
14826952,-0.07692307692307687,23,<0
42421443,0.05982905982905973,19,0–0.2
38922919,0.24623115577889443,20,0.2–0.4
11003055,-0.10000000000000009,19,<0
39757852,-0.13636363636363646,15,<0
41142695,0.1562500000000001,21,0–0.2
42155896,0.024390243902438935,22,0–0.2
12999735,-0.16766467065868262,17,<0
33868190,-0.11111111111111116,20,<0
35169212,-0.23605150214592285,12,<0
40842537,0.4943820224719101,24,0.4–0.6
37444582,0.16666666666666674,17,0–0.2
42404850,0.15887850467289732,21,0–0.2
40957436,-0.0714285714285714,23,<0
41451114,0.11184210526315785,21,0–0.2
26079868,0.09589041095890416,19,0–0.2
23228736,0.13333333333333341,17,0–0.2
37636971,0.21965317919075145,21,0.2–0.4
41110198,0.6097560975609756,20,0.6–0.8
22204662,-0.11111111111111116,17,<0
38990852,0.181818181818182,21,0–0.2
38405796,-0.016949152542372836,18,<0
37454844,0.2289719626168225,19,0.2–0.4
40714779,0.16666666666666685,15,0–0.2
32316049,0.023668639053254337,19,0–0.2
41569922,0.1964285714285714,24,0–0.2
42403286,0.2222222222222222,13,0.2–0.4
42409065,-0.10294117647058831,20,<0
38827747,0.4418604651162791,22,0.4–0.6
36019136,0.41747572815533984,22,0.4–0.6
