ref_value,majority_label,label
http://8tracks.com/angeloflight12/shake-it-up-dance,organisation,organisation
http://akas.imdb.com/name/nm2304352/,collective,individual
http://americanart.si.edu/collections/search/artwork/?id=11098,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=11416,organisation,individual
http://americanart.si.edu/collections/search/artwork/?id=11819,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=14493,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=20476,organisation,individual
http://americanart.si.edu/collections/search/artwork/?id=21513,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=22834,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25639,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25825,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25858,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26050,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26233,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26314,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26486,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26587,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=27676,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=27878,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=28340,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=31889,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=33467,organisation,organisation
http://amturing.acm.org/award_winners/mccarthy_0239596.cfm,individual,individual
http://art.famsf.org/luca-di-tomme/crucifixion-61443,organisation,organisation
http://art.famsf.org/thomas-eakins/professor-william-woolsey-johnson-19933528,organisation,individual
http://backuppc.cvs.sourceforge.net/viewvc/backuppc/BackupPC/LICENSE?revision=1.1&view=markup,organisation,organisation
http://bbfc.co.uk/releases/electra-my-love-1974,organisation,organisation
http://bbfc.co.uk/releases/m%C3%A9g-k%C3%A9r-n%C3%A9p-1972,organisation,organisation
http://bbti.bodleian.ox.ac.uk/details/?traderid=46872,organisation,organisation
http://brightlightsfilm.com/55/55brightsights.php,individual,organisation
http://bse.sci-lib.com/article001911.html,ne,organisation
http://chem.sis.nlm.nih.gov/chemidplus/rn/99-83-2,organisation,organisation
http://classify.oclc.org/classify2/ClassifyDemo?wi=244205816,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/1665327,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/1668391,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/3794722,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/3866211,organisation,individual
http://collections.lacma.org/node/172826,organisation,organisation
http://collections.lacma.org/node/173830,organisation,organisation
http://collections.lacma.org/node/188668,organisation,organisation
http://collections.lacma.org/node/193799,organisation,individual
http://collections.lacma.org/node/201897,organisation,individual
http://collections.lacma.org/node/206814,organisation,organisation
http://collections.lacma.org/node/2092281,organisation,organisation
http://collections.lacma.org/node/2114212,organisation,organisation
http://collections.lacma.org/node/212182,organisation,organisation
http://collections.lacma.org/node/219645,organisation,organisation
http://collections.lacma.org/node/243436,organisation,organisation
http://collections.lacma.org/node/250927,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/34/37&Lang=E,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54(I)&Lang=E,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54/4&Lang=E,organisation,organisation
http://data.ordnancesurvey.co.uk/doc/7000000000025498,organisation,organisation
http://dirigeant.societe.com/dirigeant/Olivier.RADOT.64009682.html,individual,individual
http://download.oldium.net/karel/karel-2.0.5.tar.gz,nw,organisation
http://ekladata.com/rl2BN3HcBBXXT7U3ZV_W6foev0Y/BIOGRAPHIE.pdf,ne,organisation
http://electronicintifada.net/v2/article10485.shtml,individual,individual
http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,individual,individual
http://eprints.lancs.ac.uk/80161/1/MBMJ_Author_Copy.pdf,collective,individual
http://equipboard.com/pros/jeremy-michael-ward,organisation,individual
http://espn.go.com/olympics/winter/2014/athletes/_/athlete/34894/hermann-maier,organisation,individual
http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_37548.html,nw,organisation
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_1558___.html,nw,organisation
http://europeana.eu/portal/record//2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden__Inv__Nr__NM_4347___.html,nw,organisation
http://europeana.eu/portal/record//90402/SK_A_1115.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_135.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_2420.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_2664.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_3064.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_3276.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_3841.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_A_4691.html,organisation,organisation
http://europeana.eu/portal/record//90402/SK_C_612.html,organisation,organisation
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0032.html,organisation,organisation
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0090.html,organisation,organisation
http://europeana.eu/portal/record//92034/GVNRC_MAU01_0177.html,organisation,organisation
http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4151700,organisation,organisation
http://factfinder.census.gov/bkmk/table/1.0/en/PEP/2015/PEPANNRES/1620000US4184200,organisation,organisation
http://fdrmx.com/ok-go-oh-track-track-album-review/,nw,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Brenninkmeijer_family,nw,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Nikolay_Khomyakov,nw,organisation
http://ffilms.org/atm-2012/,organisation,organisation
http://fie.org/fencers/Mona-SHAITO-22165/biography,organisation,organisation
http://firstcycling.com/rider.php?r=1642,organisation,organisation
http://firstcycling.com/rider.php?r=21250,organisation,organisation
http://firstcycling.com/rider.php?r=21253,organisation,organisation
http://firstcycling.com/rider.php?r=24650,organisation,organisation
http://firstcycling.com/rider.php?r=26948.,collective,organisation
http://firstcycling.com/team.php?l=2890,organisation,organisation
http://firstcycling.com/team.php?l=3361,organisation,organisation
http://firstcycling.com/team.php?l=3432,organisation,organisation
http://firstcycling.com/team.php?l=3452,organisation,organisation
http://flickfacts.com/actor/xavier-samuel,nw,individual
http://flymotorsich.com/en/pages/fleet,organisation,organisation
http://fmg.ac/Projects/MedLands/AQUITAINE.htm#AdelindaMAcfredoICarcassonne,individual,organisation
http://fmg.ac/Projects/MedLands/BURGUNDY%20Kingdom.htm,organisation,organisation
http://fmg.ac/Projects/MedLands/FRANKSMaiordomi.htm,organisation,organisation
http://fmg.ac/Projects/MedLands/GASCONY.htm,individual,organisation
http://fossilworks.org/bridge.pl?a=taxonInfo&taxon_no=214077,collective,organisation
http://freemind.sourceforge.net/wiki/index.php/Licensing,collective,organisation
http://ftp.debian-ports.org/debian-cd/hurd-i386/debian-hurd-2015/README.txt,organisation,organisation
http://genealogy.az.gov/azbirth/1044/10440674.pdf,nw,organisation
http://geonames.usgs.gov/docs/stategaz/GOVT_UNITS_20131208.zip,nw,organisation
http://hansard.millbanksystems.com/people/mr-charles-towneley,organisation,individual
http://homepage.usask.ca/~jrp638/CourseNotes/weightsmeasures.html,individual,organisation
http://iba-world.com/cocktails/pina-colada/,organisation,organisation
http://iba-world.com/iba-official-cocktails/alexander/,organisation,organisation
http://iba-world.com/new-era-drinks/lemon-drop-martini/,organisation,organisation
http://id.loc.gov/authorities/names/no2015096737.html,organisation,organisation
http://identifiers.org/wikipathways/WP1423_r79812,collective,organisation
http://identifiers.org/wikipathways/WP2190_r74089,collective,organisation
http://identifiers.org/wikipathways/WP2289_r78511,collective,organisation
http://identifiers.org/wikipathways/WP2533_r85647,collective,organisation
http://identifiers.org/wikipathways/WP691_r85084,collective,organisation
http://identifiers.org/wikipathways/WP697_r85083,collective,organisation
http://iditarod.com/race/2016/mushers/1027-Miriam-Osredkar/,organisation,organisation
http://independentlibraries.co.uk/directory-langholm-to-portico/the-london-library,organisation,organisation
http://killiefc.com/en/jackie-mcinally_50957/,organisation,individual
http://lawandorder.wikia.com/wiki/Censure,collective,organisation
http://leonocusto.blog66.fc2.com/blog-entry-1470.html,ne,individual
http://library.la84.org/6oic/OfficialReports/2006/Results/AlpineSkiing.pdf#page=3,organisation,organisation
http://lists.claws-mail.org/pipermail/users/2016-August/017029.html,individual,organisation
http://lists.netfilter.org/pipermail/netfilter-announce/2015/000217.html,individual,organisation
http://lists.nongnu.org/archive/html/qemu-devel/2016-09/msg00273.html,individual,organisation
http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,organisation,individual
http://man.9front.org/4/tapefs,organisation,organisation
http://marvel.com/news/movies/8859/iron_man_2_wraps_on_schedule,individual,organisation
http://moma.org/collection/works/2851,organisation,organisation
http://movie-locations.com/movies/i/Incredible-Hulk.html,organisation,organisation
http://movieweb.com/movie/piglets-big-movie/,organisation,organisation
http://mpse.org/golden-reel-awards/past-awards/2012-awards/2012-golden-reel-awards-television/,nw,organisation
http://museedelaresistanceenligne.org/media1772-Michel-Bernstein,individual,individual
http://newspapers.library.wales/view/3614615/3614616/2/,organisation,individual
http://newspapers.library.wales/view/3764400/3764408/95/,organisation,organisation
http://olat.org/product/sources,organisation,organisation
http://oneprocycling.com/James-Oram/,organisation,individual
http://online.wsj.com/news/articles/SB10001424052748704869304574595973007231140,individual,individual
http://oxfordindex.oup.com/view/10.1093/benz/9780199773787.article.B00144121,organisation,organisation
http://phoronix.com/scan.php?page=news_item&px=GNU-Binutils-2.27,individual,organisation
http://planetarynames.wr.usgs.gov/Feature/2513,organisation,organisation
http://planetarynames.wr.usgs.gov/Feature/4662,organisation,organisation
http://runeberg.org/svriks24/0048.html,ne,individual
http://runeberg.org/vemarhon/0392.html,ne,organisation
http://s002.iannounce-cdn.co.uk/static/1454678984/images/72/65/44906572.pdf,ne,organisation
http://sites.asiasociety.org/conference01/html/bio_helleur.html,organisation,individual
http://specialcollections.le.ac.uk/cdm/compoundobject/collection/p16445coll4/id/218287/rec/5,organisation,organisation
http://speedskatingstats.com/index.php?file=skater&code=1906082802,organisation,organisation
http://splitsider.com/2010/08/welcome-to-splitsider/,individual,individual
http://sports.yahoo.com/tennis/players/5099,organisation,organisation
http://thebloxwichtelegraph.com/2011/11/13/remembering-harold-parry/,organisation,organisation
http://thedancingrest.com/2013/06/11/song-of-the-day-cloud-cult-no-one-said-it-would-be-easy/,organisation,individual
http://uk.soccerway.com/players/panagiotis-glykos/18871/,organisation,individual
http://users.bwr.eastlink.ca/~pjrj/johnjack/aqwg01.htm,individual,individual
http://users.bwr.eastlink.ca/~pjrj/johnjack/aqwn01.htm,organisation,individual
"http://viaf.org/viaf/222435122/#Barnard,_George,_1807-1890",organisation,individual
http://wbo.llgc.org.uk/en/s1-THOM-JOH-1838.html,individual,organisation
http://web.archive.org/web/20070928144606/http://www.grandcasinohelsinki.fi/grandcasinohelsinki/historia.php,organisation,organisation
http://web.archive.org/web/20120304025959/http://tele13.13.cl/noticias/nacional/23155.htm,organisation,organisation
http://web.archive.org/web/20141015125316/http://www.kartverket.no/Kunnskap/Fakta-om-Norge/Hoyeste-fjelltopp-i-kommunen/Tabell/,organisation,organisation
