user,kappa,agree_count,kappa_bin
22245763,0.08333333333333337,10,0–0.2
41189648,0.08093994778067892,6,0–0.2
38527054,-0.010204081632653184,13,<0
21353389,0.2921348314606742,11,0.2–0.4
30286087,0.18562874251496986,9,0–0.2
41166195,-0.050228310502282936,13,<0
29549959,0.189873417721519,16,0–0.2
36596402,0.2698412698412699,15,0.2–0.4
41630623,0.2913165266106442,12,0.2–0.4
36401048,0.36842105263157887,4,0.2–0.4
38012668,0.36842105263157887,4,0.2–0.4
39757852,0.06504065040650431,8,0–0.2
37004408,0.094650205761317,12,0–0.2
42404850,,2,
11003055,,2,
36126653,0.2596153846153847,10,0.2–0.4
34630521,,2,
41830537,0.1923076923076923,14,0–0.2
40289526,0.07836990595611282,7,0–0.2
42021855,0.16831683168316847,13,0–0.2
35023525,0.11392405063291133,9,0–0.2
32227852,0.054726368159204064,9,0–0.2
38588940,0.2072072072072073,14,0.2–0.4
15439343,0.011235955056179914,14,0–0.2
38482942,0.09897610921501698,10,0–0.2
36606873,0.11180124223602483,9,0–0.2
36019136,0.2041884816753926,11,0.2–0.4
39538622,0.33333333333333337,16,0.2–0.4
42355492,0.0,13,<0
40676540,0.0,5,<0
38354683,-0.05882352941176472,9,<0
38896482,-0.05263157894736836,11,<0
38812803,0.125506072874494,15,0–0.2
36725706,0.34883720930232553,17,0.2–0.4
41399716,0.0,0,<0
30128662,0.0,0,<0
38470591,0.12213740458015265,13,0–0.2
42274879,0.048872180451127845,12,0–0.2
42155896,0.017793594306049876,11,0–0.2
28012625,0.17808219178082185,14,0–0.2
40263699,0.05405405405405406,13,0–0.2
32692232,0.016393442622950838,11,0–0.2
41364530,0.031088082901554293,6,0–0.2
24920185,0.17105263157894735,11,0–0.2
38762820,0.0,11,<0
39347158,0.02336448598130847,8,0–0.2
34144126,0.28421052631578947,13,0.2–0.4
36621052,0.0,3,<0
38911211,0.04040404040404055,9,0–0.2
40335604,0.13875598086124397,11,0–0.2
39759039,0.03703703703703709,5,0–0.2
31001292,0.1937984496124031,18,0–0.2
38427455,0.1571906354515049,9,0–0.2
28375885,0.0,2,<0
35271549,-0.042959427207637235,4,<0
39499917,-0.042654028436019065,12,<0
42405769,0.10306406685236769,9,0–0.2
40004501,0.11538461538461542,6,0–0.2
32417589,0.3902439024390243,19,0.2–0.4
32655193,0.0,2,<0
34240529,0.5047169811320755,16,0.4–0.6
18526351,0.11764705882352955,8,0–0.2
26854674,0.0,2,<0
41866146,0.1968253968253969,12,0–0.2
32108646,0.2216216216216217,12,0.2–0.4
42543391,0.16587677725118477,14,0–0.2
41831526,0.0,2,<0
31983808,0.0,5,<0
42226985,0.0,2,<0
37636971,0.0,4,<0
38713068,0.0,3,<0
40074281,0.368421052631579,7,0.2–0.4
40279599,0.0,1,<0
41841779,0.0,0,<0
38273134,0.4155844155844156,13,0.4–0.6
36374994,0.0,0,<0
36257971,0.0,2,<0
40883816,0.11764705882352955,2,0–0.2
