ref_value,majority_label,label
http://addons.mozilla.org,vendor,non_trad_news
http://americanart.si.edu,cultural,trad_news
http://amturing.acm.org,no_profit,trad_news
http://archive.org,no_profit,trad_news
http://art.famsf.org,cultural,trad_news
http://backuppc.cvs.sourceforge.net,vendor,trad_news
http://bbfc.co.uk,cultural,nw
http://bbti.bodleian.ox.ac.uk,cultural,no_profit
http://blog.mathieui.net,yes,trad_news
http://blog.torproject.org,no,trad_news
http://blogs.windows.com,vendor,trad_news
http://books.google.co.uk,vendor,nw
http://chem.nlm.nih.gov,no,trad_news
http://chibi.ubc.ca,academia_uni,trad_news
http://collection.cooperhewitt.org,cultural,trad_news
http://collections.artsmia.org,cultural,trad_news
http://collections.britishart.yale.edu,cultural,trad_news
http://collections.lacma.org,cultural,no_profit
http://commons.wikimedia.org,cultural,no_profit
http://daccess-ods.un.org,yes,trad_news
http://data.ordnancesurvey.co.uk,cultural,trad_news
http://electronicintifada.net,trad_news,trad_news
http://en.mediamass.net,trad_news,trad_news
http://en.wikisource.org,no_profit,vendor
http://eprints.lancs.ac.uk,academia_uni,trad_news
http://espn.go.com,trad_news,trad_news
http://fdrmx.com,non_trad_news,trad_news
http://fedoraproject.org,no_profit,trad_news
http://feed.snapdo.com,vendor,ne
http://ffilms.org,no_profit,trad_news
http://fie.org,no_profit,trad_news
http://firstcycling.com,no,trad_news
http://flymotorsich.com,ne,trad_news
http://fmg.ac,cultural,ne
http://forum.mql4.com,no_profit,trad_news
http://fossilworks.org,academia_uni,trad_news
http://freemind.sourceforge.net,no_profit,trad_news
http://ftp.debian-ports.org,yes,trad_news
http://geonames.usgs.gov,yes,trad_news
http://git.gnome.org,no_profit,no_profit
http://git.kernel.org,no_profit,trad_news
http://github.com,no_profit,trad_news
http://groups.google.com,no_profit,trad_news
http://iba-world.com,nw,trad_news
http://id.loc.gov,cultural,yes
http://identifiers.org,academia_uni,trad_news
http://iditarod.com,cultural,trad_news
http://independentlibraries.co.uk,cultural,trad_news
http://instagram.com,nw,nw
http://itunes.apple.com,vendor,trad_news
http://killiefc.com,no_profit,trad_news
http://lawandorder.wikia.com,political,trad_news
http://library.la84.org,nw,no_profit
http://lists.alioth.debian.org,no,nw
http://lists.freebsd.org,no,trad_news
http://lists.gnu.org,no_profit,trad_news
http://lists.nongnu.org,no_profit,nw
http://lists.torproject.org,no_profit,trad_news
http://m.timesofindia.com,non_trad_news,trad_news
http://mail-archives.apache.org,no_profit,trad_news
http://man.9front.org,no,no_profit
http://marvel.com,trad_news,trad_news
http://movie-locations.com,no,trad_news
http://movieweb.com,trad_news,trad_news
http://mpse.org,cultural,trad_news
http://new.liveauctioneers.com,no,trad_news
http://olat.org,no,trad_news
http://oneprocycling.com,no_profit,trad_news
http://peerj.com,academia_pub,trad_news
http://phoronix.com,no,trad_news
http://planetarynames.wr.usgs.gov,academia_uni,trad_news
http://pubchem.ncbi.nlm.nih.gov,academia_pub,trad_news
http://puppet.com,no_profit,trad_news
http://ratings.fide.com,no,trad_news
http://runeberg.org,cultural,non_trad_news
http://sourceforge.net,no,trad_news
http://spamassassin.apache.org,no_profit,trad_news
http://speedskatingstats.com,no,non_trad_news
http://splitsider.com,non_trad_news,trad_news
http://sports.yahoo.com,non_trad_news,trad_news
http://support.google.com,no_profit,trad_news
http://thedancingrest.com,yes,trad_news
http://tools.ietf.org,no_profit,trad_news
http://uk.soccerway.com,no,trad_news
http://viaf.org,cultural,trad_news
http://vimeo.com,no_profit,trad_news
http://vk.com,nw,trad_news
http://vocab.getty.edu,no,trad_news
http://web.archive.org,no_profit,trad_news
http://whc.unesco.org,yes,trad_news
http://www.4shared.com,no,trad_news
http://www.aada.edu,academia_uni,academia_pub
http://www.allmusic.com,no,trad_news
http://www.arabianbusiness.com,non_trad_news,trad_news
http://www.archive.org,cultural,cultural
http://www.archlinux.org,vendor,trad_news
http://www.artistdirect.com,non_trad_news,nw
http://www.artsjournal.com,non_trad_news,trad_news
http://www.audacityteam.org,vendor,trad_news
http://www.bbc.co.uk,trad_news,trad_news
http://www.billgladstone.ca,yes,trad_news
http://www.bindingdb.org,academia_uni,yes
http://www.bizjournals.com,trad_news,trad_news
http://www.blackfilm.com,no_profit,trad_news
http://www.blakeschool.org,academia_uni,trad_news
http://www.blend4web.com,vendor,trad_news
http://www.boxofficemojo.com,no,trad_news
http://www.bristol.ac.uk,academia_uni,ne
http://www.britannica.com,cultural,non_trad_news
http://www.brooklynmuseum.org,cultural,trad_news
http://www.businessinsider.com,non_trad_news,trad_news
http://www.bvbinfo.com,no_profit,trad_news
http://www.canada.com,non_trad_news,trad_news
http://www.catholic-hierarchy.org,political,trad_news
http://www.cb300.com,no,trad_news
http://www.cdbaby.com,vendor,trad_news
http://www.census.gov,yes,trad_news
http://www.ciaaw.org,academia_uni,academia_pub
http://www.clsp.jhu.edu,academia_uni,trad_news
http://www.coolantarctica.com,yes,trad_news
http://www.crawltrack.net,vendor,non_trad_news
http://www.crunchbase.com,no,trad_news
http://www.cyclingnews.com,non_trad_news,trad_news
http://www.debian.org,no_profit,trad_news
http://www.dubaicityguide.com,no,trad_news
