user,kappa,agree_count,kappa_bin
42298345,0.3023255813953488,13,0.2–0.4
33163510,0.53125,12,0.4–0.6
41983503,0.39490445859872614,14,0.2–0.4
11746564,0.3548387096774194,14,0.2–0.4
42708352,0.5081967213114753,17,0.4–0.6
11376021,0.5,15,0.4–0.6
40652679,0.5227272727272727,18,0.4–0.6
40263699,0.15841584158415845,12,0–0.2
41141777,1.0,16,0.8–1.0
40893415,0.26315789473684215,17,0.2–0.4
41881477,-0.09917355371900838,12,<0
38687371,0.08653846153846156,14,0–0.2
40914155,0.18604651162790686,16,0–0.2
36624581,-0.1428571428571428,10,<0
39419117,-0.06382978723404253,15,<0
34307153,0.6491228070175439,19,0.6–0.8
41399716,-0.1428571428571428,10,<0
42160208,0.26086956521739135,13,0.2–0.4
39632557,0.4242424242424243,15,0.4–0.6
38514103,0.1428571428571429,14,0–0.2
33599386,0.4956140350877193,18,0.4–0.6
39499917,0.4444444444444444,13,0.4–0.6
42629269,0.4878048780487805,17,0.4–0.6
42084122,0.32773109243697474,16,0.2–0.4
41870409,0.2148760330578512,14,0.2–0.4
25388841,0.31088082901554415,12,0.2–0.4
40844959,0.41666666666666674,17,0.4–0.6
41571503,0.36363636363636365,18,0.2–0.4
13180246,0.29104477611940294,14,0.2–0.4
42354707,-0.06451612903225801,19,<0
40861787,0.5555555555555556,18,0.4–0.6
34856865,0.0,14,<0
42661633,-0.06779661016949157,18,<0
31933957,0.7741935483870968,20,0.6–0.8
42156004,0.06779661016949146,17,0–0.2
41834005,0.44736842105263164,19,0.4–0.6
39965755,0.0,19,<0
25411600,-0.05263157894736836,18,<0
38427455,0.0,19,<0
23197558,0.6428571428571428,19,0.6–0.8
20039972,0.0,16,<0
42540709,0.0,14,<0
39920459,0.0,12,<0
36603824,0.6363636363636364,11,0.6–0.8
37589406,0.0,16,<0
14826952,-0.08108108108108092,16,<0
42421443,-0.1515151515151516,13,<0
38922919,-0.15384615384615374,14,<0
11003055,-0.036363636363636376,16,<0
39757852,0.0,8,<0
41142695,-0.034482758620689724,13,<0
42155896,-0.0625,14,<0
12999735,0.11764705882352933,10,0–0.2
33868190,-0.17647058823529416,13,<0
35169212,-0.1428571428571428,11,<0
40842537,0.5359116022099447,17,0.4–0.6
37444582,0.43103448275862066,16,0.4–0.6
42404850,0.35922330097087385,19,0.2–0.4
40957436,0.0,19,<0
41451114,0.0,18,<0
26079868,0.0,14,<0
23228736,0.3493975903614457,15,0.2–0.4
