ref_value,majority_label,label
http://americanart.si.edu/collections/search/artwork/?id=11098,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=11416,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=11819,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=14493,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=20476,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=21513,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=22834,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25639,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25825,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=25858,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26050,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26233,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26314,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26486,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=26587,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=27676,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=27878,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=28340,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=31889,organisation,organisation
http://americanart.si.edu/collections/search/artwork/?id=33467,organisation,organisation
http://amturing.acm.org/award_winners/mccarthy_0239596.cfm,individual,individual
http://backuppc.cvs.sourceforge.net/viewvc/backuppc/BackupPC/LICENSE?revision=1.1&view=markup,organisation,organisation
http://bbti.bodleian.ox.ac.uk/details/?traderid=46872,organisation,organisation
http://bse.sci-lib.com/article001911.html,ne,individual
http://collections.britishart.yale.edu/vufind/Record/1665327,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/1668391,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/3794722,organisation,organisation
http://collections.britishart.yale.edu/vufind/Record/3866211,organisation,organisation
http://collections.lacma.org/node/172826,organisation,individual
http://collections.lacma.org/node/173830,organisation,organisation
http://collections.lacma.org/node/188668,organisation,individual
http://collections.lacma.org/node/193799,organisation,organisation
http://collections.lacma.org/node/201897,organisation,organisation
http://collections.lacma.org/node/206814,organisation,organisation
http://collections.lacma.org/node/2092281,organisation,organisation
http://collections.lacma.org/node/2114212,organisation,individual
http://collections.lacma.org/node/212182,organisation,organisation
http://collections.lacma.org/node/219645,organisation,organisation
http://collections.lacma.org/node/243436,organisation,organisation
http://collections.lacma.org/node/250927,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/34/37&Lang=E,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54(I)&Lang=E,organisation,organisation
http://daccess-ods.un.org/access.nsf/Get?Open&DS=A/RES/54/4&Lang=E,organisation,organisation
http://data.ordnancesurvey.co.uk/doc/7000000000025498,organisation,organisation
http://dirigeant.societe.com/dirigeant/Olivier.RADOT.64009682.html,individual,individual
http://download.oldium.net/karel/karel-2.0.5.tar.gz,nw,organisation
http://ekladata.com/rl2BN3HcBBXXT7U3ZV_W6foev0Y/BIOGRAPHIE.pdf,ne,organisation
http://electronicintifada.net/v2/article10485.shtml,individual,organisation
http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,individual,organisation
http://eprints.lancs.ac.uk/80161/1/MBMJ_Author_Copy.pdf,collective,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Brenninkmeijer_family,nw,organisation
http://feed.snapdo.com/?publisher=Minutes&dpid=network2&q=Nikolay_Khomyakov,nw,organisation
http://ffilms.org/atm-2012/,organisation,organisation
http://fie.org/fencers/Mona-SHAITO-22165/biography,organisation,organisation
http://firstcycling.com/rider.php?r=1642,organisation,individual
http://firstcycling.com/rider.php?r=21250,organisation,individual
http://firstcycling.com/rider.php?r=21253,organisation,individual
http://firstcycling.com/rider.php?r=24650,organisation,individual
http://firstcycling.com/rider.php?r=26948.,collective,individual
http://firstcycling.com/team.php?l=2890,organisation,organisation
http://firstcycling.com/team.php?l=3361,organisation,organisation
http://firstcycling.com/team.php?l=3432,organisation,organisation
http://firstcycling.com/team.php?l=3452,organisation,organisation
http://flickfacts.com/actor/xavier-samuel,nw,individual
http://flymotorsich.com/en/pages/fleet,organisation,organisation
http://fmg.ac/Projects/MedLands/AQUITAINE.htm#AdelindaMAcfredoICarcassonne,individual,organisation
http://fmg.ac/Projects/MedLands/BURGUNDY%20Kingdom.htm,organisation,organisation
http://fmg.ac/Projects/MedLands/FRANKSMaiordomi.htm,organisation,organisation
http://fmg.ac/Projects/MedLands/GASCONY.htm,individual,organisation
http://fossilworks.org/bridge.pl?a=taxonInfo&taxon_no=214077,collective,organisation
http://freemind.sourceforge.net/wiki/index.php/Licensing,collective,organisation
http://iba-world.com/cocktails/pina-colada/,organisation,organisation
http://iba-world.com/iba-official-cocktails/alexander/,organisation,organisation
http://iba-world.com/new-era-drinks/lemon-drop-martini/,organisation,organisation
http://id.loc.gov/authorities/names/no2015096737.html,organisation,individual
http://iditarod.com/race/2016/mushers/1027-Miriam-Osredkar/,organisation,individual
http://lawandorder.wikia.com/wiki/Censure,collective,organisation
http://leonocusto.blog66.fc2.com/blog-entry-1470.html,ne,individual
http://library.la84.org/6oic/OfficialReports/2006/Results/AlpineSkiing.pdf#page=3,organisation,organisation
http://lists.claws-mail.org/pipermail/users/2016-August/017029.html,individual,organisation
http://lists.nongnu.org/archive/html/qemu-devel/2016-09/msg00273.html,individual,organisation
http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,organisation,organisation
http://man.9front.org/4/tapefs,organisation,organisation
http://museedelaresistanceenligne.org/media1772-Michel-Bernstein,individual,individual
http://phoronix.com/scan.php?page=news_item&px=GNU-Binutils-2.27,individual,organisation
http://planetarynames.wr.usgs.gov/Feature/2513,organisation,organisation
http://planetarynames.wr.usgs.gov/Feature/4662,organisation,organisation
http://runeberg.org/svriks24/0048.html,ne,organisation
http://runeberg.org/vemarhon/0392.html,ne,organisation
http://s002.iannounce-cdn.co.uk/static/1454678984/images/72/65/44906572.pdf,ne,organisation
http://specialcollections.le.ac.uk/cdm/compoundobject/collection/p16445coll4/id/218287/rec/5,organisation,organisation
http://speedskatingstats.com/index.php?file=skater&code=1906082802,organisation,individual
http://sports.yahoo.com/tennis/players/5099,organisation,organisation
http://uk.soccerway.com/players/panagiotis-glykos/18871/,organisation,individual
"http://viaf.org/viaf/222435122/#Barnard,_George,_1807-1890",organisation,individual
http://wbo.llgc.org.uk/en/s1-THOM-JOH-1838.html,individual,individual
http://web.archive.org/web/20070928144606/http://www.grandcasinohelsinki.fi/grandcasinohelsinki/historia.php,organisation,organisation
http://web.archive.org/web/20120304025959/http://tele13.13.cl/noticias/nacional/23155.htm,organisation,ne
http://web.archive.org/web/20141015125316/http://www.kartverket.no/Kunnskap/Fakta-om-Norge/Hoyeste-fjelltopp-i-kommunen/Tabell/,organisation,organisation
http://web.archive.org/web/20160303181909/https://www.riigiteataja.ee/akt/12914350,ne,organisation
http://welt-der-form.net/Max_Bill/bill-1953-unendliche_schleife-1.html,ne,individual
http://whc.unesco.org/en/list/1025,organisation,organisation
http://whc.unesco.org/en/list/1215,organisation,organisation
http://whc.unesco.org/en/list/1229,organisation,organisation
http://whc.unesco.org/en/list/124,organisation,organisation
http://whc.unesco.org/en/list/232,organisation,organisation
http://whc.unesco.org/en/list/260,organisation,organisation
http://whc.unesco.org/en/list/274,organisation,organisation
http://whc.unesco.org/en/list/403,organisation,organisation
http://whc.unesco.org/en/list/984,organisation,organisation
http://www.allmusic.com/album/biorytmy-mw0001685300,organisation,organisation
http://www.allmusic.com/artist/shadowfax-mn0000155608,individual,organisation
http://www.archive.org/stream/prosopographiaa00kircgoog#page/n19/mode/2up,ne,individual
