ref_value,majority_label,label
http://addons.mozilla.org,company,company
http://americanart.si.edu,company,company
http://archive.org,company,company
http://art.famsf.org,company,company
http://backuppc.cvs.sourceforge.net,company,company
http://bbti.bodleian.ox.ac.uk,company,company
http://blog.mathieui.net,sp_source,company
http://blog.torproject.org,company,company
http://blogs.windows.com,company,company
http://books.google.co.uk,company,company
http://bse.sci-lib.com,ne,company
http://chem.nlm.nih.gov,academia,govt
http://collection.cooperhewitt.org,company,company
http://collections.artsmia.org,company,company
http://collections.britishart.yale.edu,company,company
http://collections.lacma.org,company,company
http://commons.wikimedia.org,company,company
http://daccess-ods.un.org,govt,govt
http://dirigeant.societe.com,ne,company
http://download.gnome.org,other,other
http://electronicintifada.net,news,sp_source
http://en.mediamass.net,news,company
http://en.wikisource.org,company,company
http://eprints.lancs.ac.uk,academia,academia
http://fdrmx.com,news,company
http://fedoraproject.org,company,company
http://feed.snapdo.com,company,company
http://ffilms.org,company,nw
http://fie.org,company,company
http://firstcycling.com,company,company
http://flickfacts.com,nw,nw
http://flymotorsich.com,company,company
http://fmg.ac,company,company
http://forums.comodo.com,company,company
http://freemind.sourceforge.net,company,company
http://ftp.debian-ports.org,other,company
http://geonames.usgs.gov,govt,govt
http://github.com,company,company
http://groups.google.com,company,company
http://iba-world.com,company,company
http://id.loc.gov,company,govt
http://identifiers.org,academia,company
http://independentlibraries.co.uk,company,company
http://instagram.com,company,company
http://itunes.apple.com,company,company
http://killiefc.com,company,company
http://lawandorder.wikia.com,company,company
http://leonocusto.blog66.fc2.com,ne,sp_source
http://library.la84.org,company,other
http://library.leeds.ac.uk,academia,academia
http://lists.alioth.debian.org,company,company
http://lists.claws-mail.org,company,sp_source
http://lists.freebsd.org,company,govt
http://lists.nongnu.org,company,sp_source
http://lists.torproject.org,company,other
http://m.timesofindia.com,news,news
http://mail-archives.apache.org,company,company
http://movie-locations.com,company,company
http://movieweb.com,news,company
http://mpse.org,academia,company
http://museedelaresistanceenligne.org,ne,sp_source
http://nablus.org,ne,govt
http://new.liveauctioneers.com,company,company
http://olat.org,academia,company
http://phoronix.com,company,news
http://planetarynames.wr.usgs.gov,academia,govt
http://pubchem.ncbi.nlm.nih.gov,academia,company
http://puppet.com,company,company
http://ratings.fide.com,company,company
http://runeberg.org,company,company
http://sourceforge.net,company,company
http://spamassassin.apache.org,company,company
http://specialcollections.le.ac.uk,academia,company
http://speedskatingstats.com,company,company
http://splitsider.com,news,company
http://sports.yahoo.com,news,company
http://support.google.com,company,company
http://tools.ietf.org,company,company
http://uk.soccerway.com,company,company
http://viaf.org,company,company
http://vimeo.com,company,company
http://vocab.getty.edu,academia,other
http://wbo.llgc.org.uk,company,govt
http://web.archive.org,company,govt
http://welt-der-form.net,ne,company
http://whc.unesco.org,govt,company
http://www.4shared.com,company,company
http://www.aada.edu,academia,company
http://www.allmusic.com,company,company
http://www.arabianbusiness.com,news,company
http://www.archive.org,company,company
http://www.archlinux.org,company,company
http://www.artistdirect.com,news,company
http://www.artsjournal.com,news,company
http://www.audacityteam.org,company,company
http://www.bbc.co.uk,news,company
http://www.billgladstone.ca,sp_source,company
http://www.bindingdb.org,academia,company
http://www.bizjournals.com,news,other
http://www.blackfilm.com,company,company
http://www.blakeschool.org,academia,company
http://www.blend4web.com,company,company
http://www.boxofficemojo.com,company,company
http://www.bristol.ac.uk,academia,academia
http://www.britannica.com,company,company
http://www.brooklynmuseum.org,company,company
http://www.bvbinfo.com,company,company
http://www.canada.com,news,company
http://www.catholic-hierarchy.org,company,company
http://www.cb300.com,company,company
http://www.cdbaby.com,company,company
http://www.census.gov,govt,govt
http://www.ciaaw.org,academia,academia
http://www.clsp.jhu.edu,academia,company
http://www.coolantarctica.com,sp_source,company
http://www.crawltrack.net,company,company
http://www.crunchbase.com,company,company
http://www.dbnl.org,company,company
http://www.debian.org,company,company
http://www.demotix.com,nw,company
http://www.dubaicityguide.com,news,company
http://www.e-yearbook.com,company,company
http://www.edanhughes.com,sp_source,company
http://www.entente-ee.com,company,company
http://www.esrb.org,company,company
http://www.eurodressage.com,news,company
http://www.eurohandball.com,company,company
http://www.europarl.europa.eu,govt,govt
http://www.filmovizija.com,company,company
http://www.filmreference.com,company,company
http://www.fromages-aop.com,company,company
http://www.fundacionbancosantander.com,company,company
http://www.futhead.com,company,company
http://www.gc-cup.com,company,company
http://www.geni.com,company,company
http://www.genome.gov,govt,govt
