user,kappa,agree_count,kappa_bin
29415754,0.18518518518518523,3,0–0.2
41189648,0.3157894736842106,5,0.2–0.4
36268643,0.11728395061728414,2,0–0.2
28375885,0.17647058823529416,3,0–0.2
39006856,0.13978494623655924,2,0–0.2
32108646,0.11111111111111105,2,0–0.2
41866146,0.2024539877300614,3,0.2–0.4
11003055,0.19665271966527198,4,0–0.2
35271549,0.20331950207468885,4,0.2–0.4
41166195,0.2098765432098766,4,0.2–0.4
33973110,0.2134831460674157,4,0.2–0.4
36946810,0.16000000000000003,2,0–0.2
25879918,0.09677419354838712,1,0–0.2
40215755,0.31034482758620685,6,0.2–0.4
42155896,0.23913043478260865,4,0.2–0.4
37589406,0.1020408163265305,3,0–0.2
42414846,0.18316831683168322,4,0–0.2
25411600,0.19540229885057459,4,0–0.2
35077385,0.03703703703703709,1,0–0.2
42023252,0.27884615384615385,5,0.2–0.4
40297287,0.08045977011494243,2,0–0.2
15439343,0.17105263157894735,2,0–0.2
39073124,0.13157894736842102,2,0–0.2
32073845,0.10958904109589052,2,0–0.2
36113457,0.05035971223021585,1,0–0.2
39920459,0.08917197452229297,2,0–0.2
35377304,0.10062893081761004,2,0–0.2
37869484,0.08450704225352113,2,0–0.2
40245758,0.12,3,0–0.2
42402413,0.2674418604651162,5,0.2–0.4
35644614,0.10550458715596334,2,0–0.2
34550698,0.06493506493506496,1,0–0.2
42472203,0.051724137931034475,1,0–0.2
35597807,0.22699386503067487,5,0.2–0.4
32417589,0.35096153846153844,6,0.2–0.4
33805118,0.34782608695652173,2,0.2–0.4
25864227,0.1295336787564767,2,0–0.2
40338958,0.22169811320754718,4,0.2–0.4
41142695,0.1340206185567011,2,0–0.2
33731955,0.25373134328358216,5,0.2–0.4
42472271,0.1346153846153847,3,0–0.2
42471779,0.4736842105263158,3,0.4–0.6
34098122,0.25,4,0.2–0.4
36922135,0.17647058823529416,3,0–0.2
31001292,0.04761904761904767,1,0–0.2
39554633,0.1823899371069182,3,0–0.2
39538622,0.27819548872180444,4,0.2–0.4
41110198,0.1875,3,0–0.2
34630521,0.02499999999999991,1,0–0.2
39616594,0.19999999999999996,1,0–0.2
27985936,0.09302325581395354,2,0–0.2
42405769,0.13875598086124408,3,0–0.2
40640600,0.20289855072463758,4,0.2–0.4
38164483,0.41666666666666663,7,0.4–0.6
34391904,0.05485232067510548,2,0–0.2
34417954,0.2592592592592593,3,0.2–0.4
38511900,0.11330049261083752,3,0–0.2
42472222,0.13043478260869557,2,0–0.2
11021010,0.06593406593406592,2,0–0.2
39332461,0.1444444444444445,3,0–0.2
41652222,0.1808510638297871,3,0–0.2
35673676,0.0,0,<0
40323250,0.1724137931034483,4,0–0.2
35597778,0.08018867924528295,2,0–0.2
33732609,0.042105263157894646,1,0–0.2
35679318,0.14691943127962082,3,0–0.2
38040317,0.18796992481203,3,0–0.2
35597774,0.18796992481203,3,0–0.2
33573033,0.0625,2,0–0.2
36531316,0.17431192660550465,3,0–0.2
40640602,0.10062893081761015,2,0–0.2
32717039,0.06535947712418311,2,0–0.2
38040405,-0.03846153846153855,0,<0
35597784,0.10160427807486638,2,0–0.2
35077324,0.14285714285714268,1,0–0.2
36621052,0.07438016528925617,2,0–0.2
30055681,0.16756756756756752,3,0–0.2
38427455,0.20454545454545436,4,0.2–0.4
32777849,0.11764705882352933,1,0–0.2
29971516,0.029850746268656914,2,0–0.2
21353389,0.17647058823529405,4,0–0.2
36820845,0.09090909090909094,1,0–0.2
42372714,0.22651933701657456,4,0.2–0.4
40950428,0.08196721311475408,1,0–0.2
38012668,0.0,1,<0
42565441,0.04026845637583876,2,0–0.2
11051473,0.3846153846153846,2,0.2–0.4
33827939,0.26027397260273966,3,0.2–0.4
36596402,0.21787709497206698,4,0.2–0.4
42259233,0.1444444444444445,3,0–0.2
38040154,0.14473684210526327,3,0–0.2
35077410,0.12269938650306744,2,0–0.2
15925358,0.13043478260869557,1,0–0.2
33803814,0.15999999999999992,2,0–0.2
42471886,0.33333333333333337,2,0.2–0.4
35597775,-0.06666666666666665,0,<0
42530712,0.0,0,<0
6355877,0.14473684210526327,3,0–0.2
37660122,0.2857142857142857,2,0.2–0.4
41983503,0.21568627450980393,3,0.2–0.4
32774592,0.2799999999999999,5,0.2–0.4
39731476,0.0625,1,0–0.2
42471936,0.09774436090225558,2,0–0.2
34436396,-0.04166666666666674,0,<0
40640510,0.1428571428571429,1,0–0.2
35597733,0.0,0,<0
32655193,-0.06666666666666665,0,<0
36606873,0.1875000000000001,3,0–0.2
38425753,0.06666666666666665,1,0–0.2
39201925,1.1102230246251565e-16,0,0–0.2
42472244,0.0,0,<0
42024632,0.25,1,0.2–0.4
39140287,-2.220446049250313e-16,0,<0
35597791,0.0,0,<0
37693831,0.0,0,<0
