user,kappa,agree_count,kappa_bin
42298345,0.15492957746478875,11,0–0.2
33163510,0.30434782608695654,10,0.2–0.4
41983503,0.31088082901554415,12,0.2–0.4
11746564,0.6551724137931034,16,0.6–0.8
42708352,0.5403225806451613,16,0.4–0.6
11376021,0.3918918918918919,13,0.2–0.4
40652679,0.611111111111111,18,0.6–0.8
40263699,0.423076923076923,13,0.4–0.6
41141777,0.43333333333333335,14,0.4–0.6
40893415,0.4782608695652174,17,0.4–0.6
41881477,0.20359281437125742,12,0.2–0.4
38687371,0.40993788819875776,14,0.4–0.6
40914155,0.34080717488789225,14,0.2–0.4
36624581,0.06896551724137945,9,0–0.2
39419117,0.03614457831325313,12,0–0.2
34307153,0.7802197802197802,19,0.6–0.8
41399716,0.3532934131736527,12,0.2–0.4
42160208,0.38983050847457634,12,0.2–0.4
39632557,0.3448275862068966,13,0.2–0.4
38514103,0.36283185840707965,14,0.2–0.4
33599386,0.43673469387755104,17,0.4–0.6
39499917,0.3152173913043478,11,0.2–0.4
42629269,0.36363636363636354,15,0.2–0.4
42084122,0.36708860759493667,15,0.2–0.4
41870409,0.125,12,0–0.2
25388841,0.12552301255230125,8,0–0.2
40844959,0.3421052631578947,15,0.2–0.4
41571503,0.34782608695652173,16,0.2–0.4
13180246,0.35593220338983034,13,0.2–0.4
42354707,0.4358974358974358,18,0.4–0.6
40861787,0.4655870445344129,16,0.4–0.6
34856865,0.39490445859872614,14,0.2–0.4
42661633,0.5578947368421052,19,0.4–0.6
31933957,0.4285714285714286,17,0.4–0.6
42156004,0.23696682464454988,16,0.2–0.4
41834005,0.21052631578947367,16,0.2–0.4
39965755,0.6491228070175439,19,0.6–0.8
25411600,0.34782608695652173,17,0.2–0.4
38427455,0.5741935483870968,19,0.4–0.6
23197558,0.4666666666666667,18,0.4–0.6
20039972,0.22077922077922074,14,0.2–0.4
42540709,0.0,11,<0
39920459,0.7586206896551724,13,0.6–0.8
36603824,0.323943661971831,8,0.2–0.4
37589406,0.16049382716049376,13,0–0.2
14826952,0.08396946564885477,14,0–0.2
42421443,0.16666666666666663,14,0–0.2
38922919,0.18918918918918914,14,0–0.2
11003055,0.04201680672268904,13,0–0.2
39757852,-0.125,5,<0
41142695,-0.0847457627118644,12,<0
42155896,0.07608695652173914,12,0–0.2
12999735,0.15999999999999992,8,0–0.2
33868190,-0.11111111111111116,10,<0
35169212,-0.10769230769230775,7,<0
