ref_value,majority_label,label
http://addons.mozilla.org,company,company
http://americanart.si.edu,company,govt
http://archive.org,company,other
http://art.famsf.org,company,company
http://backuppc.cvs.sourceforge.net,company,company
http://bbti.bodleian.ox.ac.uk,company,academia
http://blog.mathieui.net,sp_source,other
http://blog.torproject.org,company,sp_source
http://blogs.windows.com,company,company
http://books.google.co.uk,company,company
http://bse.sci-lib.com,ne,academia
http://chem.nlm.nih.gov,academia,govt
http://collection.cooperhewitt.org,company,academia
http://collections.artsmia.org,company,company
http://collections.britishart.yale.edu,company,academia
http://collections.lacma.org,company,academia
http://commons.wikimedia.org,company,other
http://daccess-ods.un.org,govt,govt
http://dirigeant.societe.com,ne,company
http://download.gnome.org,other,company
http://electronicintifada.net,news,sp_source
http://en.mediamass.net,news,news
http://en.wikisource.org,company,academia
http://eprints.lancs.ac.uk,academia,academia
http://fdrmx.com,news,company
http://fedoraproject.org,company,company
http://feed.snapdo.com,company,company
http://ffilms.org,company,other
http://fie.org,company,company
http://firstcycling.com,company,company
http://flickfacts.com,nw,other
http://flymotorsich.com,company,company
http://fmg.ac,company,academia
http://forums.comodo.com,company,company
http://freemind.sourceforge.net,company,company
http://ftp.debian-ports.org,other,other
http://geonames.usgs.gov,govt,govt
http://github.com,company,company
http://groups.google.com,company,company
http://iba-world.com,company,company
http://id.loc.gov,company,govt
http://identifiers.org,academia,other
http://independentlibraries.co.uk,company,sp_source
http://instagram.com,company,company
http://itunes.apple.com,company,company
http://killiefc.com,company,company
http://lawandorder.wikia.com,company,company
http://leonocusto.blog66.fc2.com,ne,other
http://library.la84.org,company,academia
http://library.leeds.ac.uk,academia,academia
http://lists.alioth.debian.org,company,other
http://lists.claws-mail.org,company,other
http://lists.freebsd.org,company,other
http://lists.nongnu.org,company,sp_source
http://lists.torproject.org,company,sp_source
http://m.timesofindia.com,news,news
http://mail-archives.apache.org,company,company
http://movie-locations.com,company,company
http://movieweb.com,news,company
http://mpse.org,academia,sp_source
http://museedelaresistanceenligne.org,ne,sp_source
http://nablus.org,ne,govt
http://new.liveauctioneers.com,company,company
http://olat.org,academia,academia
http://phoronix.com,company,news
http://planetarynames.wr.usgs.gov,academia,govt
http://pubchem.ncbi.nlm.nih.gov,academia,academia
http://puppet.com,company,company
http://ratings.fide.com,company,company
http://runeberg.org,company,academia
http://sourceforge.net,company,company
http://spamassassin.apache.org,company,company
http://specialcollections.le.ac.uk,academia,academia
http://speedskatingstats.com,company,company
http://splitsider.com,news,news
http://sports.yahoo.com,news,company
http://support.google.com,company,company
http://thedancingrest.com,sp_source,company
http://tools.ietf.org,company,company
http://uk.soccerway.com,company,company
http://viaf.org,company,academia
http://vimeo.com,company,company
http://vocab.getty.edu,academia,academia
http://wbo.llgc.org.uk,company,academia
http://web.archive.org,company,other
http://welt-der-form.net,ne,academia
http://whc.unesco.org,govt,govt
http://www.4shared.com,company,company
http://www.aada.edu,academia,academia
http://www.allmusic.com,company,company
http://www.arabianbusiness.com,news,company
http://www.archive.org,company,other
http://www.archlinux.org,company,company
http://www.artistdirect.com,news,company
http://www.artsjournal.com,news,news
http://www.audacityteam.org,company,company
http://www.bbc.co.uk,news,news
http://www.billgladstone.ca,sp_source,company
http://www.bindingdb.org,academia,academia
http://www.bizjournals.com,news,company
http://www.blackfilm.com,company,news
http://www.blakeschool.org,academia,company
http://www.blend4web.com,company,company
http://www.boxofficemojo.com,company,company
http://www.bristol.ac.uk,academia,academia
http://www.britannica.com,company,company
http://www.brooklynmuseum.org,company,company
http://www.bvbinfo.com,company,company
http://www.canada.com,news,company
http://www.catholic-hierarchy.org,company,academia
http://www.cb300.com,company,company
http://www.cdbaby.com,company,company
http://www.census.gov,govt,govt
http://www.ciaaw.org,academia,academia
http://www.clsp.jhu.edu,academia,academia
http://www.coolantarctica.com,sp_source,company
http://www.crawltrack.net,company,company
http://www.crunchbase.com,company,company
http://www.dbnl.org,company,academia
http://www.debian.org,company,company
http://www.demotix.com,nw,company
http://www.dubaicityguide.com,news,company
http://www.e-yearbook.com,company,company
http://www.edanhughes.com,sp_source,company
http://www.entente-ee.com,company,company
http://www.esrb.org,company,company
http://www.eurodressage.com,news,news
http://www.eurohandball.com,company,company
http://www.europarl.europa.eu,govt,govt
http://www.filmovizija.com,company,company
http://www.filmreference.com,company,academia
http://www.fromages-aop.com,company,company
http://www.fundacionbancosantander.com,company,company
http://www.futhead.com,company,company
http://www.gc-cup.com,company,company
http://www.geni.com,company,company
http://www.genome.gov,govt,govt
http://www.geopostcodes.com,company,company
http://www.getty.edu,company,academia
http://www.gmv.com,company,company
http://www.gracesguide.co.uk,company,history
http://www.guggenheim.org,company,company
http://www.hardcoregamer.com,company,company
http://www.henry-moore.org,company,company
http://www.hewlett.org,company,sp_source
http://www.huffingtonpost.com,news,news
http://www.independent.co.uk,news,news
http://www.instagram.com,company,company
http://www.issf-sports.org,company,other
http://www.ittf.com,company,company
http://www.itu.int,govt,govt
http://www.johnkcastle.com,sp_source,company
http://www.jrrio.com,sp_source,company
http://www.judoinside.com,news,news
http://www.kde.org,company,company
http://www.khronos.org,company,company
http://www.laquadrature.net,company,sp_source
http://www.leparcorama.com,sp_source,company
http://www.leshommessansepaules.com,ne,academia
http://www.liferay.com,company,company
http://www.livius.org,sp_source,academia
http://www.lulu.com,company,company
http://www.lynnnews.co.uk,news,news
http://www.mba.ac.uk,academia,academia
http://www.metalstorm.net,news,news
http://www.metmuseum.org,company,company
http://www.microsofttranslator.com,company,company
http://www.mozilla.org,company,company
http://www.nationalgallery.org.uk,company,company
http://www.nationaltrustcollections.org.uk,company,company
http://www.ncbi.nlm.nih.gov,academia,govt
http://www.newyorker.com,news,news
http://www.nfl.com,company,company
http://www.nga.gov,company,govt
http://www.nndb.com,company,other
http://www.nndc.bnl.gov,academia,academia
http://www.nytimes.com,news,news
http://www.openvas.org,company,company
http://www.pafa.org,academia,academia
http://www.parlement.com,ne,govt
http://www.pastscape.org.uk,company,govt
http://www.phillipscollection.org,company,company
http://www.planetehockey.com,ne,news
http://www.poetsgraves.co.uk,company,academia
http://www.procyclingstats.com,company,company
http://www.profilecanada.com,company,company
http://www.progarchives.com,company,other
http://www.rada.ac.uk,academia,academia
http://www.redmine.org,company,company
http://www.redorbit.com,news,company
http://www.rhapsody.com,company,company
http://www.rio2016.com,company,company
http://www.salvador-dali.org,company,company
http://www.salzburg.com,ne,news
http://www.scottisharchitects.org.uk,company,academia
http://www.sothebys.com,company,company
http://www.sports-reference.com,company,company
http://www.sufyanismail.com,sp_source,other
http://www.telegraph.co.uk,news,news
http://www.thegazette.co.uk,company,govt
http://www.thestar.com,news,news
http://www.thetalentmanager.co.uk,company,company
http://www.thetelegraphandargus.co.uk,news,news
http://www.thnk.org,company,company
http://www.transsiberianexpress.net,company,company
http://www.unesco.org,govt,govt
http://www.valpo.edu,academia,academia
http://www.vanitatis.elconfidencial.com,ne,news
http://www.viaf.org,company,academia
http://www.virtualbox.org,company,company
http://www.washingtonpost.com,news,news
http://www.webcitation.org,company,company
http://www.who.int,govt,govt
http://www.wireshark.org,company,company
http://www.xkcd.com,company,company
http://yba.llgc.org.uk,company,academia
http://yum.baseurl.org,company,company
http://zenekucko.ucoz.com,ne,other
