user,kappa,agree_count,kappa_bin
29415754,0.303867403314917,5,0.2–0.4
41189648,0.45833333333333337,7,0.4–0.6
36268643,0.14473684210526327,3,0–0.2
28375885,0.29999999999999993,5,0.2–0.4
39006856,0.33333333333333337,4,0.2–0.4
32108646,0.3372781065088757,6,0.2–0.4
41866146,0.3851351351351352,6,0.2–0.4
11003055,0.2592592592592593,6,0.2–0.4
35271549,0.47663551401869164,9,0.4–0.6
41166195,0.2951541850220264,6,0.2–0.4
33973110,0.22651933701657445,4,0.2–0.4
36946810,0.13978494623655924,2,0–0.2
25879918,0.11111111111111116,2,0–0.2
40215755,0.3073593073593074,6,0.2–0.4
42155896,0.36363636363636354,6,0.2–0.4
37589406,0.29357798165137605,4,0.2–0.4
42414846,0.47976878612716756,9,0.4–0.6
25411600,0.2222222222222221,5,0.2–0.4
35077385,0.07692307692307687,2,0–0.2
42023252,0.14507772020725396,4,0–0.2
40297287,0.16666666666666674,3,0–0.2
15439343,0.4385964912280702,4,0.4–0.6
39073124,0.20618556701030932,4,0.2–0.4
32073845,0.08018867924528295,2,0–0.2
36113457,0.18181818181818177,3,0–0.2
39920459,0.4335260115606936,7,0.4–0.6
35377304,0.36723163841807904,6,0.2–0.4
37869484,0.2682926829268293,5,0.2–0.4
40245758,0.28409090909090906,5,0.2–0.4
42402413,0.308641975308642,6,0.2–0.4
35644614,0.22169811320754718,4,0.2–0.4
34550698,0.3406593406593408,4,0.2–0.4
42472203,0.022222222222222254,1,0–0.2
35597807,0.1515151515151515,4,0–0.2
32417589,0.37117903930131,7,0.2–0.4
33805118,0.31818181818181823,2,0.2–0.4
25864227,0.18947368421052635,3,0–0.2
40338958,0.2894736842105263,6,0.2–0.4
41142695,0.24550898203592808,5,0.2–0.4
33731955,0.2582417582417582,6,0.2–0.4
42472271,0.06249999999999989,2,0–0.2
42471779,0.13043478260869557,1,0–0.2
34098122,0.14893617021276595,2,0–0.2
36922135,0.042553191489361764,1,0–0.2
31001292,-0.05882352941176472,0,<0
39554633,0.25,4,0.2–0.4
39538622,0.49612403100775193,8,0.4–0.6
41110198,0.5323741007194245,8,0.4–0.6
34630521,0.11111111111111116,2,0–0.2
39616594,0.07692307692307687,1,0–0.2
27985936,0.009433962264150941,1,0–0.2
42405769,0.3717277486910995,7,0.2–0.4
40640600,0.2857142857142856,6,0.2–0.4
38164483,0.2716763005780346,5,0.2–0.4
34391904,0.08571428571428574,2,0–0.2
34417954,0.30434782608695654,4,0.2–0.4
38511900,0.09677419354838712,2,0–0.2
42472222,0.11111111111111116,2,0–0.2
11021010,0.11851851851851858,3,0–0.2
39332461,0.33333333333333337,6,0.2–0.4
41652222,0.30534351145038163,6,0.2–0.4
35673676,-0.04166666666666674,0,<0
40323250,0.41052631578947374,9,0.4–0.6
35597778,0.17910447761194026,4,0–0.2
33732609,-0.016759776536312998,1,<0
35679318,0.16666666666666663,4,0–0.2
38040317,0.3538461538461538,5,0.2–0.4
35597774,0.17557251908396954,3,0–0.2
33573033,0.08917197452229308,2,0–0.2
36531316,0.334975369458128,6,0.2–0.4
40640602,0.11180124223602483,2,0–0.2
32717039,0.12751677852348997,3,0–0.2
38040405,0.07692307692307687,1,0–0.2
35597784,0.09302325581395354,2,0–0.2
35077324,0.11764705882352933,1,0–0.2
36621052,0.1282051282051282,3,0–0.2
30055681,0.24516129032258072,4,0.2–0.4
38427455,0.4444444444444444,8,0.4–0.6
32777849,0.09090909090909094,1,0–0.2
29971516,0.22680412371134018,5,0.2–0.4
21353389,0.3112244897959183,6,0.2–0.4
36820845,0.2727272727272727,2,0.2–0.4
42372714,0.2647058823529411,5,0.2–0.4
40950428,0.48571428571428565,5,0.4–0.6
38012668,0.2758620689655171,5,0.2–0.4
42565441,0.3500000000000001,6,0.2–0.4
11051473,0.3846153846153846,2,0.2–0.4
33827939,0.23943661971830987,3,0.2–0.4
36596402,0.19540229885057459,4,0–0.2
42259233,0.19540229885057459,4,0–0.2
38040154,0.15032679738562094,3,0–0.2
35077410,0.17721518987341767,3,0–0.2
15925358,0.2857142857142857,2,0.2–0.4
33803814,0.052631578947368474,1,0–0.2
42471886,0.07692307692307687,1,0–0.2
35597775,-0.03846153846153855,0,<0
42530712,0.0,0,<0
6355877,0.18181818181818177,4,0–0.2
37660122,0.25,2,0.2–0.4
41983503,0.21568627450980393,3,0.2–0.4
32774592,0.3170731707317074,6,0.2–0.4
39731476,0.06249999999999978,1,0–0.2
42471936,0.055118110236220375,2,0–0.2
34436396,0.13043478260869557,1,0–0.2
40640510,0.13043478260869557,1,0–0.2
35597733,0.0,0,<0
32655193,0.09090909090909083,1,0–0.2
36606873,0.37671232876712346,6,0.2–0.4
38425753,0.34782608695652173,4,0.2–0.4
39201925,0.0,0,<0
42472244,0.0,0,<0
42024632,0.4285714285714286,2,0.4–0.6
39140287,0.1428571428571428,1,0–0.2
35597791,0.0,0,<0
37693831,0.0,0,<0
