user,kappa,agree_count,kappa_bin
22245763,0.3877551020408163,11,0.2–0.4
41189648,0.3857868020304568,11,0.2–0.4
38527054,0.046070460704607075,6,0–0.2
21353389,0.19183673469387752,7,0–0.2
30286087,0.3365853658536584,9,0.2–0.4
41166195,0.03592814371257491,9,0–0.2
29549959,0.32773109243697474,14,0.2–0.4
36596402,0.10555555555555551,9,0–0.2
41630623,0.32846715328467146,11,0.2–0.4
36401048,0.5384615384615385,4,0.4–0.6
38012668,0.5384615384615385,4,0.4–0.6
39757852,0.16867469879518082,8,0–0.2
37004408,0.5463917525773194,16,0.4–0.6
42404850,,2,
11003055,,2,
36126653,0.2222222222222222,9,0.2–0.4
34630521,,2,
41830537,0.2758620689655171,12,0.2–0.4
40289526,0.16768292682926822,8,0–0.2
42021855,0.1923076923076923,10,0–0.2
35023525,0.43434343434343436,10,0.4–0.6
32227852,0.33203125,10,0.2–0.4
38588940,0.4394904458598726,14,0.4–0.6
15439343,-0.09160305343511466,9,<0
38482942,0.21194029850746265,10,0.2–0.4
36606873,0.4375,13,0.4–0.6
36019136,0.3666666666666666,11,0.2–0.4
39538622,0.2325581395348838,13,0.2–0.4
42355492,0.3771186440677966,14,0.2–0.4
40676540,-0.125,3,<0
38354683,0.3527397260273972,12,0.2–0.4
38896482,0.3951612903225806,10,0.2–0.4
38812803,0.3162393162393162,14,0.2–0.4
36725706,0.25,12,0.2–0.4
41399716,0.0,0,<0
30128662,0.33333333333333337,1,0.2–0.4
38470591,0.3820895522388059,14,0.2–0.4
42274879,0.36503067484662577,14,0.2–0.4
42155896,0.39296187683284456,14,0.2–0.4
28012625,0.7391304347826086,17,0.6–0.8
40263699,0.6491228070175439,16,0.6–0.8
32692232,0.6774193548387096,16,0.6–0.8
41364530,0.06422018348623859,5,0–0.2
24920185,0.18918918918918926,8,0–0.2
38762820,0.34545454545454557,12,0.2–0.4
39347158,0.3595505617977528,10,0.2–0.4
34144126,0.32000000000000006,11,0.2–0.4
36621052,0.04761904761904767,2,0–0.2
38911211,0.5148936170212766,13,0.4–0.6
40335604,0.5104895104895105,13,0.4–0.6
39759039,0.48299319727891155,11,0.4–0.6
31001292,0.32547169811320753,15,0.2–0.4
38427455,0.35779816513761464,11,0.2–0.4
28375885,0.6363636363636364,3,0.6–0.8
35271549,0.2896405919661734,10,0.2–0.4
39499917,0.41463414634146345,15,0.4–0.6
42405769,0.48156682027649766,16,0.4–0.6
40004501,0.2990654205607476,10,0.2–0.4
32417589,0.2700729927007298,13,0.2–0.4
32655193,0.5294117647058824,5,0.4–0.6
34240529,0.34827586206896544,12,0.2–0.4
18526351,0.5514018691588786,16,0.4–0.6
26854674,0.6363636363636364,3,0.6–0.8
41866146,0.40104166666666663,13,0.4–0.6
32108646,0.42992874109263657,14,0.4–0.6
42543391,0.17293233082706772,12,0–0.2
41831526,0.0,2,<0
31983808,-0.09090909090909083,4,<0
42226985,0.28,3,0.2–0.4
37636971,0.5833333333333333,4,0.4–0.6
38713068,0.6666666666666667,4,0.6–0.8
40074281,0.3271028037383178,6,0.2–0.4
40279599,-1.0,0,
41841779,0.0,1,<0
38273134,0.5631067961165048,13,0.4–0.6
36374994,0.25,2,0.2–0.4
36257971,0.3999999999999999,2,0.2–0.4
40883816,0.25,2,0.2–0.4
