user,kappa,agree_count,kappa_bin
22245763,0.3194444444444444,14,0.2–0.4
41189648,0.2927191679049034,11,0.2–0.4
38527054,0.27001862197392934,14,0.2–0.4
21353389,0.389920424403183,13,0.2–0.4
30286087,0.2247191011235955,11,0.2–0.4
41166195,-0.005671077504725952,9,<0
29549959,0.2533333333333332,16,0.2–0.4
36596402,0.1376811594202899,11,0–0.2
41630623,0.20253164556962022,10,0.2–0.4
36401048,0.44736842105263164,4,0.4–0.6
38012668,0.44736842105263164,4,0.4–0.6
39757852,0.28856624319419244,14,0.2–0.4
37004408,0.3592677345537757,18,0.2–0.4
42404850,0.41666666666666663,5,0.4–0.6
11003055,0.26315789473684204,5,0.2–0.4
36126653,0.1358024691358024,8,0–0.2
34630521,0.15999999999999992,4,0–0.2
41830537,0.24031007751937994,14,0.2–0.4
40289526,0.224755700325733,11,0.2–0.4
42021855,0.09127789046653145,12,0–0.2
35023525,0.2075471698113207,11,0.2–0.4
32227852,0.11578947368421055,13,0–0.2
38588940,0.5208333333333333,16,0.4–0.6
15439343,0.1533477321814254,14,0–0.2
38482942,0.001980198019801871,10,0–0.2
36606873,-0.055655296229802476,7,<0
36019136,0.2698412698412699,11,0.2–0.4
39538622,0.26315789473684204,16,0.2–0.4
42355492,0.43999999999999995,20,0.4–0.6
40676540,-0.10526315789473673,4,<0
38354683,0.24481327800829877,15,0.2–0.4
38896482,0.15577889447236182,13,0–0.2
38812803,0.2727272727272727,16,0.2–0.4
36725706,0.3679458239277652,18,0.2–0.4
41399716,0.0,0,<0
30128662,0.33333333333333337,1,0.2–0.4
38470591,0.35564853556485365,17,0.2–0.4
42274879,0.2268244575936882,14,0.2–0.4
42155896,0.3662551440329218,17,0.2–0.4
28012625,0.28372093023255807,17,0.2–0.4
40263699,0.40284360189573454,19,0.4–0.6
32692232,0.42727272727272725,19,0.4–0.6
41364530,-0.0017889087656530744,8,<0
24920185,0.43131868131868134,14,0.4–0.6
38762820,0.22041763341067278,16,0.2–0.4
39347158,0.31707317073170727,16,0.2–0.4
34144126,0.32792207792207784,14,0.2–0.4
36621052,0.05714285714285727,4,0–0.2
38911211,0.3393829401088929,15,0.2–0.4
40335604,0.4042553191489362,17,0.4–0.6
39759039,0.34666666666666657,14,0.2–0.4
31001292,0.32530120481927716,20,0.2–0.4
38427455,0.08196721311475408,10,0–0.2
28375885,0.2222222222222222,4,0.2–0.4
35271549,0.3137254901960784,13,0.2–0.4
39499917,0.4679334916864608,20,0.4–0.6
42405769,0.32089552238805963,15,0.2–0.4
40004501,0.2676923076923077,11,0.2–0.4
32417589,0.4196891191709845,20,0.4–0.6
32655193,0.3793103448275862,5,0.2–0.4
34240529,0.3838630806845965,19,0.2–0.4
18526351,0.3851351351351351,15,0.2–0.4
26854674,0.5483870967741935,5,0.4–0.6
41866146,0.1466666666666666,12,0–0.2
32108646,0.17647058823529416,12,0–0.2
42543391,0.28205128205128194,18,0.2–0.4
41831526,-0.16666666666666674,2,<0
31983808,0.6956521739130435,6,0.6–0.8
42226985,0.2432432432432431,3,0.2–0.4
37636971,0.4,4,0.2–0.4
38713068,0.7878787878787878,6,0.6–0.8
40074281,0.49397590361445776,15,0.4–0.6
40279599,0.0,3,<0
41841779,0.0,2,<0
38273134,0.31983805668016185,13,0.2–0.4
36374994,0.2222222222222221,2,0.2–0.4
36257971,1.0,3,0.8–1.0
40883816,0.5,5,0.4–0.6
