ref_value,majority_label,label
http://8tracks.com,vendor,nw
http://8tracks.com,vendor,ne
http://addons.mozilla.org,vendor,ne
http://addons.mozilla.org,vendor,ne
http://akas.imdb.com,no_profit,nw
http://akas.imdb.com,no_profit,ne
http://americanart.si.edu,cultural,cultural
http://americanart.si.edu,cultural,cultural
http://amturing.acm.org,no_profit,trad_news
http://amturing.acm.org,no_profit,ne
http://archive.org,no_profit,yes
http://archive.org,no_profit,ne
http://art.famsf.org,cultural,cultural
http://art.famsf.org,cultural,cultural
http://backuppc.cvs.sourceforge.net,vendor,ne
http://backuppc.cvs.sourceforge.net,vendor,ne
http://bbfc.co.uk,cultural,ne
http://bbfc.co.uk,cultural,ne
http://bbti.bodleian.ox.ac.uk,cultural,ne
http://bbti.bodleian.ox.ac.uk,cultural,ne
http://blog.mathieui.net,yes,non_trad_news
http://blog.mathieui.net,yes,non_trad_news
http://blog.process-one.net,vendor,non_trad_news
http://blog.process-one.net,vendor,no_profit
http://blog.torproject.org,no,non_trad_news
http://blog.torproject.org,no,non_trad_news
http://blogs.windows.com,vendor,trad_news
http://blogs.windows.com,vendor,non_trad_news
http://books.google.co.uk,vendor,trad_news
http://books.google.co.uk,vendor,yes
http://brightlightsfilm.com,non_trad_news,ne
http://brightlightsfilm.com,non_trad_news,ne
http://chem.nlm.nih.gov,no,trad_news
http://chem.nlm.nih.gov,no,yes
http://chibi.ubc.ca,academia_uni,ne
http://chibi.ubc.ca,academia_uni,ne
http://classify.oclc.org,cultural,yes
http://classify.oclc.org,cultural,ne
http://collection.cooperhewitt.org,cultural,cultural
http://collection.cooperhewitt.org,cultural,cultural
http://collections.artsmia.org,cultural,cultural
http://collections.artsmia.org,cultural,cultural
http://collections.britishart.yale.edu,cultural,cultural
http://collections.britishart.yale.edu,cultural,cultural
http://collections.lacma.org,cultural,cultural
http://collections.lacma.org,cultural,cultural
http://commons.wikimedia.org,cultural,no_profit
http://commons.wikimedia.org,cultural,yes
http://daccess-ods.un.org,yes,trad_news
http://daccess-ods.un.org,yes,trad_news
http://data.ordnancesurvey.co.uk,cultural,trad_news
http://data.ordnancesurvey.co.uk,cultural,ne
http://directory.fsf.org,no_profit,ne
http://directory.fsf.org,no_profit,ne
http://electronicintifada.net,trad_news,non_trad_news
http://electronicintifada.net,trad_news,non_trad_news
http://en.mediamass.net,trad_news,nw
http://en.mediamass.net,trad_news,no_profit
http://en.wikisource.org,no_profit,yes
http://en.wikisource.org,no_profit,yes
http://eprints.lancs.ac.uk,academia_uni,academia_uni
http://eprints.lancs.ac.uk,academia_uni,academia_uni
http://equipboard.com,no_profit,no_profit
http://equipboard.com,no_profit,ne
