ref_value,majority_label,label
http://8tracks.com,company,company
http://addons.mozilla.org,company,company
http://akas.imdb.com,company,company
http://americanart.si.edu,company,academia
http://archive.org,company,other
http://art.famsf.org,company,other
http://backuppc.cvs.sourceforge.net,company,other
http://bbti.bodleian.ox.ac.uk,company,academia
http://blog.mathieui.net,sp_source,other
http://blog.torproject.org,company,other
http://blogs.windows.com,company,company
http://books.google.co.uk,company,company
http://brightlightsfilm.com,news,company
http://bse.sci-lib.com,ne,company
http://chem.nlm.nih.gov,academia,govt
http://classify.oclc.org,company,other
http://collection.cooperhewitt.org,company,academia
http://collections.artsmia.org,company,academia
http://collections.britishart.yale.edu,company,academia
http://collections.lacma.org,company,academia
http://commons.wikimedia.org,company,academia
http://daccess-ods.un.org,govt,govt
http://dirigeant.societe.com,ne,other
http://download.gnome.org,other,company
http://ekladata.com,ne,company
http://electronicintifada.net,news,sp_source
http://en.mediamass.net,news,other
http://en.wikisource.org,company,academia
http://eprints.lancs.ac.uk,academia,academia
http://equipboard.com,company,company
http://europeana.eu,company,company
http://factfinder.census.gov,govt,govt
http://fdrmx.com,news,other
http://fedoraproject.org,company,company
http://feed.snapdo.com,company,nw
http://ffilms.org,company,other
http://fie.org,company,nw
http://figshare.com,academia,company
http://firstcycling.com,company,sp_source
http://flickfacts.com,nw,other
http://flymotorsich.com,company,other
http://fmg.ac,company,academia
http://forums.comodo.com,company,company
http://freemind.sourceforge.net,company,other
http://ftp.debian-ports.org,other,other
http://genealogy.az.gov,govt,govt
http://geonames.usgs.gov,govt,govt
http://github.com,company,company
http://groups.google.com,company,company
http://hansard.millbanksystems.com,company,nw
http://homepage.usask.ca,company,academia
http://iba-world.com,company,company
http://id.loc.gov,company,govt
http://identifiers.org,academia,nw
http://independentlibraries.co.uk,company,other
http://instagram.com,company,company
http://itunes.apple.com,company,company
http://killiefc.com,company,other
http://lawandorder.wikia.com,company,other
http://leonocusto.blog66.fc2.com,ne,other
http://library.la84.org,company,company
http://library.leeds.ac.uk,academia,academia
http://lists.alioth.debian.org,company,other
http://lists.claws-mail.org,company,other
http://lists.freebsd.org,company,company
http://lists.netfilter.org,company,sp_source
http://lists.nongnu.org,company,sp_source
http://lists.torproject.org,company,sp_source
http://m.timesofindia.com,news,news
http://mail-archives.apache.org,company,nw
http://moma.org,company,academia
http://movie-locations.com,company,other
http://movieweb.com,news,company
http://mpse.org,academia,other
http://museedelaresistanceenligne.org,ne,nw
http://nablus.org,ne,other
http://new.liveauctioneers.com,company,company
http://newspapers.library.wales,news,other
http://olat.org,academia,other
http://online.wsj.com,news,company
http://oxfordindex.oup.com,academia,company
http://phoronix.com,company,company
http://planetarynames.wr.usgs.gov,academia,govt
http://pubchem.ncbi.nlm.nih.gov,academia,academia
http://puppet.com,company,company
http://quickfacts.census.gov,nw,govt
http://ratings.fide.com,company,other
http://runeberg.org,company,company
http://sites.asiasociety.org,company,academia
http://sourceforge.net,company,other
http://spamassassin.apache.org,company,company
